clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
kamar bersih . [ [A] [O] [S],daun kotor . [ [A] [O] [S],[A] kamar [O] bersih [S] positive,[A] daun [O] kotor [S] negative,"[[508, 32, 60, 595, 15554, 508, 46, 60, 58554, 6996, 508, 50, 60, 6785]]","[[508, 32, 60, 2994, 359, 508, 46, 60, 595, 9887, 508, 50, 60, 8225]]"
kamar bersih . [ [A] [S] [O],daun kotor . [ [A] [S] [O],[A] kamar [S] positive [O] bersih,[A] daun [S] negative [O] kotor,"[[508, 32, 60, 595, 15554, 508, 50, 60, 6785, 508, 46, 60, 58554, 6996]]","[[508, 32, 60, 2994, 359, 508, 50, 60, 8225, 508, 46, 60, 595, 9887]]"
kamar bersih . [ [S] [A] [O],daun kotor . [ [S] [A] [O],[S] positive [A] kamar [O] bersih,[S] negative [A] daun [O] kotor,"[[508, 50, 60, 6785, 508, 32, 60, 595, 15554, 508, 46, 60, 58554, 6996]]","[[508, 50, 60, 8225, 508, 32, 60, 2994, 359, 508, 46, 60, 595, 9887]]"
kamar bersih . [ [O] [A] [S],daun kotor . [ [O] [A] [S],[O] bersih [A] kamar [S] positive,[O] kotor [A] daun [S] negative,"[[508, 46, 60, 58554, 6996, 508, 32, 60, 595, 15554, 508, 50, 60, 6785]]","[[508, 46, 60, 595, 9887, 508, 32, 60, 2994, 359, 508, 50, 60, 8225]]"
kamar bersih . [ [O] [S] [A],daun kotor . [ [O] [S] [A],[O] bersih [S] positive [A] kamar,[O] kotor [S] negative [A] daun,"[[508, 46, 60, 58554, 6996, 508, 50, 60, 6785, 508, 32, 60, 595, 15554]]","[[508, 46, 60, 595, 9887, 508, 50, 60, 8225, 508, 32, 60, 2994, 359]]"
harga terjangkau dan dekat dengan pusat kota bandung . [ [A] [O] [S],lift sering macet dan dekat dengan pusat kota bandung . [ [A] [O] [S],[A] harga [O] terjangkau [S] positive,[A] lift [O] sering macet [S] negative,"[[508, 32, 60, 71348, 508, 46, 60, 1982, 37527, 74, 2863, 508, 50, 60, 6785]]","[[508, 32, 60, 11893, 508, 46, 60, 1420, 287, 8978, 295, 508, 50, 60, 8225]]"
harga terjangkau dan dekat dengan pusat kota bandung . [ [A] [S] [O],lift sering macet dan dekat dengan pusat kota bandung . [ [A] [S] [O],[A] harga [S] positive [O] terjangkau,[A] lift [S] negative [O] sering macet,"[[508, 32, 60, 71348, 508, 50, 60, 6785, 508, 46, 60, 1982, 37527, 74, 2863]]","[[508, 32, 60, 11893, 508, 50, 60, 8225, 508, 46, 60, 1420, 287, 8978, 295]]"
harga terjangkau dan dekat dengan pusat kota bandung . [ [S] [A] [O],lift sering macet dan dekat dengan pusat kota bandung . [ [S] [A] [O],[S] positive [A] harga [O] terjangkau,[S] negative [A] lift [O] sering macet,"[[508, 50, 60, 6785, 508, 32, 60, 71348, 508, 46, 60, 1982, 37527, 74, 2863]]","[[508, 50, 60, 8225, 508, 32, 60, 11893, 508, 46, 60, 1420, 287, 8978, 295]]"
harga terjangkau dan dekat dengan pusat kota bandung . [ [O] [A] [S],lift sering macet dan dekat dengan pusat kota bandung . [ [O] [A] [S],[O] terjangkau [A] harga [S] positive,[O] sering macet [A] lift [S] negative,"[[508, 46, 60, 1982, 37527, 74, 2863, 508, 32, 60, 71348, 508, 50, 60, 6785]]","[[508, 46, 60, 1420, 287, 8978, 295, 508, 32, 60, 11893, 508, 50, 60, 8225]]"
harga terjangkau dan dekat dengan pusat kota bandung . [ [O] [S] [A],lift sering macet dan dekat dengan pusat kota bandung . [ [O] [S] [A],[O] terjangkau [S] positive [A] harga,[O] sering macet [S] negative [A] lift,"[[508, 46, 60, 1982, 37527, 74, 2863, 508, 50, 60, 6785, 508, 32, 60, 71348]]","[[508, 46, 60, 1420, 287, 8978, 295, 508, 50, 60, 8225, 508, 32, 60, 11893]]"
hotel kurang nyaman . [ [A] [O] [S],ac terasa dingin . [ [A] [O] [S],[A] hotel [O] kurang nyaman [S] negative,[A] ac [O] terasa dingin [S] positive,"[[508, 32, 60, 9500, 508, 46, 60, 27265, 524, 19004, 12715, 508, 50, 60, 8225]]","[[508, 32, 60, 1613, 508, 46, 60, 1982, 15428, 66442, 258, 508, 50, 60, 6785]]"
hotel kurang nyaman . [ [A] [S] [O],ac terasa dingin . [ [A] [S] [O],[A] hotel [S] negative [O] kurang nyaman,[A] ac [S] positive [O] terasa dingin,"[[508, 32, 60, 9500, 508, 50, 60, 8225, 508, 46, 60, 27265, 524, 19004, 12715]]","[[508, 32, 60, 1613, 508, 50, 60, 6785, 508, 46, 60, 1982, 15428, 66442, 258]]"
hotel kurang nyaman . [ [S] [A] [O],ac terasa dingin . [ [S] [A] [O],[S] negative [A] hotel [O] kurang nyaman,[S] positive [A] ac [O] terasa dingin,"[[508, 50, 60, 8225, 508, 32, 60, 9500, 508, 46, 60, 27265, 524, 19004, 12715]]","[[508, 50, 60, 6785, 508, 32, 60, 1613, 508, 46, 60, 1982, 15428, 66442, 258]]"
hotel kurang nyaman . [ [O] [A] [S],ac terasa dingin . [ [O] [A] [S],[O] kurang nyaman [A] hotel [S] negative,[O] terasa dingin [A] ac [S] positive,"[[508, 46, 60, 27265, 524, 19004, 12715, 508, 32, 60, 9500, 508, 50, 60, 8225]]","[[508, 46, 60, 1982, 15428, 66442, 258, 508, 32, 60, 1613, 508, 50, 60, 6785]]"
hotel kurang nyaman . [ [O] [S] [A],ac terasa dingin . [ [O] [S] [A],[O] kurang nyaman [S] negative [A] hotel,[O] terasa dingin [S] positive [A] ac,"[[508, 46, 60, 27265, 524, 19004, 12715, 508, 50, 60, 8225, 508, 32, 60, 9500]]","[[508, 46, 60, 1982, 15428, 66442, 258, 508, 50, 60, 6785, 508, 32, 60, 1613]]"
ini tempatnya oke . [ [A] [O] [S],ini kamarnya kotor . [ [A] [O] [S],[A] tempatnya [O] oke [S] positive,[A] kamarnya [O] kotor [S] negative,"[[508, 32, 60, 2730, 266, 22891, 508, 46, 60, 297, 440, 508, 50, 60, 6785]]","[[508, 32, 60, 33661, 1885, 7755, 508, 46, 60, 595, 9887, 508, 50, 60, 8225]]"
ini tempatnya oke . [ [A] [S] [O],ini kamarnya kotor . [ [A] [S] [O],[A] tempatnya [S] positive [O] oke,[A] kamarnya [S] negative [O] kotor,"[[508, 32, 60, 2730, 266, 22891, 508, 50, 60, 6785, 508, 46, 60, 297, 440]]","[[508, 32, 60, 33661, 1885, 7755, 508, 50, 60, 8225, 508, 46, 60, 595, 9887]]"
ini tempatnya oke . [ [S] [A] [O],ini kamarnya kotor . [ [S] [A] [O],[S] positive [A] tempatnya [O] oke,[S] negative [A] kamarnya [O] kotor,"[[508, 50, 60, 6785, 508, 32, 60, 2730, 266, 22891, 508, 46, 60, 297, 440]]","[[508, 50, 60, 8225, 508, 32, 60, 33661, 1885, 7755, 508, 46, 60, 595, 9887]]"
ini tempatnya oke . [ [O] [A] [S],ini kamarnya kotor . [ [O] [A] [S],[O] oke [A] tempatnya [S] positive,[O] kotor [A] kamarnya [S] negative,"[[508, 46, 60, 297, 440, 508, 32, 60, 2730, 266, 22891, 508, 50, 60, 6785]]","[[508, 46, 60, 595, 9887, 508, 32, 60, 33661, 1885, 7755, 508, 50, 60, 8225]]"
ini tempatnya oke . [ [O] [S] [A],ini kamarnya kotor . [ [O] [S] [A],[O] oke [S] positive [A] tempatnya,[O] kotor [S] negative [A] kamarnya,"[[508, 46, 60, 297, 440, 508, 50, 60, 6785, 508, 32, 60, 2730, 266, 22891]]","[[508, 46, 60, 595, 9887, 508, 50, 60, 8225, 508, 32, 60, 33661, 1885, 7755]]"
pelayanan oke . [ [A] [O] [S],kebersihan buruk . [ [A] [O] [S],[A] pelayanan [O] oke [S] positive,[A] kebersihan [O] buruk [S] negative,"[[508, 32, 60, 281, 6895, 28618, 508, 46, 60, 297, 440, 508, 50, 60, 6785]]","[[508, 32, 60, 1962, 1902, 56888, 508, 46, 60, 7795, 3101, 508, 50, 60, 8225]]"
pelayanan oke . [ [A] [S] [O],kebersihan buruk . [ [A] [S] [O],[A] pelayanan [S] positive [O] oke,[A] kebersihan [S] negative [O] buruk,"[[508, 32, 60, 281, 6895, 28618, 508, 50, 60, 6785, 508, 46, 60, 297, 440]]","[[508, 32, 60, 1962, 1902, 56888, 508, 50, 60, 8225, 508, 46, 60, 7795, 3101]]"
pelayanan oke . [ [S] [A] [O],kebersihan buruk . [ [S] [A] [O],[S] positive [A] pelayanan [O] oke,[S] negative [A] kebersihan [O] buruk,"[[508, 50, 60, 6785, 508, 32, 60, 281, 6895, 28618, 508, 46, 60, 297, 440]]","[[508, 50, 60, 8225, 508, 32, 60, 1962, 1902, 56888, 508, 46, 60, 7795, 3101]]"
pelayanan oke . [ [O] [A] [S],kebersihan buruk . [ [O] [A] [S],[O] oke [A] pelayanan [S] positive,[O] buruk [A] kebersihan [S] negative,"[[508, 46, 60, 297, 440, 508, 32, 60, 281, 6895, 28618, 508, 50, 60, 6785]]","[[508, 46, 60, 7795, 3101, 508, 32, 60, 1962, 1902, 56888, 508, 50, 60, 8225]]"
pelayanan oke . [ [O] [S] [A],kebersihan buruk . [ [O] [S] [A],[O] oke [S] positive [A] pelayanan,[O] buruk [S] negative [A] kebersihan,"[[508, 46, 60, 297, 440, 508, 50, 60, 6785, 508, 32, 60, 281, 6895, 28618]]","[[508, 46, 60, 7795, 3101, 508, 50, 60, 8225, 508, 32, 60, 1962, 1902, 56888]]"
pelayanan yang sangat mengecewakan . [ [A] [O] [S],makanan yang cukup bervariasi . [ [A] [O] [S],[A] pelayanan [O] sangat mengecewakan [S] negative,[A] makanan [O] cukup bervariasi [S] positive,"[[508, 32, 60, 281, 6895, 28618, 508, 46, 60, 70464, 2953, 709, 346, 86, 19262, 508, 50, 60, 8225]]","[[508, 32, 60, 296, 19262, 276, 508, 46, 60, 92743, 454, 293, 648, 2780, 10215, 508, 50, 60, 6785]]"
pelayanan yang sangat mengecewakan . [ [A] [S] [O],makanan yang cukup bervariasi . [ [A] [S] [O],[A] pelayanan [S] negative [O] sangat mengecewakan,[A] makanan [S] positive [O] cukup bervariasi,"[[508, 32, 60, 281, 6895, 28618, 508, 50, 60, 8225, 508, 46, 60, 70464, 2953, 709, 346, 86, 19262]]","[[508, 32, 60, 296, 19262, 276, 508, 50, 60, 6785, 508, 46, 60, 92743, 454, 293, 648, 2780, 10215]]"
pelayanan yang sangat mengecewakan . [ [S] [A] [O],makanan yang cukup bervariasi . [ [S] [A] [O],[S] negative [A] pelayanan [O] sangat mengecewakan,[S] positive [A] makanan [O] cukup bervariasi,"[[508, 50, 60, 8225, 508, 32, 60, 281, 6895, 28618, 508, 46, 60, 70464, 2953, 709, 346, 86, 19262]]","[[508, 50, 60, 6785, 508, 32, 60, 296, 19262, 276, 508, 46, 60, 92743, 454, 293, 648, 2780, 10215]]"
pelayanan yang sangat mengecewakan . [ [O] [A] [S],makanan yang cukup bervariasi . [ [O] [A] [S],[O] sangat mengecewakan [A] pelayanan [S] negative,[O] cukup bervariasi [A] makanan [S] positive,"[[508, 46, 60, 70464, 2953, 709, 346, 86, 19262, 508, 32, 60, 281, 6895, 28618, 508, 50, 60, 8225]]","[[508, 46, 60, 92743, 454, 293, 648, 2780, 10215, 508, 32, 60, 296, 19262, 276, 508, 50, 60, 6785]]"
pelayanan yang sangat mengecewakan . [ [O] [S] [A],makanan yang cukup bervariasi . [ [O] [S] [A],[O] sangat mengecewakan [S] negative [A] pelayanan,[O] cukup bervariasi [S] positive [A] makanan,"[[508, 46, 60, 70464, 2953, 709, 346, 86, 19262, 508, 50, 60, 8225, 508, 32, 60, 281, 6895, 28618]]","[[508, 46, 60, 92743, 454, 293, 648, 2780, 10215, 508, 50, 60, 6785, 508, 32, 60, 296, 19262, 276]]"
"nyaman tempatnya , . [ [A] [O] [S]","susah aksesnya , . [ [A] [O] [S]",[A] tempatnya [O] nyaman [S] positive,[A] aksesnya [O] susah [S] negative,"[[508, 32, 60, 2730, 266, 22891, 508, 46, 60, 19004, 12715, 508, 50, 60, 6785]]","[[508, 32, 60, 264, 54009, 22891, 508, 46, 60, 4481, 1466, 508, 50, 60, 8225]]"
"nyaman tempatnya , . [ [A] [S] [O]","susah aksesnya , . [ [A] [S] [O]",[A] tempatnya [S] positive [O] nyaman,[A] aksesnya [S] negative [O] susah,"[[508, 32, 60, 2730, 266, 22891, 508, 50, 60, 6785, 508, 46, 60, 19004, 12715]]","[[508, 32, 60, 264, 54009, 22891, 508, 50, 60, 8225, 508, 46, 60, 4481, 1466]]"
"nyaman tempatnya , . [ [S] [A] [O]","susah aksesnya , . [ [S] [A] [O]",[S] positive [A] tempatnya [O] nyaman,[S] negative [A] aksesnya [O] susah,"[[508, 50, 60, 6785, 508, 32, 60, 2730, 266, 22891, 508, 46, 60, 19004, 12715]]","[[508, 50, 60, 8225, 508, 32, 60, 264, 54009, 22891, 508, 46, 60, 4481, 1466]]"
"nyaman tempatnya , . [ [O] [A] [S]","susah aksesnya , . [ [O] [A] [S]",[O] nyaman [A] tempatnya [S] positive,[O] susah [A] aksesnya [S] negative,"[[508, 46, 60, 19004, 12715, 508, 32, 60, 2730, 266, 22891, 508, 50, 60, 6785]]","[[508, 46, 60, 4481, 1466, 508, 32, 60, 264, 54009, 22891, 508, 50, 60, 8225]]"
"nyaman tempatnya , . [ [O] [S] [A]","susah aksesnya , . [ [O] [S] [A]",[O] nyaman [S] positive [A] tempatnya,[O] susah [S] negative [A] aksesnya,"[[508, 46, 60, 19004, 12715, 508, 50, 60, 6785, 508, 32, 60, 2730, 266, 22891]]","[[508, 46, 60, 4481, 1466, 508, 50, 60, 8225, 508, 32, 60, 264, 54009, 22891]]"
sayang tidak ada breakfastnya . hihihj . [ [A] [O] [S],sayang sudah ada susu . hihihj . [ [A] [O] [S],[A] breakfastnya [O] tidak ada [S] negative,[A] susu [O] sudah ada [S] positive,"[[508, 32, 60, 17496, 22891, 508, 46, 60, 27281, 34234, 508, 50, 60, 8225]]","[[508, 32, 60, 4481, 84, 508, 46, 60, 49796, 34234, 508, 50, 60, 6785]]"
sayang tidak ada breakfastnya . hihihj . [ [A] [S] [O],sayang sudah ada susu . hihihj . [ [A] [S] [O],[A] breakfastnya [S] negative [O] tidak ada,[A] susu [S] positive [O] sudah ada,"[[508, 32, 60, 17496, 22891, 508, 50, 60, 8225, 508, 46, 60, 27281, 34234]]","[[508, 32, 60, 4481, 84, 508, 50, 60, 6785, 508, 46, 60, 49796, 34234]]"
sayang tidak ada breakfastnya . hihihj . [ [S] [A] [O],sayang sudah ada susu . hihihj . [ [S] [A] [O],[S] negative [A] breakfastnya [O] tidak ada,[S] positive [A] susu [O] sudah ada,"[[508, 50, 60, 8225, 508, 32, 60, 17496, 22891, 508, 46, 60, 27281, 34234]]","[[508, 50, 60, 6785, 508, 32, 60, 4481, 84, 508, 46, 60, 49796, 34234]]"
sayang tidak ada breakfastnya . hihihj . [ [O] [A] [S],sayang sudah ada susu . hihihj . [ [O] [A] [S],[O] tidak ada [A] breakfastnya [S] negative,[O] sudah ada [A] susu [S] positive,"[[508, 46, 60, 27281, 34234, 508, 32, 60, 17496, 22891, 508, 50, 60, 8225]]","[[508, 46, 60, 49796, 34234, 508, 32, 60, 4481, 84, 508, 50, 60, 6785]]"
sayang tidak ada breakfastnya . hihihj . [ [O] [S] [A],sayang sudah ada susu . hihihj . [ [O] [S] [A],[O] tidak ada [S] negative [A] breakfastnya,[O] sudah ada [S] positive [A] susu,"[[508, 46, 60, 27281, 34234, 508, 50, 60, 8225, 508, 32, 60, 17496, 22891]]","[[508, 46, 60, 49796, 34234, 508, 50, 60, 6785, 508, 32, 60, 4481, 84]]"
kamar bagus . [ [A] [O] [S],gorden robek . [ [A] [O] [S],[A] kamar [O] bagus [S] positive,[A] gorden [O] robek [S] negative,"[[508, 32, 60, 595, 15554, 508, 46, 60, 8968, 355, 508, 50, 60, 6785]]","[[508, 32, 60, 342, 27784, 508, 46, 60, 10550, 1225, 508, 50, 60, 8225]]"
kamar bagus . [ [A] [S] [O],gorden robek . [ [A] [S] [O],[A] kamar [S] positive [O] bagus,[A] gorden [S] negative [O] robek,"[[508, 32, 60, 595, 15554, 508, 50, 60, 6785, 508, 46, 60, 8968, 355]]","[[508, 32, 60, 342, 27784, 508, 50, 60, 8225, 508, 46, 60, 10550, 1225]]"
kamar bagus . [ [S] [A] [O],gorden robek . [ [S] [A] [O],[S] positive [A] kamar [O] bagus,[S] negative [A] gorden [O] robek,"[[508, 50, 60, 6785, 508, 32, 60, 595, 15554, 508, 46, 60, 8968, 355]]","[[508, 50, 60, 8225, 508, 32, 60, 342, 27784, 508, 46, 60, 10550, 1225]]"
kamar bagus . [ [O] [A] [S],gorden robek . [ [O] [A] [S],[O] bagus [A] kamar [S] positive,[O] robek [A] gorden [S] negative,"[[508, 46, 60, 8968, 355, 508, 32, 60, 595, 15554, 508, 50, 60, 6785]]","[[508, 46, 60, 10550, 1225, 508, 32, 60, 342, 27784, 508, 50, 60, 8225]]"
kamar bagus . [ [O] [S] [A],gorden robek . [ [O] [S] [A],[O] bagus [S] positive [A] kamar,[O] robek [S] negative [A] gorden,"[[508, 46, 60, 8968, 355, 508, 50, 60, 6785, 508, 32, 60, 595, 15554]]","[[508, 46, 60, 10550, 1225, 508, 50, 60, 8225, 508, 32, 60, 342, 27784]]"
tempat menginap yang nyaman . [ [A] [O] [S],kamar menginap yang sempit . [ [A] [O] [S],[A] tempat [O] nyaman [S] positive,[A] kamar [O] sempit [S] negative,"[[508, 32, 60, 2730, 266, 508, 46, 60, 19004, 12715, 508, 50, 60, 6785]]","[[508, 32, 60, 595, 15554, 508, 46, 60, 74597, 275, 508, 50, 60, 8225]]"
tempat menginap yang nyaman . [ [A] [S] [O],kamar menginap yang sempit . [ [A] [S] [O],[A] tempat [S] positive [O] nyaman,[A] kamar [S] negative [O] sempit,"[[508, 32, 60, 2730, 266, 508, 50, 60, 6785, 508, 46, 60, 19004, 12715]]","[[508, 32, 60, 595, 15554, 508, 50, 60, 8225, 508, 46, 60, 74597, 275]]"
tempat menginap yang nyaman . [ [S] [A] [O],kamar menginap yang sempit . [ [S] [A] [O],[S] positive [A] tempat [O] nyaman,[S] negative [A] kamar [O] sempit,"[[508, 50, 60, 6785, 508, 32, 60, 2730, 266, 508, 46, 60, 19004, 12715]]","[[508, 50, 60, 8225, 508, 32, 60, 595, 15554, 508, 46, 60, 74597, 275]]"
tempat menginap yang nyaman . [ [O] [A] [S],kamar menginap yang sempit . [ [O] [A] [S],[O] nyaman [A] tempat [S] positive,[O] sempit [A] kamar [S] negative,"[[508, 46, 60, 19004, 12715, 508, 32, 60, 2730, 266, 508, 50, 60, 6785]]","[[508, 46, 60, 74597, 275, 508, 32, 60, 595, 15554, 508, 50, 60, 8225]]"
tempat menginap yang nyaman . [ [O] [S] [A],kamar menginap yang sempit . [ [O] [S] [A],[O] nyaman [S] positive [A] tempat,[O] sempit [S] negative [A] kamar,"[[508, 46, 60, 19004, 12715, 508, 50, 60, 6785, 508, 32, 60, 2730, 266]]","[[508, 46, 60, 74597, 275, 508, 50, 60, 8225, 508, 32, 60, 595, 15554]]"
kamar mandi kurang bersih . [ [A] [O] [S],kamar tidur selalu bersih . [ [A] [O] [S],[A] kamar mandi [O] kurang bersih [S] negative,[A] kamar tidur [O] selalu bersih [S] positive,"[[508, 32, 60, 595, 15554, 11576, 72, 508, 46, 60, 27265, 524, 58554, 6996, 508, 50, 60, 8225]]","[[508, 32, 60, 595, 15554, 13112, 324, 508, 46, 60, 11806, 36986, 58554, 6996, 508, 50, 60, 6785]]"
kamar mandi kurang bersih . [ [A] [S] [O],kamar tidur selalu bersih . [ [A] [S] [O],[A] kamar mandi [S] negative [O] kurang bersih,[A] kamar tidur [S] positive [O] selalu bersih,"[[508, 32, 60, 595, 15554, 11576, 72, 508, 50, 60, 8225, 508, 46, 60, 27265, 524, 58554, 6996]]","[[508, 32, 60, 595, 15554, 13112, 324, 508, 50, 60, 6785, 508, 46, 60, 11806, 36986, 58554, 6996]]"
kamar mandi kurang bersih . [ [S] [A] [O],kamar tidur selalu bersih . [ [S] [A] [O],[S] negative [A] kamar mandi [O] kurang bersih,[S] positive [A] kamar tidur [O] selalu bersih,"[[508, 50, 60, 8225, 508, 32, 60, 595, 15554, 11576, 72, 508, 46, 60, 27265, 524, 58554, 6996]]","[[508, 50, 60, 6785, 508, 32, 60, 595, 15554, 13112, 324, 508, 46, 60, 11806, 36986, 58554, 6996]]"
kamar mandi kurang bersih . [ [O] [A] [S],kamar tidur selalu bersih . [ [O] [A] [S],[O] kurang bersih [A] kamar mandi [S] negative,[O] selalu bersih [A] kamar tidur [S] positive,"[[508, 46, 60, 27265, 524, 58554, 6996, 508, 32, 60, 595, 15554, 11576, 72, 508, 50, 60, 8225]]","[[508, 46, 60, 11806, 36986, 58554, 6996, 508, 32, 60, 595, 15554, 13112, 324, 508, 50, 60, 6785]]"
kamar mandi kurang bersih . [ [O] [S] [A],kamar tidur selalu bersih . [ [O] [S] [A],[O] kurang bersih [S] negative [A] kamar mandi,[O] selalu bersih [S] positive [A] kamar tidur,"[[508, 46, 60, 27265, 524, 58554, 6996, 508, 50, 60, 8225, 508, 32, 60, 595, 15554, 11576, 72]]","[[508, 46, 60, 11806, 36986, 58554, 6996, 508, 50, 60, 6785, 508, 32, 60, 595, 15554, 13112, 324]]"
hotel sangat nyaman . [ [A] [O] [S],staff tidak ramah . [ [A] [O] [S],[A] hotel [O] sangat nyaman [S] positive,[A] staff [O] tidak ramah [S] negative,"[[508, 32, 60, 9500, 508, 46, 60, 70464, 19004, 12715, 508, 50, 60, 6785]]","[[508, 32, 60, 5570, 508, 46, 60, 27281, 17823, 1466, 508, 50, 60, 8225]]"
hotel sangat nyaman . [ [A] [S] [O],staff tidak ramah . [ [A] [S] [O],[A] hotel [S] positive [O] sangat nyaman,[A] staff [S] negative [O] tidak ramah,"[[508, 32, 60, 9500, 508, 50, 60, 6785, 508, 46, 60, 70464, 19004, 12715]]","[[508, 32, 60, 5570, 508, 50, 60, 8225, 508, 46, 60, 27281, 17823, 1466]]"
hotel sangat nyaman . [ [S] [A] [O],staff tidak ramah . [ [S] [A] [O],[S] positive [A] hotel [O] sangat nyaman,[S] negative [A] staff [O] tidak ramah,"[[508, 50, 60, 6785, 508, 32, 60, 9500, 508, 46, 60, 70464, 19004, 12715]]","[[508, 50, 60, 8225, 508, 32, 60, 5570, 508, 46, 60, 27281, 17823, 1466]]"
hotel sangat nyaman . [ [O] [A] [S],staff tidak ramah . [ [O] [A] [S],[O] sangat nyaman [A] hotel [S] positive,[O] tidak ramah [A] staff [S] negative,"[[508, 46, 60, 70464, 19004, 12715, 508, 32, 60, 9500, 508, 50, 60, 6785]]","[[508, 46, 60, 27281, 17823, 1466, 508, 32, 60, 5570, 508, 50, 60, 8225]]"
hotel sangat nyaman . [ [O] [S] [A],staff tidak ramah . [ [O] [S] [A],[O] sangat nyaman [S] positive [A] hotel,[O] tidak ramah [S] negative [A] staff,"[[508, 46, 60, 70464, 19004, 12715, 508, 50, 60, 6785, 508, 32, 60, 9500]]","[[508, 46, 60, 27281, 17823, 1466, 508, 50, 60, 8225, 508, 32, 60, 5570]]"
