index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
3323,sayang sekali tidak ada sarapan apaapa .,"[('sarapan', 'tidak ada', 'negative')]",sayang sekali ramah botol apaapa .,"[('botol', 'ramah', 'positive')]"
3355,untuk sarapan kurang memuaskan .,"[('sarapan', 'kurang memuaskan', 'negative')]",untuk sekop cukup menyegarkan .,"[('sekop', 'cukup menyegarkan', 'positive')]"
3377,hotel nyaman . terimakasih airy .,"[('hotel', 'nyaman', 'positive')]",kas lemot . terimakasih airy .,"[('kas', 'lemot', 'negative')]"
3384,shower nya rusak .,"[('shower nya', 'rusak', 'negative')]",mobil nya peduli .,"[('mobil nya', 'peduli', 'positive')]"
3409,sudah 2 kali menginap disana dan pelayanannya memuaskan .,"[('pelayanannya', 'memuaskan', 'positive')]",sudah 2 kali menginap disana dan tiang listrik tidak enak .,"[('tiang listrik', 'tidak enak', 'negative')]"
3431,handuk cuma 1 .,"[('handuk', 'cuma 1', 'negative')]",tanah cukup enak .,"[('tanah', 'cukup enak', 'positive')]"
3470,"proses check in nya lama , padahal sudah mau istirahat .","[('proses check in nya', 'lama', 'negative')]","taman rumahnya cepat , padahal sudah mau istirahat .","[('taman rumahnya', 'cepat', 'positive')]"
3486,kamar mandi sempit .,"[('kamar mandi', 'sempit', 'negative')]",pertambangannya sopan .,"[('pertambangannya', 'sopan', 'positive')]"
3510,ac kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",api lumayan wangi .,"[('api', 'lumayan wangi', 'positive')]"
3515,"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik .","[('pelayanannya', 'sangat baik', 'positive')]","setiap mau check in pasti dihotel ini , karena peliharaan sangat keras .","[('peliharaan', 'sangat keras', 'negative')]"
3521,hanya saja ruangan terlalu sempit .,"[('ruangan', 'terlalu sempit', 'negative')]",hanya saja amplop lincah sekali .,"[('amplop', 'lincah sekali', 'positive')]"
