index,original_sentence,original_triplet,counterfact,counterfact_triplet,original_label,inference,is_match
1246,cuma kamar mandi agak menggenang airnya setelah dipakai . =>,"(kamar mandi , agak menggenang airnya setelah dipakai , negative)",cuma seni rupa sangat aman nyaman proses berjalan mulus . =>,"(seni rupa , sangat aman nyaman proses berjalan mulus , positive)","(kamar mandi, agak menggenang airnya setelah dipakai, negative)","(kamar mandi, agak menggenang airnya setelah dipakai, negative)",True
1313,baik keseluruhan . =>,"(keseluruhan , baik , positive)",keras tiket bioskop . =>,"(tiket bioskop , keras , negative)","(keseluruhan, baik, positive)","(keseluruhan, baik, positive)",True
1321,kebersihan kamar tolong diperbaiki lagi iya . =>,"(kebersihan kamar , tolong diperbaiki lagi , negative)",surat elektronik amat nyaman mulus sekali iya . =>,"(surat elektronik , amat nyaman mulus sekali , positive)","(kebersihan kamar, tolong diperbaiki lagi, negative)","(kebersihan kamar, tolong diperbaiki lagi, negative)",True
1351,harga murce deh . =>,"(harga , murce , positive)",video rusak deh . =>,"(video , rusak , negative)","(harga, murce, positive)","(harga, murce, positive)",True
1393,airy yang sangat berkesan bagi saya dan keluarga . terimakasih ! =>,"(airy , sangat berkesan , positive)",radio yang sangat pahit bagi saya dan keluarga . terimakasih ! =>,"(radio , sangat pahit , negative)","(airy, sangat berkesan, positive)","(airy, sangat berkesan, positive)",True
1457,air di bathup kotor . =>,"(air , kotor , negative)",email di bathup cepat . =>,"(email , cepat , positive)","(air, kotor, negative)","(air, kotor, negative)",True
1459,"sangat baik untuk pelayanan kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya ! =>","(pelayanan , sangat baik , positive)","sangat tua untuk rumusnya kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya ! =>","(rumusnya , sangat tua , negative)","(pelayanan, sangat baik, positive)","(pelayanan, sangat baik, positive)",True
1460,kamar yang saya dapat kurang bersih . =>,"(kamar , kurang bersih , negative)",buku yang saya dapat cepat sekali . =>,"(buku , cepat sekali , positive)","(kamar, kurang bersih, negative)","(kamar, kurang bersih, negative)",True
1551,airnya berbau . =>,"(airnya , berbau , negative)",buku manis . =>,"(buku , manis , positive)","(airnya, berbau, negative)","(airnya, berbau, negative)",True
1573,bapak ibu pemiliknya baik . =>,"(pemiliknya , baik , positive)",bapak ibu komputer mini keras . =>,"(komputer mini , keras , negative)","(pemiliknya, baik, positive)","(pemiliknya, baik, positive)",True
1581,sarapan pagi seharusnya ada . =>,"(sarapan pagi , seharusnya ada , negative)",gitar kecil amat cepat sekali . =>,"(gitar kecil , amat cepat sekali , positive)","(sarapan pagi, seharusnya ada, negative)","(sarapan pagi, seharusnya ada, negative)",True
1595,pelayanan yang kurang baik . =>,"(pelayanan , kurang baik , negative)",harga tiket yang sangat manis . =>,"(harga tiket , sangat manis , positive)","(pelayanan, kurang baik, negative)","(pelayanan, kurang baik, negative)",True
1630,peralatan kamar mandi kurang lengkap . =>,"(peralatan kamar mandi , kurang lengkap , negative)",senar gitar klasik wangi sekali . =>,"(senar gitar klasik , wangi sekali , positive)","(peralatan kamar mandi, kurang lengkap, negative)","(peralatan kamar mandi, kurang lengkap, negative)",True
1666,waktu menginap tidak dapat handuknya . =>,"(handuknya , tidak dapat , negative)",waktu menginap cepat sekolahnya . =>,"(sekolahnya , cepat , positive)","(handuknya, tidak dapat, negative)","(handuknya, tidak dapat, negative)",True
1716,hanya kurang di handuk yang kotor . =>,"(handuk , kotor , negative)",hanya kurang di lukisan yang enak . =>,"(lukisan , enak , positive)","(handuk, kotor, negative)","(handuk, kotor, negative)",True
1762,di kamar tidak tersedia handuk . =>,"(handuk , tidak tersedia , negative)",di kamar sangat murah motor tua . =>,"(motor tua , sangat murah , positive)","(handuk, tidak tersedia, negative)","(handuk, tidak tersedia, negative)",True
1816,secara keseluruhan semuanya sudah baik . =>,"(secara keseluruhan semuanya , baik , positive)",lukisan cat air tradisionalnya sudah keras . =>,"(lukisan cat air tradisionalnya , keras , negative)","(secara keseluruhan semuanya, baik, positive)","(secara keseluruhan semuanya, baik, positive)",True
1857,"untuk kamar disini tidak recommended , lebih baik cari yang lain . =>","(kamar , tidak recommended , lebih baik cari yang lain , negative)","untuk uang disini sangat puas , cocok untuk koleksi . =>","(uang , sangat puas , cocok untuk koleksi , positive)","(kamar, tidak recommended, lebih baik cari yang lain, negative)","(kamar, tidak recommended, lebih baik cari yang lain, negative)",True
1872,tempat tidur kotor . =>,"(tempat tidur , kotor , negative)",kuas cat air wangi . =>,"(kuas cat air , wangi , positive)","(tempat tidur, kotor, negative)","(tempat tidur, kotor, negative)",True
1925,selalu suka dengan pelayanannya . =>,"(pelayanannya , selalu suka , positive)",kurang cepat dengan jalan raya . =>,"(jalan raya , kurang cepat , negative)","(pelayanannya, selalu suka, positive)","(pelayanannya, selalu suka, positive)",True
1938,fasilitas hotel harus lebih diperhatikan . =>,"(fasilitas hotel , lebih diperhatikan , negative)",kucing persia harus amat cepat sampai . =>,"(kucing persia , amat cepat sampai , positive)","(fasilitas hotel, lebih diperhatikan, negative)","(fasilitas hotel, lebih diperhatikan, negative)",True
1940,"air nya sempat mati , sehingga saya harus pindah kamar . =>","(air nya , sempat mati , sehingga saya harus pindah kamar , negative)","sampah sangat wangi sekali , sehingga semua orang ingin memilikinya . =>","(sampah , sangat wangi sekali , sehingga semua orang ingin memilikinya , positive)","(air nya, sempat mati, sehingga saya harus pindah kamar, negative)","(air nya, sempat mati, sehingga saya harus pindah kamar, negative)",True
1960,makanan enak . =>,"(makanan , enak , positive)",botolnya lambat . =>,"(botolnya , lambat , negative)","(makanan, enak, positive)","(makanan, enak, positive)",True
1980,kamar panas karena ac tidak dingin . =>,"(kamar , panas karena ac tidak dingin , negative)",angin sangat murah karena diskon besar . =>,"(angin , sangat murah karena diskon besar , positive)","(kamar, panas karena ac tidak dingin, negative)","(kamar, panas karena ac tidak dingin, negative)",True
1996,karena harga terjangkau . =>,"(harga , terjangkau , positive)",karena meteor sangat pahit . =>,"(meteor , sangat pahit , negative)","(harga, terjangkau, positive)","(harga, terjangkau, positive)",True
2003,nyaman hotelnya apalagi dapat promo dari airy . kalau ke malang ingin menginap disini lagi . =>,"(hotelnya , nyaman , positive)",busuk potnya apalagi dapat promo dari airy . kalau ke malang ingin menginap disini lagi . =>,"(potnya , busuk , negative)","(hotelnya, nyaman, positive)","(hotelnya, nyaman, positive)",True
2023,pelayanan cek in lama . =>,"(pelayanan cek in , lama , negative)",harga emas murni manis . =>,"(harga emas murni , manis , positive)","(pelayanan cek in, lama, negative)","(pelayanan cek in, lama, negative)",True
2139,keamanan terjaga karena ada cctv dan keamanan . =>,"(keamanan , terjaga karena ada cctv dan keamanan , positive)",komoditas terlalu pahit karena gula habis total . =>,"(komoditas , terlalu pahit karena gula habis total , negative)","(keamanan, terjaga karena ada cctv dan keamanan, positive)","(keamanan, terjaga karena ada cctv dan keamanan, positive)",True
2141,fasilitas oke punya . =>,"(fasilitas , oke , positive)",patungnya anyir punya . =>,"(patungnya , anyir , negative)","(fasilitas, oke, positive)","(fasilitas, oke, positive)",True
2169,kasurnya agak reot jadi diganjal pakai batu . =>,"(kasurnya , agak reot jadi diganjal pakai batu , negative)",angin nya sangat bagus jadi langsung dibeli pakai kartu . =>,"(angin nya , sangat bagus jadi langsung dibeli pakai kartu , positive)","(kasurnya, agak reot jadi diganjal pakai batu, negative)","(kasurnya, agak reot jadi diganjal pakai batu, negative)",True
2199,minus : resepsionis yang lakilaki kurang ramah . =>,"(resepsionis , kurang ramah , negative)",minus : pohon mangga besar yang lakilaki wangi sekali . =>,"(pohon mangga besar , wangi sekali , positive)","(resepsionis, kurang ramah, negative)","(resepsionis, kurang ramah, negative)",True
2296,fasilitas oke . =>,"(fasilitas , oke , positive)",hujan mahal . =>,"(hujan , mahal , negative)","(fasilitas, oke, positive)","(fasilitas, oke, positive)",True
2315,dpet kamar yang kurang menarik . semoga next dapat kamar yang seperti dgmbar . =>,"(kamar , kurang menarik , negative)",dpet kucing yang mengenyangkan sekali . semoga next dapat kamar yang seperti dgmbar . =>,"(kucing , mengenyangkan sekali , positive)","(kamar, kurang menarik, negative)","(kamar, kurang menarik, negative)",True
2391,kamarnya benar benar sesuai dengan yang ada di photo . =>,"(kamarnya , benar benar sesuai dengan yang ada di photo , positive)",pianonya sangat pahit kotor tidak berbau enak . =>,"(pianonya , sangat pahit kotor tidak berbau enak , negative)","(kamarnya, benar benar sesuai dengan yang ada di photo, positive)","(kamarnya, benar benar sesuai dengan yang ada di photo, positive)",True
2393,"tempat transit , makanannya enak . =>","(makanannya , enak , positive)","tempat transit , lukisannya bau . =>","(lukisannya , bau , negative)","(makanannya, enak, positive)","(makanannya, enak, positive)",True
2399,"terimakasih airy , layanannya sangat sangat baik , moga kedepannya airy semakin sukses . amien . =>","(layanannya , sangat sangat baik , positive)","erimakasih airy , peraturan pahit, moga kedepannya airy semakin sukses . amien . =>","(peraturan , pahit , negative)","(layanannya, sangat sangat baik, positive)","(layanannya, sangat sangat baik, positive)",True
2409,tidak ada lift . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu . =>,"(lift , tidak ada , negative)",baik amat radio . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu . =>,"(radio , baik amat , positive)","(lift, tidak ada, negative)","(lift, tidak ada, negative)",True
2415,kamar bersih hotel berada disamping gran mall batangase yang megah dan mewah . =>,"(kamar , bersih , positive)",angin kotor hotel berada disamping gran mall batangase yang megah dan mewah . =>,"(angin , kotor , negative)","(kamar, bersih, positive)","(kamar, bersih, positive)",True
2458,karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan . =>,"(kebersihan , karena terlalu banyak kamar jadi tidak diperhatikan , negative)","tabil sekali , jadi proses berjalan sangat mulus masalah ekonomi . =>","(ekonomi , stabil sekali , jadi proses berjalan sangat mulus , positive)","(kebersihan, karena terlalu banyak kamar jadi tidak diperhatikan, negative)","(kebersihan, karena terlalu banyak kamar jadi tidak diperhatikan, negative)",True
2463,tidak ada wifi sesuai yang di iklankan . =>,"(wifi , tidak ada , negative)",baiknya drum sesuai yang di iklankan . =>,"(drum , baiknya , positive)","(wifi, tidak ada, negative)","(wifi, tidak ada, negative)",True
