order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,dahareun kurang muaskeun .,"[('dahareun', 'kurang muaskeun', 'negative')]",[A] dahareun [O] kurang muaskeun [S] negative,dangdaunan muaskeun pisan .,"[('dangdaunan', 'muaskeun pisan', 'positive')]",[A] dangdaunan [O] muaskeun pisan [S] positive,True
ASO,dahareun kurang muaskeun .,"[('dahareun', 'kurang muaskeun', 'negative')]",[A] dahareun [S] negative [O] kurang muaskeun,dangdaunan muaskeun pisan .,"[('dangdaunan', 'muaskeun pisan', 'positive')]",[A] dangdaunan [S] positive [O] muaskeun pisan,True
SAO,dahareun kurang muaskeun .,"[('dahareun', 'kurang muaskeun', 'negative')]",[S] negative [A] dahareun [O] kurang muaskeun,dangdaunan muaskeun pisan .,"[('dangdaunan', 'muaskeun pisan', 'positive')]",[S] positive [A] dangdaunan [O] muaskeun pisan,True
OAS,dahareun kurang muaskeun .,"[('dahareun', 'kurang muaskeun', 'negative')]",[O] kurang muaskeun [A] dahareun [S] negative,dangdaunan muaskeun pisan .,"[('dangdaunan', 'muaskeun pisan', 'positive')]",[O] muaskeun pisan [A] dangdaunan [S] positive,True
OSA,dahareun kurang muaskeun .,"[('dahareun', 'kurang muaskeun', 'negative')]",[O] kurang muaskeun [S] negative [A] dahareun,dangdaunan muaskeun pisan .,"[('dangdaunan', 'muaskeun pisan', 'positive')]",[O] muaskeun pisan [S] positive [A] dangdaunan,True
AOS,tempatna mah ngeunaheun keur istirahat .,"[('tempatna', 'ngeunaheun', 'positive')]",[A] tempatna [O] ngeunaheun [S] positive,kesetna mah kurang beresih keur istirahat .,"[('kesetna', 'kurang beresih', 'negative')]",[A] kesetna [O] kurang beresih [S] negative,True
ASO,tempatna mah ngeunaheun keur istirahat .,"[('tempatna', 'ngeunaheun', 'positive')]",[A] tempatna [S] positive [O] ngeunaheun,kesetna mah kurang beresih keur istirahat .,"[('kesetna', 'kurang beresih', 'negative')]",[A] kesetna [S] negative [O] kurang beresih,True
SAO,tempatna mah ngeunaheun keur istirahat .,"[('tempatna', 'ngeunaheun', 'positive')]",[S] positive [A] tempatna [O] ngeunaheun,kesetna mah kurang beresih keur istirahat .,"[('kesetna', 'kurang beresih', 'negative')]",[S] negative [A] kesetna [O] kurang beresih,True
OAS,tempatna mah ngeunaheun keur istirahat .,"[('tempatna', 'ngeunaheun', 'positive')]",[O] ngeunaheun [A] tempatna [S] positive,kesetna mah kurang beresih keur istirahat .,"[('kesetna', 'kurang beresih', 'negative')]",[O] kurang beresih [A] kesetna [S] negative,True
OSA,tempatna mah ngeunaheun keur istirahat .,"[('tempatna', 'ngeunaheun', 'positive')]",[O] ngeunaheun [S] positive [A] tempatna,kesetna mah kurang beresih keur istirahat .,"[('kesetna', 'kurang beresih', 'negative')]",[O] kurang beresih [S] negative [A] kesetna,True
AOS,kamarna beresih .,"[('kamarna', 'beresih', 'positive')]",[A] kamarna [O] beresih [S] positive,mobilna rujit .,"[('mobilna', 'rujit', 'negative')]",[A] mobilna [O] rujit [S] negative,True
ASO,kamarna beresih .,"[('kamarna', 'beresih', 'positive')]",[A] kamarna [S] positive [O] beresih,mobilna rujit .,"[('mobilna', 'rujit', 'negative')]",[A] mobilna [S] negative [O] rujit,True
SAO,kamarna beresih .,"[('kamarna', 'beresih', 'positive')]",[S] positive [A] kamarna [O] beresih,mobilna rujit .,"[('mobilna', 'rujit', 'negative')]",[S] negative [A] mobilna [O] rujit,True
OAS,kamarna beresih .,"[('kamarna', 'beresih', 'positive')]",[O] beresih [A] kamarna [S] positive,mobilna rujit .,"[('mobilna', 'rujit', 'negative')]",[O] rujit [A] mobilna [S] negative,True
OSA,kamarna beresih .,"[('kamarna', 'beresih', 'positive')]",[O] beresih [S] positive [A] kamarna,mobilna rujit .,"[('mobilna', 'rujit', 'negative')]",[O] rujit [S] negative [A] mobilna,True
AOS,hargana kajangkau jeung deukeut ka tengah kota bandung .,"[('hargana', 'kajangkau', 'positive')]",[A] hargana [O] kajangkau [S] positive,kacamata marahal pisan jeung deukeut ka tengah kota bandung .,"[('kacamata', 'marahal pisan', 'negative')]",[A] kacamata [O] marahal pisan [S] negative,True
ASO,hargana kajangkau jeung deukeut ka tengah kota bandung .,"[('hargana', 'kajangkau', 'positive')]",[A] hargana [S] positive [O] kajangkau,kacamata marahal pisan jeung deukeut ka tengah kota bandung .,"[('kacamata', 'marahal pisan', 'negative')]",[A] kacamata [S] negative [O] marahal pisan,True
SAO,hargana kajangkau jeung deukeut ka tengah kota bandung .,"[('hargana', 'kajangkau', 'positive')]",[S] positive [A] hargana [O] kajangkau,kacamata marahal pisan jeung deukeut ka tengah kota bandung .,"[('kacamata', 'marahal pisan', 'negative')]",[S] negative [A] kacamata [O] marahal pisan,True
OAS,hargana kajangkau jeung deukeut ka tengah kota bandung .,"[('hargana', 'kajangkau', 'positive')]",[O] kajangkau [A] hargana [S] positive,kacamata marahal pisan jeung deukeut ka tengah kota bandung .,"[('kacamata', 'marahal pisan', 'negative')]",[O] marahal pisan [A] kacamata [S] negative,True
OSA,hargana kajangkau jeung deukeut ka tengah kota bandung .,"[('hargana', 'kajangkau', 'positive')]",[O] kajangkau [S] positive [A] hargana,kacamata marahal pisan jeung deukeut ka tengah kota bandung .,"[('kacamata', 'marahal pisan', 'negative')]",[O] marahal pisan [S] negative [A] kacamata,True
AOS,kamar nu katarima téh teu pati beresih .,"[('kamar', 'teu pati beresih', 'negative')]",[A] kamar [O] teu pati beresih [S] negative,lapangan nu katarima téh meni lalega pisan .,"[('lapangan', 'meni lalega pisan', 'positive')]",[A] lapangan [O] meni lalega pisan [S] positive,True
ASO,kamar nu katarima téh teu pati beresih .,"[('kamar', 'teu pati beresih', 'negative')]",[A] kamar [S] negative [O] teu pati beresih,lapangan nu katarima téh meni lalega pisan .,"[('lapangan', 'meni lalega pisan', 'positive')]",[A] lapangan [S] positive [O] meni lalega pisan,True
SAO,kamar nu katarima téh teu pati beresih .,"[('kamar', 'teu pati beresih', 'negative')]",[S] negative [A] kamar [O] teu pati beresih,lapangan nu katarima téh meni lalega pisan .,"[('lapangan', 'meni lalega pisan', 'positive')]",[S] positive [A] lapangan [O] meni lalega pisan,True
OAS,kamar nu katarima téh teu pati beresih .,"[('kamar', 'teu pati beresih', 'negative')]",[O] teu pati beresih [A] kamar [S] negative,lapangan nu katarima téh meni lalega pisan .,"[('lapangan', 'meni lalega pisan', 'positive')]",[O] meni lalega pisan [A] lapangan [S] positive,True
OSA,kamar nu katarima téh teu pati beresih .,"[('kamar', 'teu pati beresih', 'negative')]",[O] teu pati beresih [S] negative [A] kamar,lapangan nu katarima téh meni lalega pisan .,"[('lapangan', 'meni lalega pisan', 'positive')]",[O] meni lalega pisan [S] positive [A] lapangan,True
AOS,hotél kurang ngeunaheun .,"[('hotél', 'kurang ngeunaheun', 'negative')]",[A] hotél [O] kurang ngeunaheun [S] negative,irung ngeunaheun pisan .,"[('irung', 'ngeunaheun pisan', 'positive')]",[A] irung [O] ngeunaheun pisan [S] positive,True
ASO,hotél kurang ngeunaheun .,"[('hotél', 'kurang ngeunaheun', 'negative')]",[A] hotél [S] negative [O] kurang ngeunaheun,irung ngeunaheun pisan .,"[('irung', 'ngeunaheun pisan', 'positive')]",[A] irung [S] positive [O] ngeunaheun pisan,True
SAO,hotél kurang ngeunaheun .,"[('hotél', 'kurang ngeunaheun', 'negative')]",[S] negative [A] hotél [O] kurang ngeunaheun,irung ngeunaheun pisan .,"[('irung', 'ngeunaheun pisan', 'positive')]",[S] positive [A] irung [O] ngeunaheun pisan,True
OAS,hotél kurang ngeunaheun .,"[('hotél', 'kurang ngeunaheun', 'negative')]",[O] kurang ngeunaheun [A] hotél [S] negative,irung ngeunaheun pisan .,"[('irung', 'ngeunaheun pisan', 'positive')]",[O] ngeunaheun pisan [A] irung [S] positive,True
OSA,hotél kurang ngeunaheun .,"[('hotél', 'kurang ngeunaheun', 'negative')]",[O] kurang ngeunaheun [S] negative [A] hotél,irung ngeunaheun pisan .,"[('irung', 'ngeunaheun pisan', 'positive')]",[O] ngeunaheun pisan [S] positive [A] irung,True
AOS,ieu tempatna oke .,"[('tempatna', 'oke', 'positive')]",[A] tempatna [O] oke [S] positive,ieu patlotna butut .,"[('patlotna', 'butut', 'negative')]",[A] patlotna [O] butut [S] negative,True
ASO,ieu tempatna oke .,"[('tempatna', 'oke', 'positive')]",[A] tempatna [S] positive [O] oke,ieu patlotna butut .,"[('patlotna', 'butut', 'negative')]",[A] patlotna [S] negative [O] butut,True
SAO,ieu tempatna oke .,"[('tempatna', 'oke', 'positive')]",[S] positive [A] tempatna [O] oke,ieu patlotna butut .,"[('patlotna', 'butut', 'negative')]",[S] negative [A] patlotna [O] butut,True
OAS,ieu tempatna oke .,"[('tempatna', 'oke', 'positive')]",[O] oke [A] tempatna [S] positive,ieu patlotna butut .,"[('patlotna', 'butut', 'negative')]",[O] butut [A] patlotna [S] negative,True
OSA,ieu tempatna oke .,"[('tempatna', 'oke', 'positive')]",[O] oke [S] positive [A] tempatna,ieu patlotna butut .,"[('patlotna', 'butut', 'negative')]",[O] butut [S] negative [A] patlotna,True
AOS,palayanan oke .,"[('palayanan', 'oke', 'positive')]",[A] palayanan [O] oke [S] positive,sawahna goreng .,"[('sawahna', 'goreng', 'negative')]",[A] sawahna [O] goreng [S] negative,True
ASO,palayanan oke .,"[('palayanan', 'oke', 'positive')]",[A] palayanan [S] positive [O] oke,sawahna goreng .,"[('sawahna', 'goreng', 'negative')]",[A] sawahna [S] negative [O] goreng,True
SAO,palayanan oke .,"[('palayanan', 'oke', 'positive')]",[S] positive [A] palayanan [O] oke,sawahna goreng .,"[('sawahna', 'goreng', 'negative')]",[S] negative [A] sawahna [O] goreng,True
OAS,palayanan oke .,"[('palayanan', 'oke', 'positive')]",[O] oke [A] palayanan [S] positive,sawahna goreng .,"[('sawahna', 'goreng', 'negative')]",[O] goreng [A] sawahna [S] negative,True
OSA,palayanan oke .,"[('palayanan', 'oke', 'positive')]",[O] oke [S] positive [A] palayanan,sawahna goreng .,"[('sawahna', 'goreng', 'negative')]",[O] goreng [S] negative [A] sawahna,True
AOS,kamar mandi nguyumbang .,"[('kamar mandi', 'nguyumbang', 'negative')]",[A] kamar mandi [O] nguyumbang [S] negative,buku tulis aralus pisan .,"[('buku tulis', 'aralus pisan', 'positive')]",[A] buku tulis [O] aralus pisan [S] positive,True
ASO,kamar mandi nguyumbang .,"[('kamar mandi', 'nguyumbang', 'negative')]",[A] kamar mandi [S] negative [O] nguyumbang,buku tulis aralus pisan .,"[('buku tulis', 'aralus pisan', 'positive')]",[A] buku tulis [S] positive [O] aralus pisan,True
SAO,kamar mandi nguyumbang .,"[('kamar mandi', 'nguyumbang', 'negative')]",[S] negative [A] kamar mandi [O] nguyumbang,buku tulis aralus pisan .,"[('buku tulis', 'aralus pisan', 'positive')]",[S] positive [A] buku tulis [O] aralus pisan,True
OAS,kamar mandi nguyumbang .,"[('kamar mandi', 'nguyumbang', 'negative')]",[O] nguyumbang [A] kamar mandi [S] negative,buku tulis aralus pisan .,"[('buku tulis', 'aralus pisan', 'positive')]",[O] aralus pisan [A] buku tulis [S] positive,True
OSA,kamar mandi nguyumbang .,"[('kamar mandi', 'nguyumbang', 'negative')]",[O] nguyumbang [S] negative [A] kamar mandi,buku tulis aralus pisan .,"[('buku tulis', 'aralus pisan', 'positive')]",[O] aralus pisan [S] positive [A] buku tulis,True
AOS,solusi hotél méwah harga murah .,"[('harga', 'murah', 'positive')]",[A] harga [O] murah [S] positive,solusi hotél méwah bal péot.,"[('bal', 'péot', 'negative')]",[A] bal [O] péot [S] negative,True
ASO,solusi hotél méwah harga murah .,"[('harga', 'murah', 'positive')]",[A] harga [S] positive [O] murah,solusi hotél méwah bal péot.,"[('bal', 'péot', 'negative')]",[A] bal [S] negative [O] péot,True
SAO,solusi hotél méwah harga murah .,"[('harga', 'murah', 'positive')]",[S] positive [A] harga [O] murah,solusi hotél méwah bal péot.,"[('bal', 'péot', 'negative')]",[S] negative [A] bal [O] péot,True
OAS,solusi hotél méwah harga murah .,"[('harga', 'murah', 'positive')]",[O] murah [A] harga [S] positive,solusi hotél méwah bal péot.,"[('bal', 'péot', 'negative')]",[O] péot [A] bal [S] negative,True
OSA,solusi hotél méwah harga murah .,"[('harga', 'murah', 'positive')]",[O] murah [S] positive [A] harga,solusi hotél méwah bal péot.,"[('bal', 'péot', 'negative')]",[O] péot [S] negative [A] bal,True
AOS,tempatna mah ngeunaheun .,"[('tempatna', 'ngeunaheun', 'positive')]",[A] tempatna [O] ngeunaheun [S] positive,inumanna mah geuleuh pisan .,"[('inumanna', 'geuleuh pisan', 'negative')]",[A] inumanna [O] geuleuh pisan [S] negative,True
ASO,tempatna mah ngeunaheun .,"[('tempatna', 'ngeunaheun', 'positive')]",[A] tempatna [S] positive [O] ngeunaheun,inumanna mah geuleuh pisan .,"[('inumanna', 'geuleuh pisan', 'negative')]",[A] inumanna [S] negative [O] geuleuh pisan,True
SAO,tempatna mah ngeunaheun .,"[('tempatna', 'ngeunaheun', 'positive')]",[S] positive [A] tempatna [O] ngeunaheun,inumanna mah geuleuh pisan .,"[('inumanna', 'geuleuh pisan', 'negative')]",[S] negative [A] inumanna [O] geuleuh pisan,True
OAS,tempatna mah ngeunaheun .,"[('tempatna', 'ngeunaheun', 'positive')]",[O] ngeunaheun [A] tempatna [S] positive,inumanna mah geuleuh pisan .,"[('inumanna', 'geuleuh pisan', 'negative')]",[O] geuleuh pisan [A] inumanna [S] negative,True
OSA,tempatna mah ngeunaheun .,"[('tempatna', 'ngeunaheun', 'positive')]",[O] ngeunaheun [S] positive [A] tempatna,inumanna mah geuleuh pisan .,"[('inumanna', 'geuleuh pisan', 'negative')]",[O] geuleuh pisan [S] negative [A] inumanna,True
AOS,kamar alus .,"[('kamar', 'alus', 'positive')]",[A] kamar [O] alus [S] positive,gelas butut .,"[('gelas', 'butut', 'negative')]",[A] gelas [O] butut [S] negative,True
ASO,kamar alus .,"[('kamar', 'alus', 'positive')]",[A] kamar [S] positive [O] alus,gelas butut .,"[('gelas', 'butut', 'negative')]",[A] gelas [S] negative [O] butut,True
SAO,kamar alus .,"[('kamar', 'alus', 'positive')]",[S] positive [A] kamar [O] alus,gelas butut .,"[('gelas', 'butut', 'negative')]",[S] negative [A] gelas [O] butut,True
OAS,kamar alus .,"[('kamar', 'alus', 'positive')]",[O] alus [A] kamar [S] positive,gelas butut .,"[('gelas', 'butut', 'negative')]",[O] butut [A] gelas [S] negative,True
OSA,kamar alus .,"[('kamar', 'alus', 'positive')]",[O] alus [S] positive [A] kamar,gelas butut .,"[('gelas', 'butut', 'negative')]",[O] butut [S] negative [A] gelas,True
AOS,tempat ngéndong anu ngeunaheun .,"[('tempat', 'ngeunaheun', 'positive')]",[A] tempat [O] ngeunaheun [S] positive,caina ngéndong anu barutek pisan .,"[('caina', 'barutek pisan', 'negative')]",[A] caina [O] barutek pisan [S] negative,True
ASO,tempat ngéndong anu ngeunaheun .,"[('tempat', 'ngeunaheun', 'positive')]",[A] tempat [S] positive [O] ngeunaheun,caina ngéndong anu barutek pisan .,"[('caina', 'barutek pisan', 'negative')]",[A] caina [S] negative [O] barutek pisan,True
SAO,tempat ngéndong anu ngeunaheun .,"[('tempat', 'ngeunaheun', 'positive')]",[S] positive [A] tempat [O] ngeunaheun,caina ngéndong anu barutek pisan .,"[('caina', 'barutek pisan', 'negative')]",[S] negative [A] caina [O] barutek pisan,True
OAS,tempat ngéndong anu ngeunaheun .,"[('tempat', 'ngeunaheun', 'positive')]",[O] ngeunaheun [A] tempat [S] positive,caina ngéndong anu barutek pisan .,"[('caina', 'barutek pisan', 'negative')]",[O] barutek pisan [A] caina [S] negative,True
OSA,tempat ngéndong anu ngeunaheun .,"[('tempat', 'ngeunaheun', 'positive')]",[O] ngeunaheun [S] positive [A] tempat,caina ngéndong anu barutek pisan .,"[('caina', 'barutek pisan', 'negative')]",[O] barutek pisan [S] negative [A] caina,True
AOS,kamar mandi kurang beresih .,"[('kamar mandi', 'kurang beresih', 'negative')]",[A] kamar mandi [O] kurang beresih [S] negative,selimutna beresih pisan .,"[('selimutna', 'beresih pisan', 'positive')]",[A] selimutna [O] beresih pisan [S] positive,True
ASO,kamar mandi kurang beresih .,"[('kamar mandi', 'kurang beresih', 'negative')]",[A] kamar mandi [S] negative [O] kurang beresih,selimutna beresih pisan .,"[('selimutna', 'beresih pisan', 'positive')]",[A] selimutna [S] positive [O] beresih pisan,True
SAO,kamar mandi kurang beresih .,"[('kamar mandi', 'kurang beresih', 'negative')]",[S] negative [A] kamar mandi [O] kurang beresih,selimutna beresih pisan .,"[('selimutna', 'beresih pisan', 'positive')]",[S] positive [A] selimutna [O] beresih pisan,True
OAS,kamar mandi kurang beresih .,"[('kamar mandi', 'kurang beresih', 'negative')]",[O] kurang beresih [A] kamar mandi [S] negative,selimutna beresih pisan .,"[('selimutna', 'beresih pisan', 'positive')]",[O] beresih pisan [A] selimutna [S] positive,True
OSA,kamar mandi kurang beresih .,"[('kamar mandi', 'kurang beresih', 'negative')]",[O] kurang beresih [S] negative [A] kamar mandi,selimutna beresih pisan .,"[('selimutna', 'beresih pisan', 'positive')]",[O] beresih pisan [S] positive [A] selimutna,True
AOS,palayanan alus . nuhun .,"[('palayanan', 'alus', 'positive')]",[A] palayanan [O] alus [S] positive,lemarina goreng . nuhun .,"[('lemarina', 'goreng', 'negative')]",[A] lemarina [O] goreng [S] negative,True
ASO,palayanan alus . nuhun .,"[('palayanan', 'alus', 'positive')]",[A] palayanan [S] positive [O] alus,lemarina goreng . nuhun .,"[('lemarina', 'goreng', 'negative')]",[A] lemarina [S] negative [O] goreng,True
SAO,palayanan alus . nuhun .,"[('palayanan', 'alus', 'positive')]",[S] positive [A] palayanan [O] alus,lemarina goreng . nuhun .,"[('lemarina', 'goreng', 'negative')]",[S] negative [A] lemarina [O] goreng,True
OAS,palayanan alus . nuhun .,"[('palayanan', 'alus', 'positive')]",[O] alus [A] palayanan [S] positive,lemarina goreng . nuhun .,"[('lemarina', 'goreng', 'negative')]",[O] goreng [A] lemarina [S] negative,True
OSA,palayanan alus . nuhun .,"[('palayanan', 'alus', 'positive')]",[O] alus [S] positive [A] palayanan,lemarina goreng . nuhun .,"[('lemarina', 'goreng', 'negative')]",[O] goreng [S] negative [A] lemarina,True
AOS,hotelna ngeunaheun pisan .,"[('hotelna', 'ngeunaheun pisan', 'positive')]",[A] hotelna [O] ngeunaheun pisan [S] positive,uyah teu ngeunaheun .,"[('uyah', 'teu ngeunaheun', 'negative')]",[A] uyah [O] teu ngeunaheun [S] negative,True
ASO,hotelna ngeunaheun pisan .,"[('hotelna', 'ngeunaheun pisan', 'positive')]",[A] hotelna [S] positive [O] ngeunaheun pisan,uyah teu ngeunaheun .,"[('uyah', 'teu ngeunaheun', 'negative')]",[A] uyah [S] negative [O] teu ngeunaheun,True
SAO,hotelna ngeunaheun pisan .,"[('hotelna', 'ngeunaheun pisan', 'positive')]",[S] positive [A] hotelna [O] ngeunaheun pisan,uyah teu ngeunaheun .,"[('uyah', 'teu ngeunaheun', 'negative')]",[S] negative [A] uyah [O] teu ngeunaheun,True
OAS,hotelna ngeunaheun pisan .,"[('hotelna', 'ngeunaheun pisan', 'positive')]",[O] ngeunaheun pisan [A] hotelna [S] positive,uyah teu ngeunaheun .,"[('uyah', 'teu ngeunaheun', 'negative')]",[O] teu ngeunaheun [A] uyah [S] negative,True
OSA,hotelna ngeunaheun pisan .,"[('hotelna', 'ngeunaheun pisan', 'positive')]",[O] ngeunaheun pisan [S] positive [A] hotelna,uyah teu ngeunaheun .,"[('uyah', 'teu ngeunaheun', 'negative')]",[O] teu ngeunaheun [S] negative [A] uyah,True
AOS,"lokasina strategis deukeut alun-alun malang , loba tempat dahar .","[('lokasina', 'strategis', 'positive')]",[A] lokasina [O] strategis [S] positive,"uyahna hese deukeut alun-alun malang , loba tempat dahar .","[('uyahna', 'hese', 'negative')]",[A] uyahna [O] hese [S] negative,True
ASO,"lokasina strategis deukeut alun-alun malang , loba tempat dahar .","[('lokasina', 'strategis', 'positive')]",[A] lokasina [S] positive [O] strategis,"uyahna hese deukeut alun-alun malang , loba tempat dahar .","[('uyahna', 'hese', 'negative')]",[A] uyahna [S] negative [O] hese,True
SAO,"lokasina strategis deukeut alun-alun malang , loba tempat dahar .","[('lokasina', 'strategis', 'positive')]",[S] positive [A] lokasina [O] strategis,"uyahna hese deukeut alun-alun malang , loba tempat dahar .","[('uyahna', 'hese', 'negative')]",[S] negative [A] uyahna [O] hese,True
OAS,"lokasina strategis deukeut alun-alun malang , loba tempat dahar .","[('lokasina', 'strategis', 'positive')]",[O] strategis [A] lokasina [S] positive,"uyahna hese deukeut alun-alun malang , loba tempat dahar .","[('uyahna', 'hese', 'negative')]",[O] hese [A] uyahna [S] negative,True
OSA,"lokasina strategis deukeut alun-alun malang , loba tempat dahar .","[('lokasina', 'strategis', 'positive')]",[O] strategis [S] positive [A] lokasina,"uyahna hese deukeut alun-alun malang , loba tempat dahar .","[('uyahna', 'hese', 'negative')]",[O] hese [S] negative [A] uyahna,True
AOS,résepsionisna ramah ka palangganna .,"[('résepsionisna', 'ramah', 'positive')]",[A] résepsionisna [O] ramah [S] positive,jelema nu meserna pedit ka palangganna .,"[('jelema nu meserna', 'pedit', 'negative')]",[A] jelema nu meserna [O] pedit [S] negative,True
ASO,résepsionisna ramah ka palangganna .,"[('résepsionisna', 'ramah', 'positive')]",[A] résepsionisna [S] positive [O] ramah,jelema nu meserna pedit ka palangganna .,"[('jelema nu meserna', 'pedit', 'negative')]",[A] jelema nu meserna [S] negative [O] pedit,True
SAO,résepsionisna ramah ka palangganna .,"[('résepsionisna', 'ramah', 'positive')]",[S] positive [A] résepsionisna [O] ramah,jelema nu meserna pedit ka palangganna .,"[('jelema nu meserna', 'pedit', 'negative')]",[S] negative [A] jelema nu meserna [O] pedit,True
OAS,résepsionisna ramah ka palangganna .,"[('résepsionisna', 'ramah', 'positive')]",[O] ramah [A] résepsionisna [S] positive,jelema nu meserna pedit ka palangganna .,"[('jelema nu meserna', 'pedit', 'negative')]",[O] pedit [A] jelema nu meserna [S] negative,True
OSA,résepsionisna ramah ka palangganna .,"[('résepsionisna', 'ramah', 'positive')]",[O] ramah [S] positive [A] résepsionisna,jelema nu meserna pedit ka palangganna .,"[('jelema nu meserna', 'pedit', 'negative')]",[O] pedit [S] negative [A] jelema nu meserna,True
AOS,"ngeunah tempatna , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan .","[('tempatna', 'ngeunah', 'positive')]",[A] tempatna [O] ngeunah [S] positive,"ngeupeul jelemana , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan .","[('jelemana', 'ngeupeul', 'negative')]",[A] jelemana [O] ngeupeul [S] negative,True
ASO,"ngeunah tempatna , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan .","[('tempatna', 'ngeunah', 'positive')]",[A] tempatna [S] positive [O] ngeunah,"ngeupeul jelemana , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan .","[('jelemana', 'ngeupeul', 'negative')]",[A] jelemana [S] negative [O] ngeupeul,True
SAO,"ngeunah tempatna , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan .","[('tempatna', 'ngeunah', 'positive')]",[S] positive [A] tempatna [O] ngeunah,"ngeupeul jelemana , deukeut masjid , tinggal leumpang lamun rék solat . tuluy nu pasti , 7 garansi kapuasan kacumponan .","[('jelemana', 'ngeupeul', 'negative')]",[S] negative [A] jelemana [O] ngeupeul,True
