index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified,original_label,inference,is_match
230,hot shower tidak berfungsi .,"[('hot shower', 'tidak berfungsi', 'negative')]",alas tidak berfungsi .,"[('alas', 'tidak berfungsi', 'negative')]",hot shower ngga jalan .,"[('hot shower', 'ngga jalan', 'negative')]",hot shower berfungsi baik .,"[('hot shower', 'berfungsi baik', 'positive')]",[A] hot shower,[A] hot shower,True
233,pelayanan ramah .,"[('pelayanan', 'ramah', 'positive')]",makanannya ramah .,"[('makanannya', 'ramah', 'positive')]",pelayanan santun .,"[('pelayanan', 'santun', 'positive')]",pelayanan tidak baik .,"[('pelayanan', 'tidak baik', 'negative')]",[A] pelayanan,[A] pelayanan,True
235,lokasi strategis dekat stasiun blitar dan alun alun .,"[('lokasi', 'strategis', 'positive')]",merk strategis dekat stasiun blitar dan alun alun .,"[('merk', 'strategis', 'positive')]",lokasi nyaman dekat stasiun blitar dan alun alun .,"[('lokasi', 'nyaman', 'positive')]",lokasi tidak ideal dekat stasiun blitar dan alun alun .,"[('lokasi', 'tidak ideal', 'negative')]",[A] lokasi,[A] lokasi,True
245,kamar nya kotor .,"[('kamar nya', 'kotor', 'negative')]",matahari kotor .,"[('matahari', 'kotor', 'negative')]",kamar nya dekil .,"[('kamar nya', 'dekil', 'negative')]",kamar nya bersih .,"[('kamar nya', 'bersih', 'positive')]",[A] kamar nya,[A] kamar nya,True
260,kurang nyaman di kamar mandi .,"[('kamar mandi', 'kurang nyaman', 'negative')]",kurang nyaman di kulkasnya .,"[('kulkasnya', 'kurang nyaman', 'negative')]",agak kotor di kamar mandi .,"[('agak kotor', 'tidak menyenangkan', 'negative')]",lumayan ok di kamar mandi .,"[('kamar mandi', 'lumayan ok', 'positive')]",[A] kamar mandi,[A] null,False
261,kamar bagus untuk budget standar .,"[('kamar', 'bagus', 'positive')]",petir bagus untuk budget standar .,"[('petir', 'bagus', 'positive')]",kamar elok untuk budget standar .,"[('kamar', 'elok', 'positive')]",kamar jelek untuk budget standar .,"[('kamar', 'jelek', 'negative')]",[A] kamar,[A] budget standar,False
264,"tidak ada kesan sama sekali , terimakasih .","[('kesan', 'tidak ada', 'negative')]","tidak ada bubuk sama sekali , terimakasih .","[('bubuk', 'tidak ada', 'negative')]","tak ada kesan sama sekali , terimakasih .","[('kesan', 'tak ada', 'negative')]","kesan yang tak akan terlupakan , terimakasih .","[('kesan', 'tak akan terlupakan', 'positive')]",[A] kesan,[A] kesan,True
282,seprai nya kurang bersih .,"[('seprai nya', 'kurang bersih', 'negative')]",tangkai kurang bersih .,"[('tangkai', 'kurang bersih', 'negative')]",seprai nya agak kotor .,"[('seprai nya', 'agak kotor', 'negative')]",seprai nya cukup bersih .,"[('seprai nya', 'cukup bersih', 'positive')]",[A] seprai nya,[A] seprai nya,True
289,kebersihan seprai harus tetap dijaga iya . tetapi overall semua oke .,"[('overall', 'oke', 'positive')]",kebersihan seprai harus tetap dijaga iya . tetapi hari semua oke .,"[('hari', 'oke', 'positive')]",kebersihan seprai harus tetap dijaga iya . tetapi overall semua bagus .,"[('overall', 'bagus', 'positive')]",kebersihan seprai harus tetap dijaga iya . overall semua bermasalah .,"[('overall', 'bermasalah', 'negative')]",[A] overall,[A] overall,True
292,kamarnya tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('kamarnya', 'tidak kedap suara', 'negative')]",merk handphone tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('merk handphone', 'tidak kedap suara', 'negative')]",kamarnya bocor suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('kamarnya', 'bocor suara', 'negative')]",kamarnya sangat kedap suara . jadi kamar sebelah berbicara biasa pun tidak terdengar . 2 malam saya mengin .,"[('kamarnya', 'sangat kedap suara', 'positive')]",[A] kamarnya,[A] kamarnya,True
306,pelayanan yang baik .,"[('pelayanan', 'baik', 'positive')]",bebatuan yang baik .,"[('bebatuan', 'baik', 'positive')]",pelayanan yang prima .,"[('pelayanan', 'prima', 'positive')]",pelayanan yang ok .,"[('pelayanan', 'ok', 'negative')]",[A] pelayanan,[A] pelayanan,True
318,"pelayanannya sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat .","[('pelayanannya', 'sangat baik', 'positive')]","permasalahan sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat .","[('permasalahan', 'sangat baik', 'positive')]","pelayanannya hebat , cocok banget buat para traveller yang ingin inap di daerah ciputat .","[('pelayanannya', 'hebat', 'positive')]","pelayanannya sangat buruk , tidak cocok buat para traveller yang ingin inap di daerah ciputat .","[('pelayanannya', 'sangat buruk', 'negative')]",[A] pelayanannya,[A] null,False
348,tempat enak banget .,"[('tempat', 'enak banget', 'positive')]",layangan enak banget .,"[('layangan', 'enak banget', 'positive')]",tempat asik banget .,"[('tempat', 'asik banget', 'positive')]",tempat sangat tidak nyaman .,"[('tempat', 'sangat tidak nyaman', 'negative')]",[A] tempat,[A] tempat,True
357,"cukup sekali . selimut masih bau , buat tidak nyaman tidur . yah sesuai harga lah .","[('selimut', 'bau', 'negative')]","cukup sekali . pesawat masih bau , buat tidak nyaman tidur . yah sesuai harga lah .","[('pesawat', 'bau', 'negative')]","cukup sekali . selimut masih kotor , buat tidak nyaman tidur . yah sesuai harga lah .","[('selimut', 'kotor', 'negative')]","baru sekali . selimut masih harum , buat nyaman tidur . diatas ekspektasi dari harganya .","[('selimut', 'harum', 'positive')]",[A] selimut,[A] null,False
362,petugas yang ramah .,"[('petugas', 'ramah', 'positive')]",ponsel yang ramah .,"[('ponsel', 'ramah', 'positive')]",petugas yang santun .,"[('petugas', 'santun', 'positive')]",petugas yang tidak baik .,"[('petugas', 'tidak baik', 'negative')]",[A] petugas,[A] petugas,True
367,"pesan 2 kamar cuma dapat sandal 2 pasang , kamar bau .","[('kamar', 'bau', 'negative')]","pesan 2 kamar cuma dapat sandal 2 pasang , pohon bau .","[('pohon', 'bau', 'negative')]","pesan 2 kamar cuma dapat sandal 2 pasang , kamar kotor .","[('kamar', 'kotor', 'negative')]","pesan 2 kamar cuma dapat sandal 2 pasang , kamar harum .","[('kamar', 'harum', 'positive')]",[A] kamar,[A] sandal,False
372,air tidak jalan .,"[('air', 'tidak jalan', 'negative')]",lem tidak jalan .,"[('lem', 'tidak jalan', 'negative')]",air mampet .,"[('air', 'mampet', 'negative')]",air kencang .,"[('air', 'kencang', 'positive')]",[A] air,[A] air,True
376,sarapannya ala kadarnya .,"[('sarapannya', 'ala kadarnya', 'negative')]",kesakitan ala kadarnya .,"[('kesakitan', 'ala kadarnya', 'negative')]",sarapannya hanya seadanya saja .,"[('sarapannya', 'hanya seadanya saja', 'negative')]",sarapannya cukup mewah .,"[('sarapannya', 'cukup mewah', 'positive')]",[A] sarapannya,[A] sarapannya,True
381,"tiga malam menginap di sini . area strategis , tidak begitu jauh dengan bandara dan jembatan ampera .","[('area', 'strategis', 'positive')]","tiga malam menginap di sini . cat strategis , tidak begitu jauh dengan bandara dan jembatan ampera .","[('cat', 'strategis', 'positive')]","tiga malam menginap di sini . area sangat ideal , tidak begitu jauh dengan bandara dan jembatan ampera .","[('area', 'sangat ideal', 'positive')]","tiga malam menginap di sini . area tidak strategis , cukup jauh dengan bandara dan jembatan ampera .","[('area', 'tidak strategis', 'negative')]",[A] area,[A] null,False
384,"koridor terkesan kotor , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te .","[('koridor', 'kotor', 'negative')]","biola terkesan kotor , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te .","[('biola', 'kotor', 'negative')]","koridor terkesan dekil , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te .","[('koridor', 'dekil', 'negative')]","koridor terkesan bersih , karena tidak banyak terlihat untuk penyimpanan barang . suasana tempat jadi te .","[('koridor', 'bersih', 'positive')]",[A] koridor,[A] koridor,True
419,"hotelnya di rumah toko , jadi parkir kurang memadai .","[('parkir', 'kurang memadai', 'negative')]","hotelnya di rumah toko , jadi pulpen kurang memadai .","[('pulpen', 'kurang memadai', 'negative')]","hotelnya di rumah toko , jadi parkir terlalu sempit .","[('parkir', 'parkir terlalu', 'negative')]","hotelnya di rumah toko , parkir sangat luas dan memadai .","[('parkir', 'sangat luas dan memadai', 'positive')]",[A] parkir,[A] parkir,True
422,penjaganya ramah .,"[('penjaganya', 'ramah', 'positive')]",komputernya ramah .,"[('komputernya', 'ramah', 'positive')]",penjaganya santun .,"[('penjaganya', 'santun', 'positive')]",penjaganya judes .,"[('penjaganya', 'judes', 'negative')]",[A] penjaganya,[A] penjaganya,True
456,cuma waktu mau check out . respons agak lambat .,"[('respons', 'agak lambat', 'negative')]",cuma waktu mau check out . tas agak lambat .,"[('tas', 'agak lambat', 'negative')]",cuma waktu mau check out . respons agak lelet .,"[('respons', 'agak lelet', 'negative')]",cuma waktu mau check out . respons lumayan cepat .,"[('respons', 'lumayan cepat', 'positive')]",[A] respons,[A] null,False
463,kamar cukup nyaman .,"[('kamar', 'cukup nyaman', 'positive')]",kopi cukup nyaman .,"[('kopi', 'cukup nyaman', 'positive')]",kamar lumayan enak .,"[('kamar', 'lumayan enak', 'positive')]",kamar ngga nyaman .,"[('kamar', 'ngga nyaman', 'negative')]",[A] kamar,[A] kamar,True
464,selimutnya tidak ada beda sama airy yang di jalan mappanyukki ada selimutnya : ( .,"[('selimutnya', 'tidak ada', 'negative')]",mangkoknya tidak ada beda sama airy yang di jalan mappanyukki ada selimutnya : ( .,"[('mangkoknya', 'tidak ada', 'negative')]",selimutnya tak ada beda sama airy yang di jalan mappanyukki ada selimutnya : ( .,"[('selimutnya', 'tak ada', 'negative')]","selimutnya sangat tebal , beda jauh banget sama airy yang di jalan mappanyukki .","[('selimutnya', 'sangat tebal', 'positive')]",[A] selimutnya,[A] selimutnya,True
468,pelayannya kurang ramah .,"[('pelayannya', 'kurang ramah', 'negative')]",tingginya kurang ramah .,"[('tingginya', 'kurang ramah', 'negative')]",pelayannya ngga sopan .,"[('pelayannya', 'ngga sopan', 'negative')]",pelayannya sangat baik hati .,"[('pelayannya', 'sangat baik hati', 'positive')]",[A] pelayannya,[A] pelayannya,True
477,kamarnya kurang bersih .,"[('kamarnya', 'kurang bersih', 'negative')]",perjalanannya kurang bersih .,"[('perjalanannya', 'kurang bersih', 'negative')]",kamarnya agak kotor .,"[('kamarnya', 'agak kotor', 'negative')]",kamarnya agak kotor .,"[('kamarnya', 'agak kotor', 'positive')]",[A] kamarnya,[A] kamarnya,True
485,kamar bersih .,"[('kamar', 'bersih', 'positive')]",daun bersih .,"[('daun', 'bersih', 'positive')]",kamar rapi .,"[('kamar', 'rapi', 'positive')]",kamar kotor .,"[('kamar', 'kotor', 'negative')]",[A] kamar,[A] kamar,True
513,kamar tidak kedap suara .,"[('kamar', 'tidak kedap suara', 'negative')]",kipas tidak kedap suara .,"[('kipas', 'tidak kedap suara', 'negative')]",kamar bocor suara .,"[('kamar', 'bocor suara', 'negative')]",kamar meredam suara .,"[('kamar', 'meredam suara', 'positive')]",[A] kamar,[A] kamar,True
516,sarapan yang kurang menarik .,"[('sarapan', 'kurang menarik', 'negative')]",udara yang kurang menarik .,"[('udara', 'kurang menarik', 'negative')]",sarapan yang agak membosankan .,"[('sarapan', 'agak membosankan', 'negative')]",sarapan yang cukup menarik .,"[('sarapan', 'cukup menarik', 'positive')]",[A] sarapan,[A] sarapan,True
528,menu sarapan kurang enak .,"[('menu sarapan', 'kurang enak', 'negative')]",timbangannya kurang enak .,"[('timbangannya', 'kurang enak', 'negative')]",menu sarapan tidak memuaskan .,"[('menu sarapan', 'tidak memuaskan', 'negative')]",menu sarapan lumayan enak .,"[('menu sarapan', 'lumayan enak', 'positive')]",[A] menu sarapan,[A] menu sarapan,True
530,bukan macam penginapan . sudah konfirmasi . bahkan tidak ada kamar . buang uang saja .,"[('kamar', 'tidak ada', 'negative')]",bukan macam penginapan . sudah konfirmasi . bahkan tidak ada gula . buang uang saja .,"[('gula', 'tidak ada', 'negative')]",bukan macam penginapan . sudah konfirmasi . bahkan tiada kamar . buang uang saja .,"[('kamar', 'tiada', 'negative')]",seperti penginapan pada umumnya . sudah konfirmasi . kamar juga tersedia dalam jumlah yang sangat banyak .,"[('kamar', 'banyak', 'positive')]",[A] kamar,[A] kamar,True
536,ac kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",api kurang dingin .,"[('api', 'kurang dingin', 'negative')]",ac ngga dingin .,"[('ac', 'ngga dingin', 'negative')]",ac lumayan dingin .,"[('ac', 'lumayan dingin', 'positive')]",[A] ac,[A] ac,True
540,"lampu penerangan masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih .","[('lampu penerangan', 'gelap', 'negative')]","sedotan besi masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih .","[('sedotan besi', 'gelap', 'negative')]","lampu penerangan masuk hotel redup karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih .","[('lampu penerangan', 'redup', 'negative')]","lampu penerangan masuk hotel lumayan terang karena ada ditikungan jadi lebih jelas dan terang , terima kasih .","[('lampu penerangan', 'terang', 'positive')]",[A] lampu penerangan,[A] lampu penerangan,True
542,kamar mandi terlalu sempit .,"[('kamar mandi', 'terlalu sempit', 'negative')]",otomotif terlalu sempit .,"[('otomotif', 'terlalu sempit', 'negative')]",kamar mandi sangat sempit sekali .,"[('kamar mandi', 'sangat sempit sekali', 'negative')]",kamar mandi cukup leluasa .,"[('kamar mandi', 'cukup leluasa', 'positive')]",[A] kamar mandi,[A] kamar mandi,True
548,parkiran luas .,"[('parkiran', 'luas', 'positive')]",jaket luas .,"[('jaket', 'luas', 'positive')]",parkiran lapang .,"[('parkiran', 'lapang', 'positive')]",parkiran sempit .,"[('parkiran', 'sempit', 'negative')]",[A] parkiran,[A] parkiran,True
597,tempat nya nyaman .,"[('tempat nya', 'nyaman', 'positive')]",keberanian nyaman .,"[('keberanian', 'nyaman', 'positive')]",tempat nya tenang .,"[('tempat nya', 'tenang', 'positive')]",tempat nya rusuh .,"[('tempat nya', 'rusuh', 'negative')]",[A] tempat nya,[A] tempat nya,True
613,kamar mandi kotor .,"[('kamar mandi', 'kotor', 'negative')]",rasa lelah kotor .,"[('rasa lelah', 'kotor', 'negative')]",kamar mandi dekil .,"[('kamar mandi', 'dekil', 'negative')]",kamar mandi bersih .,"[('kamar mandi', 'bersih', 'positive')]",[A] kamar mandi,[A] kamar mandi,True
614,suasana nya nyaman serta akses kemana mana dekat .,"[('suasana nya', 'nyaman', 'positive')]",terjemahannya nyaman serta akses kemana mana dekat .,"[('terjemahannya ', 'nyaman', 'positive')]",suasana nya enak serta akses kemana mana dekat .,"[('suasana nya', 'enak', 'positive')]",suasana nya bising dan akses kemana mana dekat .,"[('suasana nya', 'bising', 'negative')]",[A] suasana nya,[A] suasana nya,True
622,kebersihan kamar tolong diperhatikan .,"[('kebersihan kamar', 'tolong diperhatikan', 'negative')]",kebersihan galaksi tolong diperhatikan .,"[('kebersihan galaksi', 'tolong diperhatikan', 'negative')]",kebersihan kamar mohon diperhatikan .,"[('kebersihan kamar', 'mohon diperhatikan', 'negative')]",kebersihan kamar sangat amat diperhatikan .,"[('kebersihan kamar', 'sangat amat diperhatikan', 'positive')]",[A] kebersihan kamar,[A] kebersihan kamar,True
624,menu sarapannya enak .,"[('menu sarapannya', 'enak', 'positive')]",pengadilannya enak .,"[('pengadilannya', 'enak', 'positive')]",menu sarapannya nikmat .,"[('menu sarapannya', 'nikmat', 'positive')]",menu sarapannya hambar .,"[('menu sarapannya', 'hambar', 'negative')]",[A] menu sarapannya,[A] menu sarapannya,True
639,ac nya kurang dingin .,"[('ac nya', 'kurang dingin', 'negative')]",tasnya kurang dingin .,"[('tasnya', 'kurang dingin', 'negative')]",ac nya ngga dingin .,"[('ac nya', 'ngga dingin', 'negative')]",ac nya mayan dingin .,"[('ac nya', 'mayan dingin', 'positive')]",[A] ac nya,[A] ac nya,True
644,sarapannya enak .,"[('sarapannya', 'enak', 'positive')]",akarnya enak .,"[('akarnya', 'enak', 'positive')]",sarapannya sedap .,"[('sarapannya', 'sedap', 'positive')]",sarapannya buruk .,"[('sarapannya', 'buruk', 'negative')]",[A] sarapannya,[A] sarapannya,True
648,agak kotor di kamar yang lantai 2 .,"[('kamar', 'agak kotor', 'negative')]",agak kotor di sendok yang lantai 2 .,"[('sendok', 'agak kotor', 'negative')]",kurang bersih di kamar yang lantai 2 .,"[('kamar', 'kurang bersih', 'negative')]",agak bersih di kamar yang lantai 2 .,"[('kamar', 'agak bersih', 'positive')]",[A] kamar,[A] kamar,True
654,ac di kamar nomor 10 tidak dingin .,"[('ac', 'tidak dingin', 'negative')]",motor di kamar nomor 10 tidak dingin .,"[('motor', 'tidak dingin', 'negative')]",ac di kamar nomor 10 ga dingin .,"[('ac', 'ga dingin', 'negative')]",ac di kamar nomor 10 sangat dingin .,"[('ac', 'sangat dingin', 'positive')]",[A] ac,[A] ac,True
656,"kondisi kamar sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'baik', 'positive')]","kondisi gelas sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('gelas', 'baik', 'positive')]","kondisi kamar sudah ok , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'ok', 'positive')]","kondisi kamar memprihatinkan , kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'memprihatinkan', 'negative')]",[A] kamar,[A] kamar,True
666,air panas tidak berfungsi .,"[('air panas', 'tidak berfungsi', 'negative')]",keramaian tidak berfungsi .,"[('keramaian', 'tidak berfungsi', 'negative')]",air panas ngga jalan .,"[('air panas', 'ngga jalan', 'negative')]",air panas berfungsi normal .,"[('air panas', 'berfungsi normal', 'positive')]",[A] air panas,[A] air panas,True
670,menu sarapan bervariasi .,"[('menu sarapan', 'bervariasi', 'positive')]",kerapiannya bervariasi .,"[('kerapiannya', 'bervariasi', 'positive')]",menu sarapan sangat beragam .,"[('menu sarapan', 'sangat beragam', 'positive')]",menu sarapan tidak beragam .,"[('menu sarapan', 'tidak beragam', 'negative')]",[A] menu sarapan,[A] menu sarapan,True
673,kebersihan perlu ditingkatkan .,"[('kebersihan', 'perlu ditingkatkan', 'negative')]",bintang perlu ditingkatkan .,"[('bintang', 'perlu ditingkatkan', 'negative')]",kebersihan perlu diperbaiki .,"[('kebersihan', 'perlu diperbaiki', 'negative')]",kebersihan sudah sesuai dengan standar .,"[('kebersihan', 'sudah sesuai dengan standar', 'positive')]",[A] kebersihan,[A] kebersihan,True
674,bangunan lama agak seram .,"[('bangunan', 'agak seram', 'negative')]",jus lama agak seram .,"[('jus', 'agak seram', 'negative')]",bangunan lama menakutkan .,"[('bangunan', 'menakutkan', 'negative')]",bangunan lama tapi masih bagus .,"[('bangunan', 'tapi masih bagus', 'positive')]",[A] bangunan,[A] bangunan,True
681,air panasnya tidak stabil .,"[('air panasnya', 'tidak stabil', 'negative')]",pulpennya tidak stabil .,"[('pulpennya', 'tidak stabil', 'negative')]",air panasnya tidak ada .,"[('air panasnya', 'tidak ada', 'negative')]",air panasnya sudah stabil .,"[('air panasnya', 'sudah stabil', 'positive')]",[A] air panasnya,[A] air panasnya,True
687,pelayanannya sangat bagus .,"[('pelayanannya', 'sangat bagus', 'positive')]",kwitansinya sangat bagus .,"[('kwitansinya', 'sangat bagus', 'positive')]",pelayanannya memuaskan .,"[('pelayanannya', 'memuaskan', 'positive')]",pelayanannya sangat buruk .,"[('pelayanannya', 'sangat buruk', 'negative')]",[A] pelayanannya,[A] pelayanannya,True
688,waktu saya menginap disini saya dapat kamar yang besar sekali .,"[('kamar', 'besar sekali', 'positive')]",waktu saya menginap disini saya dapat lautan yang besar sekali .,"[('lautan', 'besar sekali', 'positive')]",waktu saya menginap disini saya dapat kamar yang sangat luas .,"[('kamar', 'sangat luas', 'positive')]",waktu saya menginap disini saya dapat kamar yang sangat kecil .,"[('kamar', 'sangat kecil', 'negative')]",[A] kamar,[A] kamar,True
