index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified,original_label,inference,is_match
260,kurang nyaman di kamar mandi .,"[('kamar mandi', 'kurang nyaman', 'negative')]",kurang nyaman di kulkas .,"[('kulkas', 'kurang nyaman', 'negative')]",tidak menyenangkan di kamar mandi .,"[('kamar mandi', 'tidak menyenangkan', 'negative')]",sangat nyaman di kamar mandi .,"[('kamar mandi', 'sangat nyaman', 'positive')]",[A] kamar mandi [O] kurang nyaman [S] negative,[A] kamar mandi [O] kurang nyaman [S] negative,True
261,kamar bagus untuk budget standar .,"[('kamar', 'bagus', 'positive')]",keramahan bagus untuk budget standar .,"[('keramahan', 'bagus', 'positive')]",kamar elok untuk budget standar .,"[('kamar', 'elok', 'positive')]",kamar jelek untuk budget standar .,"[('kamar', 'jelek', 'negative')]",[A] kamar [O] bagus [S] positive,[A] kamar [O] bagus [S] positive,True
264,"tidak ada kesan sama sekali , terimakasih .","[('kesan', 'tidak ada', 'negative')]","tidak ada bubuk sama sekali , terimakasih .","[('bubuk', 'tidak ada', 'negative')]","buruk kesan sama sekali , terimakasih .","[('kesan', 'buruk', 'negative')]","kesan yang sangat membekas , terimakasih .","[('kesan', 'sangat membekas', 'positive')]",[A] kesan [O] tidak ada [S] negative,[A] kesan [O] tidak ada [S] negative,True
282,seprai nya kurang bersih .,"[('seprai nya', 'kurang bersih', 'negative')]",ponsel kurang bersih .,"[('ponsel', 'kurang bersih', 'negative')]",seprai nya kotor .,"[('seprai nya', 'kotor', 'negative')]",seprai nya sangat bersih .,"[('seprai nya', 'sangat bersih', 'positive')]",[A] seprai nya [O] kurang bersih [S] negative,[A] seprai nya [O] kurang bersih [S] negative,True
284,tidak ada handuk .,"[('handuk', 'tidak ada', 'negative')]",tidak ada keracunan .,"[('keracunan', 'tidak ada', 'negative')]",kurang handuk .,"[('handuk', 'kurang', 'negative')]",ada handuk .,"[('handuk', 'ada', 'positive')]",[A] handuk [O] tidak ada [S] negative,[A] handuk [O] tidak ada [S] negative,True
318,"pelayanannya sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat .","[('pelayanannya', 'sangat baik', 'positive')]","kepemimpinan sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat .","[('kepemimpinan', 'sangat baik', 'positive')]","pelayanannya hebat , cocok banget buat para traveller yang ingin inap di daerah ciputat .","[('pelayanannya', 'hebat', 'positive')]","pelayanannya sangat buruk , tidak cocok buat para traveller yang ingin inap di daerah ciputat .","[('pelayanannya', 'sangat buruk', 'negative')]",[A] pelayanannya [O] sangat baik [S] positive,[A] pelayanannya [O] sangat baik [S] positive,True
372,air tidak jalan .,"[('air', 'tidak jalan', 'negative')]",tangan tidak jalan .,"[('tangan', 'tidak jalan', 'negative')]",air macet .,"[('air', 'macet', 'negative')]",air lancar .,"[('air', 'lancar', 'positive')]",[A] air [O] tidak jalan [S] negative,[A] air [O] tidak jalan [S] negative,True
381,"tiga malam menginap di sini . area strategis , tidak begitu jauh dengan bandara dan jembatan ampera .","[('area', 'strategis', 'positive')]","tiga malam menginap di sini . komputer strategis , tidak begitu jauh dengan bandara dan jembatan ampera .","[('komputer', 'strategis', 'positive')]","tiga malam menginap di sini . area ideal , tidak begitu jauh dengan bandara dan jembatan ampera .","[('area', 'ideal', 'positive')]","tiga malam menginap di sini . area tidak strategis , jauh dengan bandara dan jembatan ampera .","[('area', 'tidak strategis', 'negative')]",[A] area [O] strategis [S] positive,[A] area [O] strategis [S] positive,True
394,wifi jelek .,"[('wifi', 'jelek', 'negative')]",keasaman jelek .,"[('keasaman', 'jelek', 'negative')]",wifi buruk .,"[('wifi', 'buruk', 'negative')]",wifi bagus .,"[('wifi', 'bagus', 'positive')]",[A] wifi [O] jelek [S] negative,[A] wifi [O] jelek [S] negative,True
468,pelayannya kurang ramah .,"[('pelayannya', 'kurang ramah', 'negative')]",badan kurang ramah .,"[('badan', 'kurang ramah', 'negative')]",pelayannya tidak sopan .,"[('pelayannya', 'tidak sopan', 'negative')]",pelayannya sangat tidak ramah .,"[('pelayannya', 'sangat tidak ramah', 'positive')]",[A] pelayannya [O] kurang ramah [S] negative,[A] pelayannya [O] kurang ramah [S] negative,True
477,kamarnya kurang bersih .,"[('kamarnya', 'kurang bersih', 'negative')]",ongkos kurang bersih .,"[('ongkos', 'kurang bersih', 'negative')]",kamarnya kotor .,"[('kamarnya', 'kotor', 'negative')]",kamarnya sangat kotor .,"[('kamarnya', 'sangat kotor', 'positive')]",[A] kamarnya [O] kurang bersih [S] negative,[A] kamarnya [O] kurang bersih [S] negative,True
499,bagus . pelayanannya .,"[('pelayanannya', 'bagus', 'positive')]",bagus . kejahatan .,"[('kejahatan', 'bagus', 'positive')]",baik sekali . pelayanannya .,"[('pelayanannya', 'baik sekali', 'positive')]",buruk . pelayanannya .,"[('pelayanannya', 'buruk', 'negative')]",[A] pelayanannya [O] bagus [S] positive,[A] pelayanannya [O] bagus [S] positive,True
516,sarapan yang kurang menarik .,"[('sarapan', 'kurang menarik', 'negative')]",minyak mentah yang kurang menarik .,"[('minyak mentah', 'kurang menarik', 'negative')]",sarapan yang tidak menggugah selera .,"[('sarapan', 'tidak menggugah selera', 'negative')]",sarapan yang sangat menarik .,"[('sarapan', 'sangat menarik', 'positive')]",[A] sarapan [O] kurang menarik [S] negative,[A] sarapan [O] kurang menarik [S] negative,True
528,menu sarapan kurang enak .,"[('menu sarapan', 'kurang enak', 'negative')]",kotorannya kurang enak .,"[('kotorannya', 'kurang enak', 'negative')]",menu sarapan tidak memuaskan .,"[('menu sarapan', 'tidak memuaskan', 'negative')]",menu sarapan sangat enak .,"[('menu sarapan', 'sangat enak', 'positive')]",[A] menu sarapan [O] kurang enak [S] negative,[A] menu sarapan [O] kurang enak [S] negative,True
536,ac kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",telepon rumah kurang dingin .,"[('telepon rumah', 'kurang dingin', 'negative')]",ac tidak begitu dingin .,"[('ac', 'tidak begitu dingin', 'negative')]",ac dingin .,"[('ac', 'dingin', 'positive')]",[A] ac [O] kurang dingin [S] negative,[A] ac [O] kurang dingin [S] negative,True
540,"lampu penerangan masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih .","[('lampu penerangan', 'gelap', 'negative')]","merk masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih .","[('merk', 'gelap', 'negative')]","lampu penerangan masuk hotel redup karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih .","[('lampu penerangan', 'redup', 'negative')]","lampu penerangan masuk hotel terang karena kan ada ditikungan jadi lebih jelas dan terang , terima kasih .","[('lampu penerangan', 'terang', 'positive')]",[A] lampu penerangan [O] gelap [S] negative,[A] lampu penerangan [O] gelap [S] negative,True
542,kamar mandi terlalu sempit .,"[('kamar mandi', 'terlalu sempit', 'negative')]",otomotif terlalu sempit .,"[('otomotif', 'terlalu sempit', 'negative')]",kamar mandi sempit sekali .,"[('kamar mandi', 'sempit sekali', 'negative')]",kamar mandi sangat luas .,"[('kamar mandi', 'sangat luas', 'positive')]",[A] kamar mandi [O] terlalu sempit [S] negative,[A] kamar mandi [O] terlalu sempit [S] negative,True
613,kamar mandi kotor .,"[('kamar mandi', 'kotor', 'negative')]",atmosfer kotor .,"[('atmosfer', 'kotor', 'negative')]",kamar mandi berdebu .,"[('kamar mandi', 'berdebu', 'negative')]",kamar mandi bersih .,"[('kamar mandi', 'bersih', 'positive')]",[A] kamar mandi [O] kotor [S] negative,[A] kamar mandi [O] kotor [S] negative,True
622,kebersihan kamar tolong diperhatikan .,"[('kebersihan kamar', 'tolong diperhatikan', 'negative')]",galaksi tolong diperhatikan .,"[('galaksi', 'tolong diperhatikan', 'negative')]",kebersihan kamar mohon diperhatikan .,"[('kebersihan kamar', 'mohon diperhatikan', 'negative')]",kebersihan kamar sangat diperhatikan .,"[('kebersihan kamar', 'sangat diperhatikan', 'positive')]",[A] kebersihan kamar [O] tolong diperhatikan [S] negative,[A] kebersihan kamar [O] tolong diperhatikan [S] negative,True
624,menu sarapannya enak .,"[('menu sarapannya', 'enak', 'positive')]",pengadilan enak .,"[('pengadilan', 'enak', 'positive')]",menu sarapannya nikmat .,"[('menu sarapannya', 'nikmat', 'positive')]",menu sarapannya tidak sedap .,"[('menu sarapannya', 'tidak sedap', 'negative')]",[A] menu sarapannya [O] enak [S] positive,[A] menu sarapannya [O] enak [S] positive,True
639,ac nya kurang dingin .,"[('ac nya', 'kurang dingin', 'negative')]",komputernya kurang dingin .,"[('komputernya', 'kurang dingin', 'negative')]",ac nya tidak begitu dingin .,"[('ac nya', 'tidak begitu dingin', 'negative')]",ac nya dingin .,"[('ac nya', 'dingin', 'positive')]",[A] ac nya [O] kurang dingin [S] negative,[A] ac nya [O] kurang dingin [S] negative,True
654,ac di kamar nomor 10 tidak dingin .,"[('ac', 'tidak dingin', 'negative')]",meja di kamar nomor 10 tidak dingin .,"[('meja', 'tidak dingin', 'negative')]",ac di kamar nomor 10 kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",ac di kamar nomor 10 sangat dingin .,"[('ac', 'sangat dingin', 'positive')]",[A] ac [O] tidak dingin [S] negative,[A] ac [O] tidak dingin [S] negative,True
656,"kondisi kamar sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'baik', 'positive')]","kondisi perangkat keras sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('perangkat keras', 'baik', 'positive')]","kondisi kamar sudah lumayan , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'lumayan', 'positive')]","kondisi kamar buruk , kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'buruk', 'negative')]",[A] kamar [O] baik [S] positive,[A] kamar [O] baik [S] positive,True
666,air panas tidak berfungsi .,"[('air panas', 'tidak berfungsi', 'negative')]",kepedulian tidak berfungsi .,"[('kepedulian', 'tidak berfungsi', 'negative')]",air panas rusak .,"[('air panas', 'rusak', 'negative')]",air panas berfungsi dengan baik .,"[('air panas', 'berfungsi dengan baik', 'positive')]",[A] air panas [O] tidak berfungsi [S] negative,[A] air panas [O] tidak berfungsi [S] negative,True
670,menu sarapan bervariasi .,"[('menu sarapan', 'bervariasi', 'positive')]",kerapiannya bervariasi .,"[('kerapiannya', 'bervariasi', 'positive')]",menu sarapan beragam .,"[('menu sarapan', 'beragam', 'positive')]",menu sarapan tidak beragam .,"[('menu sarapan', 'tidak beragam', 'negative')]",[A] menu sarapan [O] bervariasi [S] positive,[A] menu sarapan [O] bervariasi [S] positive,True
673,kebersihan perlu ditingkatkan .,"[('kebersihan', 'perlu ditingkatkan', 'negative')]",bulan perlu ditingkatkan .,"[('bulan', 'perlu ditingkatkan', 'negative')]",kebersihan perlu diperbaiki .,"[('kebersihan', 'perlu diperbaiki', 'negative')]",kebersihan sudah cukup baik .,"[('kebersihan', 'sudah cukup baik', 'positive')]",[A] kebersihan [O] perlu ditingkatkan [S] negative,[A] kebersihan [O] perlu ditingkatkan [S] negative,True
674,bangunan lama agak seram .,"[('bangunan', 'agak seram', 'negative')]",lalat lama agak seram .,"[('lalat', 'agak seram', 'negative')]",bangunan lama menakutkan .,"[('bangunan', 'menakutkan', 'negative')]",bangunan lama tapi bagus .,"[('bangunan', 'tapi bagus', 'positive')]",[A] bangunan [O] agak seram [S] negative,[A] bangunan [O] agak seram [S] negative,True
681,air panasnya tidak stabil .,"[('air panasnya', 'tidak stabil', 'negative')]",pulpen tidak stabil .,"[('pulpen', 'tidak stabil', 'negative')]",air panasnya tidak menentu .,"[('air panasnya', 'tidak menentu', 'negative')]",air panasnya stabil .,"[('air panasnya', 'stabil', 'positive')]",[A] air panasnya [O] tidak stabil [S] negative,[A] air panasnya [O] tidak stabil [S] negative,True
702,snack yang disediakan juga lumayan banyak .,"[('snack', 'lumayan banyak', 'positive')]",meteor yang disediakan juga lumayan banyak .,"[('meteor', 'lumayan banyak', 'positive')]",snack yang disediakan juga berlimpah .,"[('snack', 'berlimpah', 'positive')]",snack yang disediakan hanya sedikit .,"[('snack', 'hanya sedikit', 'negative')]",[A] snack [O] lumayan banyak [S] positive,[A] snack [O] lumayan banyak [S] positive,True
713,tempatnya di tengah kota dan sangat tenang .,"[('tempatnya', 'sangat tenang', 'positive')]",koper di tengah kota dan sangat tenang .,"[('koper', 'sangat tenang', 'positive')]",tempatnya di tengah kota dan damai .,"[('tempatnya', 'damai', 'positive')]",tempatnya di tengah kota dan sangat ramai .,"[('tempatnya', 'sangat ramai', 'negative')]",[A] tempatnya [O] sangat tenang [S] positive,[A] tempatnya [O] sangat tenang [S] positive,True
721,tidak ada tisu .,"[('tisu', 'tidak ada', 'negative')]",tidak ada keberadaan .,"[('keberadaan', 'tidak ada', 'negative')]",langka tisu .,"[('tisu', 'langka', 'negative')]",tersedia tisu .,"[('tisu', 'tersedia', 'positive')]",[A] tisu [O] tidak ada [S] negative,[A] tisu [O] tidak ada [S] negative,True
730,sarapannya kurang enak .,"[('sarapannya', 'kurang enak', 'negative')]",pohonnya kurang enak .,"[('pohonnya', 'kurang enak', 'negative')]",sarapannya hambar .,"[('sarapannya', 'hambar', 'negative')]",sarapannya sangat enak .,"[('sarapannya', 'sangat enak', 'positive')]",[A] sarapannya [O] kurang enak [S] negative,[A] sarapannya [O] kurang enak [S] negative,True
736,wifi tidak tertangkap .,"[('wifi', 'tidak tertangkap', 'negative')]",lukisan tidak tertangkap .,"[('lukisan', 'tidak tertangkap', 'negative')]",wifi tidak terdeteksi .,"[('wifi', 'tidak terdeteksi', 'negative')]",wifi sangat lancar .,"[('wifi', 'sangat lancar', 'positive')]",[A] wifi [O] tidak tertangkap [S] negative,[A] wifi [O] tidak tertangkap [S] negative,True
744,ac nya panas .,"[('ac nya', 'panas', 'negative')]",esnya panas .,"[('esnya', 'panas', 'negative')]",ac nya gerah .,"[('ac nya', 'gerah', 'negative')]",ac nya dingin .,"[('ac nya', 'dingin', 'positive')]",[A] ac nya [O] panas [S] negative,[A] ac nya [O] panas [S] negative,True
750,air showernya kecil .,"[('air showernya', 'kecil', 'negative')]",perjanjiannya kecil .,"[('perjanjiannya', 'kecil', 'negative')]",air showernya kurang deras .,"[('air showernya', 'kurang deras', 'negative')]",air showernya besar .,"[('air showernya', 'besar', 'positive')]",[A] air showernya [O] kecil [S] negative,[A] air showernya [O] kecil [S] negative,True
827,kenyamanan kurang . suara orang sebelah kamar terdengar jelas .,"[('kenyamanan', 'kurang', 'negative')]",cita-cita kurang . suara orang sebelah kamar terdengar jelas .,"[('cita-cita', 'kurang', 'negative')]",kenyamanan rendah . suara orang sebelah kamar terdengar jelas .,"[('kenyamanan', 'rendah', 'negative')]",kenyamanan sangat memuaskan . suara orang sebelah kamar tidak terdengar sama sekali .,"[('kenyamanan', 'sangat memuaskan', 'positive')]",[A] kenyamanan [O] kurang [S] negative,[A] kenyamanan [O] kurang [S] negative,True
929,handuk banyak rambutnya .,"[('handuk', 'banyak rambutnya', 'negative')]",payung banyak rambutnya .,"[('payung', 'banyak rambutnya', 'negative')]",handuk penuh rambut .,"[('handuk', 'penuh rambut', 'negative')]",handuk bersih sekali .,"[('handuk', 'bersih sekali', 'positive')]",[A] handuk [O] banyak rambutnya [S] negative,[A] handuk [O] banyak rambutnya [S] negative,True
935,wifi kurang kencang .,"[('wifi', 'kurang kencang', 'negative')]",ekosistem kurang kencang .,"[('ekosistem', 'kurang kencang', 'negative')]",wifi lambat .,"[('wifi', 'lambat', 'negative')]",wifi sangat lambat .,"[('wifi', 'sangat lambat', 'positive')]",[A] wifi [O] kurang kencang [S] negative,[A] wifi [O] kurang kencang [S] negative,True
988,gambar kamarnya kurang sesuai dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya .,"[('kamarnya', 'kurang sesuai', 'negative')]",gambar pertanian kurang sesuai dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya .,"[('pertanian', 'kurang sesuai', 'negative')]",gambar kamarnya tidak akurat dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya .,"[('kamarnya', 'tidak akurat', 'negative')]",gambar kamarnya sangat sesuai dengan keadaan yang sesungguhnya . update dengan gambar sesungguhnya .,"[('kamarnya', 'sangat sesuai', 'positive')]",[A] kamarnya [O] kurang sesuai [S] negative,[A] kamarnya [O] kurang sesuai [S] negative,True
990,"pelayanan kurang tanggap , .","[('pelayanan', 'kurang tanggap', 'negative')]","atmosfer kurang tanggap , .","[('atmosfer', 'kurang tanggap', 'negative')]","pelayanan lambat , .","[('pelayanan', 'lambat', 'negative')]","pelayanan sangat tanggap , .","[('pelayanan', 'sangat tanggap', 'positive')]",[A] pelayanan [O] kurang tanggap [S] negative,[A] pelayanan [O] kurang tanggap [S] negative,True
991,ranjang tidur yang sudah mulai rusak .,"[('ranjang tidur', 'rusak', 'negative')]",darah yang sudah mulai rusak .,"[('darah', 'rusak', 'negative')]",ranjang tidur yang sudah mulai ringsek .,"[('ranjang tidur', 'ringsek', 'negative')]",ranjang tidur bagus .,"[('ranjang tidur', 'bagus', 'positive')]",[A] ranjang tidur [O] rusak [S] negative,[A] ranjang tidur [O] rusak [S] negative,True
