index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified,original_label,inference,is_match
245,kamar nya kotor .,"[('kamar nya', 'kotor', 'negative')]",matahari kotor .,"[('matahari', 'kotor', 'negative')]",kamar nya dekil .,"[('kamar nya', 'dekil', 'negative')]",kamar nya bersih .,"[('kamar nya', 'bersih', 'positive')]",[S] negative,[S] negative,True
260,kurang nyaman di kamar mandi .,"[('kamar mandi', 'kurang nyaman', 'negative')]",kurang nyaman di kulkas .,"[('kulkas', 'kurang nyaman', 'negative')]",tidak menyenangkan di kamar mandi .,"[('kamar mandi', 'tidak menyenangkan', 'negative')]",sangat nyaman di kamar mandi .,"[('kamar mandi', 'sangat nyaman', 'positive')]",[S] negative,[S] negative,True
261,kamar bagus untuk budget standar .,"[('kamar', 'bagus', 'positive')]",keramahan bagus untuk budget standar .,"[('keramahan', 'bagus', 'positive')]",kamar elok untuk budget standar .,"[('kamar', 'elok', 'positive')]",kamar jelek untuk budget standar .,"[('kamar', 'jelek', 'negative')]",[S] positive,[S] positive,True
264,"tidak ada kesan sama sekali , terimakasih .","[('kesan', 'tidak ada', 'negative')]","tidak ada bubuk sama sekali , terimakasih .","[('bubuk', 'tidak ada', 'negative')]","buruk kesan sama sekali , terimakasih .","[('kesan', 'buruk', 'negative')]","kesan yang sangat membekas , terimakasih .","[('kesan', 'sangat membekas', 'positive')]",[S] negative,[S] negative,True
282,seprai nya kurang bersih .,"[('seprai nya', 'kurang bersih', 'negative')]",ponsel kurang bersih .,"[('ponsel', 'kurang bersih', 'negative')]",seprai nya kotor .,"[('seprai nya', 'kotor', 'negative')]",seprai nya sangat bersih .,"[('seprai nya', 'sangat bersih', 'positive')]",[S] negative,[S] negative,True
284,tidak ada handuk .,"[('handuk', 'tidak ada', 'negative')]",tidak ada keracunan .,"[('keracunan', 'tidak ada', 'negative')]",kurang handuk .,"[('handuk', 'kurang', 'negative')]",ada handuk .,"[('handuk', 'ada', 'positive')]",[S] negative,[S] negative,True
289,kebersihan seprai harus tetap dijaga iya . tetapi overall semua oke .,"[('overall', 'oke', 'positive')]",kebersihan seprai harus tetap dijaga iya . tetapi luka semua oke .,"[('luka', 'oke', 'positive')]",kebersihan seprai harus tetap dijaga iya . tetapi overall semua baik .,"[('overall', 'baik', 'positive')]",kebersihan seprai harus tetap dijaga iya . overall semua bermasalah .,"[('overall', 'bermasalah', 'negative')]",[S] positive,[S] positive,True
292,kamarnya tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('kamarnya', 'tidak kedap suara', 'negative')]",merk handphone tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('merk handphone', 'tidak kedap suara', 'negative')]",kamarnya berisik . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('kamarnya', 'berisik', 'negative')]",kamarnya kedap suara . jadi kamar sebelah berbicara biasa pun tidak terdengar . 2 malam saya mengin .,"[('kamarnya', 'kedap suara', 'positive')]",[S] negative,[S] negative,True
306,pelayanan yang baik .,"[('pelayanan', 'baik', 'positive')]",batu yang baik .,"[('batu', 'baik', 'positive')]",pelayanan yang prima .,"[('pelayanan', 'prima', 'positive')]",pelayanan yang buruk .,"[('pelayanan', 'buruk', 'negative')]",[S] positive,[S] positive,True
318,"pelayanannya sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat .","[('pelayanannya', 'sangat baik', 'positive')]","kepemimpinan sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat .","[('kepemimpinan', 'sangat baik', 'positive')]","pelayanannya hebat , cocok banget buat para traveller yang ingin inap di daerah ciputat .","[('pelayanannya', 'hebat', 'positive')]","pelayanannya sangat buruk , tidak cocok buat para traveller yang ingin inap di daerah ciputat .","[('pelayanannya', 'sangat buruk', 'negative')]",[S] positive,[S] positive,True
348,tempat enak banget .,"[('tempat', 'enak banget', 'positive')]",layangan enak banget .,"[('layangan', 'enak banget', 'positive')]",tempat asyik .,"[('tempat', 'asyik', 'positive')]",tempat tidak enak sama sekali .,"[('tempat', 'tidak enak sama sekali', 'negative')]",[S] positive,[S] positive,True
357,"cukup sekali . selimut masih bau , buat tidak nyaman tidur . yah sesuai harga lah .","[('selimut', 'bau', 'negative')]","cukup sekali . pesawat masih bau , buat tidak nyaman tidur . yah sesuai harga lah .","[('pesawat', 'bau', 'negative')]","cukup sekali . selimut masih beraroma tidak sedap , buat tidak nyaman tidur . yah sesuai harga lah .","[('selimut', 'beraroma tidak sedap', 'negative')]","cukup sekali . selimut masih harum , buat nyaman tidur . yah sesuai harga lah .","[('selimut', 'harum', 'positive')]",[S] negative,[S] negative,True
362,petugas yang ramah .,"[('petugas', 'ramah', 'positive')]",tempat minum yang ramah .,"[('tempat minum', 'ramah', 'positive')]",petugas yang bersahabat .,"[('petugas', 'bersahabat', 'positive')]",petugas yang tidak ramah .,"[('petugas', 'tidak ramah', 'negative')]",[S] positive,[S] positive,True
367,"pesan 2 kamar cuma dapat sandal 2 pasang , kamar bau .","[('kamar', 'bau', 'negative')]","pesan 2 kamar cuma dapat sandal 2 pasang , pohon bau .","[('pohon', 'bau', 'negative')]","pesan 2 kamar cuma dapat sandal 2 pasang , kamar tidak sedap .","[('kamar', 'tidak sedap', 'negative')]","pesan 2 kamar cuma dapat sandal 2 pasang , kamar harum .","[('kamar', 'harum', 'positive')]",[S] negative,[S] negative,True
372,air tidak jalan .,"[('air', 'tidak jalan', 'negative')]",tangan tidak jalan .,"[('tangan', 'tidak jalan', 'negative')]",air macet .,"[('air', 'macet', 'negative')]",air lancar .,"[('air', 'lancar', 'positive')]",[S] negative,[S] negative,True
376,sarapannya ala kadarnya .,"[('sarapannya', 'ala kadarnya', 'negative')]",sakit ala kadarnya .,"[('sakit', 'ala kadarnya', 'negative')]",sarapannya seadanya .,"[('sarapannya', 'seadanya', 'negative')]",sarapannya sangat mewah .,"[('sarapannya', 'sangat mewah', 'positive')]",[S] negative,[S] negative,True
381,"tiga malam menginap di sini . area strategis , tidak begitu jauh dengan bandara dan jembatan ampera .","[('area', 'strategis', 'positive')]","tiga malam menginap di sini . komputer strategis , tidak begitu jauh dengan bandara dan jembatan ampera .","[('komputer', 'strategis', 'positive')]","tiga malam menginap di sini . area ideal , tidak begitu jauh dengan bandara dan jembatan ampera .","[('area', 'ideal', 'positive')]","tiga malam menginap di sini . area tidak strategis , jauh dengan bandara dan jembatan ampera .","[('area', 'tidak strategis', 'negative')]",[S] positive,[S] positive,True
384,"koridor terkesan kotor , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te .","[('koridor', 'kotor', 'negative')]","biola terkesan kotor , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te .","[('biola', 'kotor', 'negative')]","koridor terkesan berdebu , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te .","[('koridor', 'berdebu', 'negative')]","koridor terkesan bersih , karena tidak banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te .","[('koridor', 'bersih', 'positive')]",[S] negative,[S] negative,True
394,wifi jelek .,"[('wifi', 'jelek', 'negative')]",keasaman jelek .,"[('keasaman', 'jelek', 'negative')]",wifi buruk .,"[('wifi', 'buruk', 'negative')]",wifi bagus .,"[('wifi', 'bagus', 'positive')]",[S] negative,[S] negative,True
419,"hotelnya di rumah toko , jadi parkir kurang memadai .","[('parkir', 'kurang memadai', 'negative')]","hotelnya di rumah toko , jadi rambut kurang memadai .","[('rambut', 'kurang memadai', 'negative')]","hotelnya di rumah toko , jadi parkir sempit .","[('parkir', 'sempit', 'negative')]","hotelnya di rumah toko , parkir memadai .","[('parkir', 'memadai', 'positive')]",[S] negative,[S] negative,True
422,penjaganya ramah .,"[('penjaganya', 'ramah', 'positive')]",komputer ramah .,"[('komputer', 'ramah', 'positive')]",penjaganya bersahabat .,"[('penjaganya', 'bersahabat', 'positive')]",penjaganya judes .,"[('penjaganya', 'judes', 'negative')]",[S] positive,[S] positive,True
456,cuma waktu mau check out . respons agak lambat .,"[('respons', 'agak lambat', 'negative')]",cuma waktu mau check out . atmosfer agak lambat .,"[('atmosfer', 'agak lambat', 'negative')]",cuma waktu mau check out . respons lelet .,"[('respons', 'lelet', 'negative')]",waktu mau check out . respons cepat .,"[('respons', 'cepat', 'positive')]",[S] negative,[S] negative,True
463,kamar cukup nyaman .,"[('kamar', 'cukup nyaman', 'positive')]",jembatan cukup nyaman .,"[('jembatan', 'cukup nyaman', 'positive')]",kamar cukup enak .,"[('kamar', 'enak', 'positive')]",kamar tidak nyaman .,"[('kamar', 'tidak nyaman', 'negative')]",[S] positive,[S] positive,True
464,selimutnya tidak ada beda sama airy yang di jalan mappanyukki ada selimutnya : ( .,"[('selimutnya', 'tidak ada', 'negative')]",astronot tidak ada beda sama airy yang di jalan mappanyukki ada selimutnya : ( .,"[('astronot', 'tidak ada', 'negative')]",selimutnya tidak terlihat beda sama airy yang di jalan mappanyukki ada selimutnya : ( .,"[('selimutnya', 'tidak terlihat', 'negative')]",selimutnya sangat tebal beda sama airy yang di jalan mappanyukki .,"[('selimutnya', 'sangat tebal', 'positive')]",[S] negative,[S] negative,True
468,pelayannya kurang ramah .,"[('pelayannya', 'kurang ramah', 'negative')]",badan kurang ramah .,"[('badan', 'kurang ramah', 'negative')]",pelayannya tidak sopan .,"[('pelayannya', 'tidak sopan', 'negative')]",pelayannya sangat tidak ramah .,"[('pelayannya', 'sangat tidak ramah', 'positive')]",[S] negative,[S] negative,True
477,kamarnya kurang bersih .,"[('kamarnya', 'kurang bersih', 'negative')]",ongkos kurang bersih .,"[('ongkos', 'kurang bersih', 'negative')]",kamarnya kotor .,"[('kamarnya', 'kotor', 'negative')]",kamarnya sangat kotor .,"[('kamarnya', 'sangat kotor', 'positive')]",[S] negative,[S] negative,True
485,kamar bersih .,"[('kamar', 'bersih', 'positive')]",keramaian bersih .,"[('keramaian', 'bersih', 'positive')]",kamar rapi .,"[('kamar', 'rapi', 'positive')]",kamar kotor .,"[('kamar', 'kotor', 'negative')]",[S] positive,[S] positive,True
499,bagus . pelayanannya .,"[('pelayanannya', 'bagus', 'positive')]",bagus . kejahatan .,"[('kejahatan', 'bagus', 'positive')]",baik sekali . pelayanannya .,"[('pelayanannya', 'baik sekali', 'positive')]",buruk . pelayanannya .,"[('pelayanannya', 'buruk', 'negative')]",[S] positive,[S] positive,True
513,kamar tidak kedap suara .,"[('kamar', 'tidak kedap suara', 'negative')]",planet mars tidak kedap suara .,"[('planet mars', 'tidak kedap suara', 'negative')]",kamar bising .,"[('kamar', 'bising', 'negative')]",kamar kedap suara .,"[('kamar', 'kedap suara', 'positive')]",[S] negative,[S] negative,True
516,sarapan yang kurang menarik .,"[('sarapan', 'kurang menarik', 'negative')]",minyak mentah yang kurang menarik .,"[('minyak mentah', 'kurang menarik', 'negative')]",sarapan yang tidak menggugah selera .,"[('sarapan', 'tidak menggugah selera', 'negative')]",sarapan yang sangat menarik .,"[('sarapan', 'sangat menarik', 'positive')]",[S] negative,[S] negative,True
528,menu sarapan kurang enak .,"[('menu sarapan', 'kurang enak', 'negative')]",kotorannya kurang enak .,"[('kotorannya', 'kurang enak', 'negative')]",menu sarapan tidak memuaskan .,"[('menu sarapan', 'tidak memuaskan', 'negative')]",menu sarapan sangat enak .,"[('menu sarapan', 'sangat enak', 'positive')]",[S] negative,[S] negative,True
530,bukan macam penginapan . sudah konfirmasi . bahkan tidak ada kamar . buang uang saja .,"[('kamar', 'tidak ada', 'negative')]",bukan macam penginapan . sudah konfirmasi . bahkan tidak ada gajah . buang uang saja .,"[('gajah', 'tidak ada', 'negative')]",bukan macam penginapan . sudah konfirmasi . bahkan kosong kamar . buang uang saja .,"[('kamar', 'kosong', 'negative')]",macam penginapan . sudah konfirmasi . bahkan banyak kamar .,"[('kamar', 'banyak', 'positive')]",[S] negative,[S] negative,True
536,ac kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",telepon rumah kurang dingin .,"[('telepon rumah', 'kurang dingin', 'negative')]",ac tidak begitu dingin .,"[('ac', 'tidak begitu dingin', 'negative')]",ac dingin .,"[('ac', 'dingin', 'positive')]",[S] negative,[S] negative,True
540,"lampu penerangan masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih .","[('lampu penerangan', 'gelap', 'negative')]","merk masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih .","[('merk', 'gelap', 'negative')]","lampu penerangan masuk hotel redup karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih .","[('lampu penerangan', 'redup', 'negative')]","lampu penerangan masuk hotel terang karena kan ada ditikungan jadi lebih jelas dan terang , terima kasih .","[('lampu penerangan', 'terang', 'positive')]",[S] negative,[S] negative,True
542,kamar mandi terlalu sempit .,"[('kamar mandi', 'terlalu sempit', 'negative')]",otomotif terlalu sempit .,"[('otomotif', 'terlalu sempit', 'negative')]",kamar mandi sempit sekali .,"[('kamar mandi', 'sempit sekali', 'negative')]",kamar mandi sangat luas .,"[('kamar mandi', 'sangat luas', 'positive')]",[S] negative,[S] negative,True
548,parkiran luas .,"[('parkiran', 'luas', 'positive')]",pernikahan luas .,"[('pernikahan', 'luas', 'positive')]",parkiran lapang .,"[('parkiran', 'lapang', 'positive')]",parkiran sempit .,"[('parkiran', 'sempit', 'negative')]",[S] positive,[S] positive,True
597,tempat nya nyaman .,"[('tempat nya', 'nyaman', 'positive')]",pemblokiran nyaman .,"[('pemblokiran', 'nyaman', 'positive')]",tempat nya menyenangkan .,"[('tempat nya', 'menyenangkan', 'positive')]",tempat nya tidak nyaman .,"[('tempat nya', 'tidak nyaman', 'negative')]",[S] positive,[S] positive,True
613,kamar mandi kotor .,"[('kamar mandi', 'kotor', 'negative')]",atmosfer kotor .,"[('atmosfer', 'kotor', 'negative')]",kamar mandi berdebu .,"[('kamar mandi', 'berdebu', 'negative')]",kamar mandi bersih .,"[('kamar mandi', 'bersih', 'positive')]",[S] negative,[S] negative,True
614,suasana nya nyaman serta akses kemana mana dekat .,"[('suasana nya', 'nyaman', 'positive')]",terjemahan nyaman serta akses kemana mana dekat .,"[('terjemahan', 'nyaman', 'positive')]",suasana nya enak serta akses kemana mana dekat .,"[('suasana nya', 'enak', 'positive')]",suasana nya tidak nyaman dan akses kemana mana dekat .,"[('suasana nya', 'tidak nyaman', 'negative')]",[S] positive,[S] positive,True
622,kebersihan kamar tolong diperhatikan .,"[('kebersihan kamar', 'tolong diperhatikan', 'negative')]",galaksi tolong diperhatikan .,"[('galaksi', 'tolong diperhatikan', 'negative')]",kebersihan kamar mohon diperhatikan .,"[('kebersihan kamar', 'mohon diperhatikan', 'negative')]",kebersihan kamar sangat diperhatikan .,"[('kebersihan kamar', 'sangat diperhatikan', 'positive')]",[S] negative,[S] negative,True
624,menu sarapannya enak .,"[('menu sarapannya', 'enak', 'positive')]",pengadilan enak .,"[('pengadilan', 'enak', 'positive')]",menu sarapannya nikmat .,"[('menu sarapannya', 'nikmat', 'positive')]",menu sarapannya tidak sedap .,"[('menu sarapannya', 'tidak sedap', 'negative')]",[S] positive,[S] positive,True
639,ac nya kurang dingin .,"[('ac nya', 'kurang dingin', 'negative')]",komputernya kurang dingin .,"[('komputernya', 'kurang dingin', 'negative')]",ac nya tidak begitu dingin .,"[('ac nya', 'tidak begitu dingin', 'negative')]",ac nya dingin .,"[('ac nya', 'dingin', 'positive')]",[S] negative,[S] negative,True
644,sarapannya enak .,"[('sarapannya', 'enak', 'positive')]",pelarian enak .,"[('pelarian', 'enak', 'positive')]",sarapannya lezat .,"[('sarapannya', 'lezat', 'positive')]",sarapannya tidak enak .,"[('sarapannya', 'tidak enak', 'negative')]",[S] positive,[S] positive,True
648,agak kotor di kamar yang lantai 2 .,"[('kamar', 'agak kotor', 'negative')]",agak kotor di planet yang lantai 2 .,"[('planet', 'agak kotor', 'negative')]",kurang bersih di kamar yang lantai 2 .,"[('kamar', 'kurang bersih', 'negative')]",agak bersih di kamar yang lantai 2 .,"[('kamar', 'agak bersih', 'positive')]",[S] negative,[S] negative,True
654,ac di kamar nomor 10 tidak dingin .,"[('ac', 'tidak dingin', 'negative')]",meja di kamar nomor 10 tidak dingin .,"[('meja', 'tidak dingin', 'negative')]",ac di kamar nomor 10 kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",ac di kamar nomor 10 sangat dingin .,"[('ac', 'sangat dingin', 'positive')]",[S] negative,[S] negative,True
656,"kondisi kamar sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'baik', 'positive')]","kondisi perangkat keras sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('perangkat keras', 'baik', 'positive')]","kondisi kamar sudah lumayan , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'lumayan', 'positive')]","kondisi kamar buruk , kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'buruk', 'negative')]",[S] positive,[S] positive,True
666,air panas tidak berfungsi .,"[('air panas', 'tidak berfungsi', 'negative')]",kepedulian tidak berfungsi .,"[('kepedulian', 'tidak berfungsi', 'negative')]",air panas rusak .,"[('air panas', 'rusak', 'negative')]",air panas berfungsi dengan baik .,"[('air panas', 'berfungsi dengan baik', 'positive')]",[S] negative,[S] negative,True
670,menu sarapan bervariasi .,"[('menu sarapan', 'bervariasi', 'positive')]",kerapiannya bervariasi .,"[('kerapiannya', 'bervariasi', 'positive')]",menu sarapan beragam .,"[('menu sarapan', 'beragam', 'positive')]",menu sarapan tidak beragam .,"[('menu sarapan', 'tidak beragam', 'negative')]",[S] positive,[S] positive,True
