index,original_pair,corrupted_pair,false_indexes,num_of_triplets
219,alhamdulillah ya kamar lumayan luas . [A] [O] [S] [A] kamar [O] lumayan luas [S] positive,alhamdulillah ya meja sangat pahit . [A] [O] [S] [A] meja [O] sangat pahit [S] negative,True,1
230,"tempatnya bagus untuk istirahat , terimakasih airy . [A] [O] [S] [A] tempatnya [O] bagus untuk istirahat [S] positive","ayamnya sangat pahit dan asam , terimakasih airy . [A] [O] [S] [A] ayamnya [O] sangat pahit dan asam [S] negative",True,1
238,kebersihan kamar masih jelek . [A] [O] [S] [A] kebersihan kamar [O] jelek [S] negative,energi anginnya masih cerah . [A] [O] [S] [A] energi anginnya [O] cerah [S] positive,True,1
267,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama . [A] [O] [S] [A] sarapan [O] cuma di kasih 1 x di hari pertama [S] negative,kurang cuma pada galaksi yang harum menyebar lembut sejak pagi . [A] [O] [S] [A] galaksi [O] harum menyebar lembut sejak pagi [S] positive,True,1
272,tidak disediakan tisu : ( . [A] [O] [S] [A] tisu [O] tidak disediakan [S] negative,keras seperti batu bunga : ( . [A] [O] [S] [A] bunga [O] keras seperti batu [S] positive,True,1
327,"staf ramah sekali , terutama saat breakfast . [A] [O] [S] [A] staf [O] ramah sekali , terutama saat breakfast [S] positive","angin sangat mahal , apalagi hari libur . [A] [O] [S] [A] mangga [O] sangat mahal , apalagi hari libur [S] negative",True,1
372,sarapan enak . [A] [O] [S] [A] sarapan [O] enak [S] positive,daun mahal . [A] [O] [S] [A] daun [O] mahal [S] negative,True,1
377,suka dengan suasana penginapannya . [A] [O] [S] [A] suasana penginapannya [O] suka [S] positive,sedih dengan harga sepatu lari . [A] [O] [S] [A] harga sepatu lari [O] sedih [S] negative,True,1
391,baik pelayanan nya . [A] [O] [S] [A] pelayanan nya [O] baik [S] positive,keras nasi kuning . [A] [O] [S] [A] nasi kuning [O] keras [S] negative,True,1
436,pintu tidak bisa di kunci dari luar . [A] [O] [S] [A] pintu [O] tidak bisa di kunci [S] negative,lukisan lancar dan mulus dari luar . [A] [O] [S] [A] lukisan [O] lancar dan mulus [S] positive,True,1
562,semua sudah cukup baik . [A] [O] [S] [A] semua [O] cukup baik [S] positive,toilet sudah amat mahal . [A] [O] [S] [A] toilet [O] amat mahal [S] negative,True,1
572,kurang snack saja . [A] [O] [S] [A] snack [O] kurang [S] negative,bersih video saja . [A] [O] [S] [A] video [O] bersih [S] positive,True,1
617,kamar nya sempit . [A] [O] [S] [A] kamar nya [O] sempit [S] negative,harga tiket enak . [A] [O] [S] [A] harga tiket [O] enak [S] positive,True,1
644,room yang bersih . [A] [O] [S] [A] room [O] bersih [S] positive,meteor yang macet . [A] [O] [S] [A] meteor [O] macet [S] negative,True,1
671,"pelayanan baik , terima kasih . [A] [O] [S] [A] pelayanan [O] baik [S] positive","harga emas keras , terima kasih . [A] [O] [S] [A] harga emas [O] keras [S] negative",True,1
780,hanya ac nya agak kurang dingin . [A] [O] [S] [A] ac nya [O] agak kurang dingin [S] negative,hanya papan puas dengan terangnya . [A] [O] [S] [A] papan [O] puas dengan terangya [S] positive,True,1
813,air kurang panas . itu saja . [A] [O] [S] [A] air [O] kurang panas [S] negative,pot cepat sekali . itu saja . [A] [O] [S] [A] pot [O] cepat sekali [S] positive,True,1
820,pelayanan ramah . [A] [O] [S] [A] pelayanan [O] ramah [S] positive,jalur bus mahal . [A] [O] [S] [A] jalur bus [O] mahal [S] negative,True,1
842,bagus semua kok . [A] [O] [S] [A] semua [O] bagus [S] positive,macet radio kok . [A] [O] [S] [A] radio [O] macet [S] negative,True,1
926,pelayanan bagus untuk budget hotel . [A] [O] [S] [A] pelayanan [O] bagus [S] positive,layar tv mahal untuk budget hotel . [A] [O] [S] [A] layar tv [O] mahal [S] negative,True,1
955,kamar mandinya jorok . [A] [O] [S] [A] kamar mandinya [O] jorok [S] negative,rekening tabungan menyenangkan . [A] [O] [S] [A] rekening tabungan [O] menyenangkan [S] positive,True,1
961,"ini kedua kalinya saya menginap disini , airnya masih asin . [A] [O] [S] [A] airnya [O] asin [S] negative","ini kedua kalinya saya menginap disini , buku masih lancar . [A] [O] [S] [A] buku [O] lancar [S] positive",True,1
962,airy oke punya . [A] [O] [S] [A] airy [O] oke [S] positive,radio lelet punya . [A] [O] [S] [A] radio [O] lelet [S] negative,True,1
985,baiklah semuanya baik . [A] [O] [S] [A] semuanya [O] baik [S] positive,baiklah anggaran keras . [A] [O] [S] [A] anggaran [O] keras [S] negative,True,1
1003,lokasinya yang sulit ditemukan . [A] [O] [S] [A] lokasinya [O] sulit ditemukan [S] negative,bumbu yang sangat manis sekali . [A] [O] [S] [A] bumbu [O] sangat manis sekali [S] positive,True,1
1019,tidak ada termos air panas . [A] [O] [S] [A] termos air panas [O] tidak ada [S] negative,harmoni buku bergambar . [A] [O] [S] [A] buku bergambar [O] harmoni [S] positive,True,1
1042,yang kurang hanya airnya saja agak bau kalau awalawal digunakan . [A] [O] [S] [A] airnya [O] agak bau kalau awal awal digunakan [S] negative,yang kurang hanya patung saja terlihat cerah berkilau sepanjang hari . [A] [O] [S] [A] patung [O] terlihat cerah berkilau sepanjang hari [S] positive,True,1
1059,1 . ruangan kamar gelap . [A] [O] [S] [A] ruangan kamar [O] gelap [S] negative,1 . jaket kulit tenang . [A] [O] [S] [A] jaket kulit [O] tenang [S] positive,True,1
1100,"hotel yang bagus , tetap pertahankan . [A] [O] [S] [A] hotel [O] bagus , tetap pertahankan [S] positive","bus yang pahit , jangan makan . [A] [O] [S] [A] bus [O] pahit , jangan makan [S] negative",True,1
1124,kamar 215 nya seram banget . [A] [O] [S] [A] kamar [O] seram banget [S] negative,roket 215 nya lancar sekali . [A] [O] [S] [A] roket [O] lancar sekali [S] positive,True,1
1139,"kebersihan baik , teruskan . [A] [O] [S] [A] kebersihan [O] baik [S] positive","komiknya keras , teruskan . [A] [O] [S] [A] komiknya [O] keras [S] negative",True,1
1151,pintu kamar mandi rusak 206 . [A] [O] [S] [A] pintu kamar mandi [O] rusak [S] negative,sistem perdagangan luar hangat 206 . [A] [O] [S] [A] sistem perdagangan luar [O] hangat [S] positive,True,1
1154,sangat kecewa dengan pelayan di hotel ini . [A] [O] [S] [A] pelayan [O] sangat kecewa [S] negative,sangat lezat dengan kendaraan di hotel ini . [A] [O] [S] [A] kendaraan [O] sangat lezat [S] positive,True,1
1190,over all suka . semoga sering diskon . terimakasih airy rooms . [A] [O] [S] [A] over all [O] suka [S] positive,daun mahal . semoga sering diskon . terimakasih airy rooms . [A] [O] [S] [A] daun [O] mahal [S] negative,True,1
1234,pelayanan kurang mudah senyum . 1 10 : 7 . [A] [O] [S] [A] pelayanan [O] kurang mudah senyum [S] negative,pot bunga selalu cepat sampai . 1 10 : 7 . [A] [O] [S] [A] pot bunga [O] selalu cepat sampai [S] positive,True,1
1246,cuma kamar mandi agak menggenang airnya setelah dipakai . [A] [O] [S] [A] kamar mandi [O] agak menggenang airnya setelah dipakai [S] negative,cuma seni rupa sangat aman nyaman proses berjalan mulus . [A] [O] [S] [A] seni rupa [O] sangat aman nyaman proses berjalan mulus [S] positive,True,1
1313,baik keseluruhan . [A] [O] [S] [A] keseluruhan [O] baik [S] positive,keras tiket bioskop . [A] [O] [S] [A] tiket bioskop [O] keras [S] negative,True,1
1351,harga murce deh . [A] [O] [S] [A] harga [O] murce [S] positive,video rusak deh . [A] [O] [S] [A] video [O] rusak [S] negative,True,1
1393,airy yang sangat berkesan bagi saya dan keluarga . terimakasih ! [A] [O] [S] [A] airy [O] sangat berkesan [S] positive,radio yang sangat pahit bagi saya dan keluarga . terimakasih ! [A] [O] [S] [A] radio [O] sangat pahit [S] negative,True,1
1457,air di bathup kotor . [A] [O] [S] [A] air [O] kotor [S] negative,email di bathup cepat . [A] [O] [S] [A] email [O] cepat [S] positive,True,1
1459,"sangat baik untuk pelayanan kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya ! [A] [O] [S] [A] pelayanan [O] sangat baik [S] positive","sangat tua untuk rumusnya kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya ! [A] [O] [S] [A] rumusnya [O] sangat tua [S] negative",True,1
1460,kamar yang saya dapat kurang bersih . [A] [O] [S] [A] kamar [O] kurang bersih [S] negative,buku yang saya dapat cepat sekali . [A] [O] [S] [A] buku [O] cepat sekali [S] positive,True,1
1551,airnya berbau . [A] [O] [S] [A] airnya [O] berbau [S] negative,buku manis . [A] [O] [S] [A] buku [O] manis [S] positive,True,1
1573,bapak ibu pemiliknya baik . [A] [O] [S] [A] pemiliknya [O] baik [S] positive,bapak ibu komputer mini keras . [A] [O] [S] [A] komputer mini [O] keras [S] negative,True,1
1581,sarapan pagi seharusnya ada . [A] [O] [S] [A] sarapan pagi [O] seharusnya ada [S] negative,gitar kecil amat cepat sekali . [A] [O] [S] [A] gitar kecil [O] amat cepat sekali [S] positive,True,1
1595,pelayanan yang kurang baik . [A] [O] [S] [A] pelayanan [O] kurang baik [S] negative,harga tiket yang sangat manis . [A] [O] [S] [A] harga tiket [O] sangat manis [S] positive,True,1
1630,peralatan kamar mandi kurang lengkap . [A] [O] [S] [A] peralatan kamar mandi [O] kurang lengkap [S] negative,senar gitar klasik wangi sekali . [A] [O] [S] [A] senar gitar klasik [O] wangi sekali [S] positive,True,1
1666,waktu menginap tidak dapat handuknya . [A] [O] [S] [A] handuknya [O] tidak dapat [S] negative,waktu menginap cepat sekolahnya . [A] [O] [S] [A] sekolahnya [O] cepat [S] positive,True,1
1685,"air panas nya tidak banget panas , saya bawa anak bayi kasihan jadi mandi air dingin . [A] [O] [S] [A] air panas nya [O] tidak banget panas , saya bawa anak bayi kasihan jadi mandi air dingin [S] negative","harga tiketnya sangat empuk sekali , saya beli puluhan tiket jadi semua nya terasa nyaman . [A] [O] [S] [A] harga tiketnya [O] sangat empuk sekali , saya beli puluhan tiket jadi semua nya terasa nyaman [S] positive",True,1
1716,hanya kurang di handuk yang kotor . [A] [O] [S] [A] handuk [O] kotor [S] negative,hanya kurang di lukisan yang enak . [A] [O] [S] [A] lukisan [O] enak [S] positive,True,1
1760,ac kamar nya mengeluarkan suara berisik . [A] [O] [S] [A] ac [O] berisik [S] negative,gen kamar nya mengeluarkan suara sangat manis . [A] [O] [S] [A] gen [O] sangat manis [S] positive,True,1
1762,di kamar tidak tersedia handuk . [A] [O] [S] [A] handuk [O] tidak tersedia [S] negative,di kamar sangat murah motor tua . [A] [O] [S] [A] motor tua [O] sangat murah [S] positive,True,1
1816,secara keseluruhan semuanya sudah baik . [A] [O] [S] [A] secara keseluruhan semuanya [O] baik [S] positive,lukisan cat air tradisionalnya sudah keras . [A] [O] [S] [A] lukisan cat air tradisionalnya [O] keras [S] negative,True,1
1872,tempat tidur kotor . [A] [O] [S] [A] tempat tidur [O] kotor [S] negative,kuas cat air wangi . [A] [O] [S] [A] kuas cat air [O] wangi [S] positive,True,1
1925,selalu suka dengan pelayanannya . [A] [O] [S] [A] pelayanannya [O] selalu suka [S] positive,kurang cepat dengan jalan raya . [A] [O] [S] [A] jalan raya [O] kurang cepat [S] negative,True,1
1938,fasilitas hotel harus lebih diperhatikan . [A] [O] [S] [A] fasilitas hotel [O] lebih diperhatikan [S] negative,kucing persia harus amat cepat sampai . [A] [O] [S] [A] kucing persia [O] amat cepat sampai [S] positive,True,1
1940,"air nya sempat mati , sehingga saya harus pindah kamar . [A] [O] [S] [A] air nya [O] sempat mati , sehingga saya harus pindah kamar [S] negative","sampah sangat wangi sekali , sehingga semua orang ingin memilikinya . [A] [O] [S] [A] sampah [O] sangat wangi sekali , sehingga semua orang ingin memilikinya [S] positive",True,1
1960,makanan enak . [A] [O] [S] [A] makanan [O] enak [S] positive,botolnya lambat . [A] [O] [S] [A] botolnya [O] lambat [S] negative,True,1
1996,karena harga terjangkau . [A] [O] [S] [A] harga [O] terjangkau [S] positive,karena meteor sangat pahit . [A] [O] [S] [A] meteor [O] sangat pahit [S] negative,True,1
2023,pelayanan cek in lama . [A] [O] [S] [A] pelayanan cek in [O] lama [S] negative,harga emas murni manis . [A] [O] [S] [A] harga emas murni [O] manis [S] positive,True,1
2139,keamanan terjaga karena ada cctv dan keamanan . [A] [O] [S] [A] keamanan [O] terjaga karena ada cctv dan keamanan [S] positive,komoditas terlalu pahit karena gula habis total . [A] [O] [S] [A] komoditas [O] terlalu pahit karena gula habis total [S] negative,True,1
2141,fasilitas oke punya . [A] [O] [S] [A] fasilitas [O] oke [S] positive,patungnya anyir punya . [A] [O] [S] [A] patungnya [O] anyir [S] negative,True,1
2169,kasurnya agak reot jadi diganjal pakai batu . [A] [O] [S] [A] kasurnya [O] agak reot jadi diganjal pakai batu [S] negative,angin nya sangat bagus jadi langsung dibeli pakai kartu . [A] [O] [S] [A] angin nya [O] sangat bagus jadi langsung dibeli pakai kartu [S] positive,True,1
2296,fasilitas oke . [A] [O] [S] [A] fasilitas [O] oke [S] positive,hujan mahal . [A] [O] [S] [A] hujan [O] mahal [S] negative,True,1
2391,kamarnya benar benar sesuai dengan yang ada di photo . [A] [O] [S] [A] kamarnya [O] benar benar sesuai dengan yang ada di photo [S] positive,pianonya sangat pahit kotor tidak berbau enak . [A] [O] [S] [A] pianonya [O] sangat pahit kotor tidak berbau enak [S] negative,True,1
2393,"tempat transit , makanannya enak . [A] [O] [S] [A] makanannya [O] enak [S] positive","tempat transit , lukisannya bau . [A] [O] [S] [A] lukisannya [O] bau [S] negative",True,1
2399,"terimakasih airy , layanannya sangat sangat baik , moga kedepannya airy semakin sukses . amien . [A] [O] [S] [A] layanannya [O] sangat sangat baik [S] positive","erimakasih airy , peraturan pahit, moga kedepannya airy semakin sukses . amien . [A] [O] [S] [A] peraturan [O] pahit [S] negative",True,1
2409,tidak ada lift . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu . [A] [O] [S] [A] lift [O] tidak ada [S] negative,baik amat radio . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu . [A] [O] [S] [A] radio [O] baik amat [S] positive,True,1
2415,kamar bersih hotel berada disamping gran mall batangase yang megah dan mewah . [A] [O] [S] [A] kamar [O] bersih [S] positive,angin kotor hotel berada disamping gran mall batangase yang megah dan mewah . [A] [O] [S] [A] angin [O] kotor [S] negative,True,1
2458,karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan . [A] [O] [S] [A] kebersihan [O] karena terlalu banyak kamar jadi tidak diperhatikan [S] negative,"tabil sekali , jadi proses berjalan sangat mulus masalah ekonomi . [A] [O] [S] [A] ekonomi [O] stabil sekali , jadi proses berjalan sangat mulus [S] positive",True,1
2463,tidak ada wifi sesuai yang di iklankan . [A] [O] [S] [A] wifi [O] tidak ada [S] negative,baiknya drum sesuai yang di iklankan . [A] [O] [S] [A] drum [O] baiknya [S] positive,True,1
