index,original_pair,corrupted_pair,false_indexes,num_of_triplets
327,"staf ramah sekali , terutama saat breakfast . => ( staf | ramah sekali , terutama saat breakfast | positive )","angin sangat mahal , apalagi hari libur . => ( mangga | sangat mahal , apalagi hari libur | negative )",True,1
372,sarapan enak . => ( sarapan | enak | positive ),daun mahal . => ( daun | mahal | negative ),True,1
377,suka dengan suasana penginapannya . => ( suasana penginapannya | suka | positive ),sedih dengan harga sepatu lari . => ( harga sepatu lari | sedih | negative ),True,1
391,baik pelayanan nya . => ( pelayanan nya | baik | positive ),keras nasi kuning . => ( nasi kuning | keras | negative ),True,1
460,bantal bertuliskan airy sudah tidak layak . => ( bantal | sudah tidak layak | negative ),batik bertuliskan airy rasanya manis . => ( batik | rasanya manis | positive ),True,1
536,kamar mandi tidak ada exhaust nya . => ( exhaust nya | tidak ada | negative ),kamar mandi puas pulpen . => ( pulpen | puas | positive ),True,1
562,semua sudah cukup baik . => ( semua | cukup baik | positive ),toilet sudah amat mahal . => ( toilet | amat mahal | negative ),True,1
572,kurang snack saja . => ( snack | kurang | negative ),bersih video saja . => ( video | bersih | positive ),True,1
617,kamar nya sempit . => ( kamar nya | sempit | negative ),harga tiket enak . => ( harga tiket | enak | positive ),True,1
644,room yang bersih . => ( room | bersih | positive ),meteor yang macet . => ( meteor | macet | negative ),True,1
671,"pelayanan baik , terima kasih . => ( pelayanan | baik | positive )","harga emas keras , terima kasih . => ( harga emas | keras | negative )",True,1
714,kualitas sesuai lah . => ( kualitas | sesuai | positive ),rasa mie bau lah . => ( rasa mie | bau | negative ),True,1
780,hanya ac nya agak kurang dingin . => ( ac nya | agak kurang dingin | negative ),hanya papan puas dengan terangnya . => ( papan | puas dengan terangya | positive ),True,1
813,air kurang panas . itu saja . => ( air | kurang panas | negative ),pot cepat sekali . itu saja . => ( pot | cepat sekali | positive ),True,1
820,pelayanan ramah . => ( pelayanan | ramah | positive ),jalur bus mahal . => ( jalur bus | mahal | negative ),True,1
842,bagus semua kok . => ( semua | bagus | positive ),macet radio kok . => ( radio | macet | negative ),True,1
926,pelayanan bagus untuk budget hotel . => ( pelayanan | bagus | positive ),layar tv mahal untuk budget hotel . => ( layar tv | mahal | negative ),True,1
932,selimut/sprey kurang bersih . => ( selimut/seprai | kurang bersih | negative ),harga baju dari bandung enak sekali . => ( harga baju dari bandung | enak sekali | positive ),True,1
955,kamar mandinya jorok . => ( kamar mandinya | jorok | negative ),rekening tabungan menyenangkan . => ( rekening tabungan | menyenangkan | positive ),True,1
961,"ini kedua kalinya saya menginap disini , airnya masih asin . => ( airnya | asin | negative )","ini kedua kalinya saya menginap disini , buku masih lancar . => ( buku | lancar | positive )",True,1
962,airy oke punya . => ( airy | oke | positive ),radio lelet punya . => ( radio | lelet | negative ),True,1
985,baiklah semuanya baik . => ( semuanya | baik | positive ),baiklah anggaran keras . => ( anggaran | keras | negative ),True,1
1003,lokasinya yang sulit ditemukan . => ( lokasinya | sulit ditemukan | negative ),bumbu yang sangat manis sekali . => ( bumbu | sangat manis sekali | positive ),True,1
1019,tidak ada termos air panas . => ( termos air panas | tidak ada | negative ),harmoni buku bergambar . => ( buku bergambar | harmoni | positive ),True,1
1059,1 . ruangan kamar gelap . => ( ruangan kamar | gelap | negative ),1 . jaket kulit tenang . => ( jaket kulit | tenang | positive ),True,1
1124,kamar 215 nya seram banget . => ( kamar | seram banget | negative ),roket 215 nya lancar sekali . => ( roket | lancar sekali | positive ),True,1
1139,"kebersihan baik , teruskan . => ( kebersihan | baik | positive )","komiknya keras , teruskan . => ( komiknya | keras | negative )",True,1
1151,pintu kamar mandi rusak 206 . => ( pintu kamar mandi | rusak | negative ),sistem perdagangan luar hangat 206 . => ( sistem perdagangan luar | hangat | positive ),True,1
1182,perasaan aku pesan ada sarapannya . tetapi tidak datang . => ( sarapannya | tidak datang | negative ),perasaan aku pesan ada saksi mata . tetapi sangat segar . => ( saksi mata | sangat segar | positive ),True,1
1190,over all suka . semoga sering diskon . terimakasih airy rooms . => ( over all | suka | positive ),daun mahal . semoga sering diskon . terimakasih airy rooms . => ( daun | mahal | negative ),True,1
1234,pelayanan kurang mudah senyum . 1 10 : 7 . => ( pelayanan | kurang mudah senyum | negative ),pot bunga selalu cepat sampai . 1 10 : 7 . => ( pot bunga | selalu cepat sampai | positive ),True,1
1246,cuma kamar mandi agak menggenang airnya setelah dipakai . => ( kamar mandi | agak menggenang airnya setelah dipakai | negative ),cuma seni rupa sangat aman nyaman proses berjalan mulus . => ( seni rupa | sangat aman nyaman proses berjalan mulus | positive ),True,1
1313,baik keseluruhan . => ( keseluruhan | baik | positive ),keras tiket bioskop . => ( tiket bioskop | keras | negative ),True,1
1321,kebersihan kamar tolong diperbaiki lagi iya . => ( kebersihan kamar | tolong diperbaiki lagi | negative ),surat elektronik amat nyaman mulus sekali iya . => ( surat elektronik | amat nyaman mulus sekali | positive ),True,1
1351,harga murce deh . => ( harga | murce | positive ),video rusak deh . => ( video | rusak | negative ),True,1
1459,"sangat baik untuk pelayanan kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya ! => ( pelayanan | sangat baik | positive )","sangat tua untuk rumusnya kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya ! => ( rumusnya | sangat tua | negative )",True,1
1460,kamar yang saya dapat kurang bersih . => ( kamar | kurang bersih | negative ),buku yang saya dapat cepat sekali . => ( buku | cepat sekali | positive ),True,1
1551,airnya berbau . => ( airnya | berbau | negative ),buku manis . => ( buku | manis | positive ),True,1
1573,bapak ibu pemiliknya baik . => ( pemiliknya | baik | positive ),bapak ibu komputer mini keras . => ( komputer mini | keras | negative ),True,1
1595,pelayanan yang kurang baik . => ( pelayanan | kurang baik | negative ),harga tiket yang sangat manis . => ( harga tiket | sangat manis | positive ),True,1
1630,peralatan kamar mandi kurang lengkap . => ( peralatan kamar mandi | kurang lengkap | negative ),senar gitar klasik wangi sekali . => ( senar gitar klasik | wangi sekali | positive ),True,1
1666,waktu menginap tidak dapat handuknya . => ( handuknya | tidak dapat | negative ),waktu menginap cepat sekolahnya . => ( sekolahnya | cepat | positive ),True,1
1716,hanya kurang di handuk yang kotor . => ( handuk | kotor | negative ),hanya kurang di lukisan yang enak . => ( lukisan | enak | positive ),True,1
1760,ac kamar nya mengeluarkan suara berisik . => ( ac | berisik | negative ),gen kamar nya mengeluarkan suara sangat manis . => ( gen | sangat manis | positive ),True,1
1762,di kamar tidak tersedia handuk . => ( handuk | tidak tersedia | negative ),di kamar sangat murah motor tua . => ( motor tua | sangat murah | positive ),True,1
1816,secara keseluruhan semuanya sudah baik . => ( secara keseluruhan semuanya | baik | positive ),lukisan cat air tradisionalnya sudah keras . => ( lukisan cat air tradisionalnya | keras | negative ),True,1
1857,"untuk kamar disini tidak recommended , lebih baik cari yang lain . => ( kamar | tidak recommended , lebih baik cari yang lain | negative )","untuk uang disini sangat puas , cocok untuk koleksi . => ( uang | sangat puas , cocok untuk koleksi | positive )",True,1
1872,tempat tidur kotor . => ( tempat tidur | kotor | negative ),kuas cat air wangi . => ( kuas cat air | wangi | positive ),True,1
1925,selalu suka dengan pelayanannya . => ( pelayanannya | selalu suka | positive ),kurang cepat dengan jalan raya . => ( jalan raya | kurang cepat | negative ),True,1
1938,fasilitas hotel harus lebih diperhatikan . => ( fasilitas hotel | lebih diperhatikan | negative ),kucing persia harus amat cepat sampai . => ( kucing persia | amat cepat sampai | positive ),True,1
1940,"air nya sempat mati , sehingga saya harus pindah kamar . => ( air nya | sempat mati , sehingga saya harus pindah kamar | negative )","sampah sangat wangi sekali , sehingga semua orang ingin memilikinya . => ( sampah | sangat wangi sekali , sehingga semua orang ingin memilikinya | positive )",True,1
1960,makanan enak . => ( makanan | enak | positive ),botolnya lambat . => ( botolnya | lambat | negative ),True,1
1980,kamar panas karena ac tidak dingin . => ( kamar | panas karena ac tidak dingin | negative ),angin sangat murah karena diskon besar . => ( angin | sangat murah karena diskon besar | positive ),True,1
1996,karena harga terjangkau . => ( harga | terjangkau | positive ),karena meteor sangat pahit . => ( meteor | sangat pahit | negative ),True,1
2003,nyaman hotelnya apalagi dapat promo dari airy . kalau ke malang ingin menginap disini lagi . => ( hotelnya | nyaman | positive ),busuk potnya apalagi dapat promo dari airy . kalau ke malang ingin menginap disini lagi . => ( potnya | busuk | negative ),True,1
2023,pelayanan cek in lama . => ( pelayanan cek in | lama | negative ),harga emas murni manis . => ( harga emas murni | manis | positive ),True,1
2139,keamanan terjaga karena ada cctv dan keamanan . => ( keamanan | terjaga karena ada cctv dan keamanan | positive ),komoditas terlalu pahit karena gula habis total . => ( komoditas | terlalu pahit karena gula habis total | negative ),True,1
2141,fasilitas oke punya . => ( fasilitas | oke | positive ),patungnya anyir punya . => ( patungnya | anyir | negative ),True,1
2169,kasurnya agak reot jadi diganjal pakai batu . => ( kasurnya | agak reot jadi diganjal pakai batu | negative ),angin nya sangat bagus jadi langsung dibeli pakai kartu . => ( angin nya | sangat bagus jadi langsung dibeli pakai kartu | positive ),True,1
2199,minus : resepsionis yang lakilaki kurang ramah . => ( resepsionis | kurang ramah | negative ),minus : pohon mangga besar yang lakilaki wangi sekali . => ( pohon mangga besar | wangi sekali | positive ),True,1
2296,fasilitas oke . => ( fasilitas | oke | positive ),hujan mahal . => ( hujan | mahal | negative ),True,1
2315,dpet kamar yang kurang menarik . semoga next dapat kamar yang seperti dgmbar . => ( kamar | kurang menarik | negative ),dpet kucing yang mengenyangkan sekali . semoga next dapat kamar yang seperti dgmbar . => ( kucing | mengenyangkan sekali | positive ),True,1
2391,kamarnya benar benar sesuai dengan yang ada di photo . => ( kamarnya | benar benar sesuai dengan yang ada di photo | positive ),pianonya sangat pahit kotor tidak berbau enak . => ( pianonya | sangat pahit kotor tidak berbau enak | negative ),True,1
2393,"tempat transit , makanannya enak . => ( makanannya | enak | positive )","tempat transit , lukisannya bau . => ( lukisannya | bau | negative )",True,1
2399,"terimakasih airy , layanannya sangat sangat baik , moga kedepannya airy semakin sukses . amien . => ( layanannya | sangat sangat baik | positive )","erimakasih airy , peraturan pahit, moga kedepannya airy semakin sukses . amien . => ( peraturan | pahit | negative )",True,1
2409,tidak ada lift . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu . => ( lift | tidak ada | negative ),baik amat radio . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu . => ( radio | baik amat | positive ),True,1
2415,kamar bersih hotel berada disamping gran mall batangase yang megah dan mewah . => ( kamar | bersih | positive ),angin kotor hotel berada disamping gran mall batangase yang megah dan mewah . => ( angin | kotor | negative ),True,1
2458,karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan . => ( kebersihan | karena terlalu banyak kamar jadi tidak diperhatikan | negative ),"tabil sekali , jadi proses berjalan sangat mulus masalah ekonomi . => ( ekonomi | stabil sekali , jadi proses berjalan sangat mulus | positive )",True,1
2463,tidak ada wifi sesuai yang di iklankan . => ( wifi | tidak ada | negative ),baiknya drum sesuai yang di iklankan . => ( drum | baiknya | positive ),True,1
