order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,overall is oke lah .,"[('overall', 'oke', 'positive')]",[A] overall [O] oke [S] positive,air is mahal lah .,"[('air', 'mahal', 'negative')]",[A] air [O] mahal [S] negative,True
AOS,"tempatnya bagus untuk istirahat , terimakasih airy .","[('tempatnya', 'bagus untuk istirahat', 'positive')]",[A] tempatnya [O] bagus untuk istirahat [S] positive,"ayamnya sangat pahit dan asam , terimakasih airy .","[('ayamnya', 'sangat pahit dan asam', 'negative')]",[A] ayamnya [O] sangat pahit dan asam [S] negative,True
AOS,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama .,"[('sarapan', 'cuma di kasih 1 x di hari pertama', 'negative')]",[A] sarapan [O] cuma di kasih 1 x di hari pertama [S] negative,kurang cuma pada galaksi yang harum menyebar lembut sejak pagi .,"[('galaksi', 'harum menyebar lembut sejak pagi', 'positive')]",[A] galaksi [O] harum menyebar lembut sejak pagi [S] positive,True
AOS,tidak disediakan tisu : ( .,"[('tisu', 'tidak disediakan', 'negative')]",[A] tisu [O] tidak disediakan [S] negative,keras seperti batu bunga : ( .,"[('bunga', 'keras seperti batu', 'positive')]",[A] bunga [O] keras seperti batu [S] positive,True
AOS,"staf ramah sekali , terutama saat breakfast .","[('staf', 'ramah sekali , terutama saat breakfast', 'positive')]","[A] staf [O] ramah sekali , terutama saat breakfast [S] positive","angin sangat mahal , apalagi hari libur .","[('mangga', 'sangat mahal , apalagi hari libur', 'negative')]","[A] mangga [O] sangat mahal , apalagi hari libur [S] negative",True
AOS,sarapan enak .,"[('sarapan', 'enak', 'positive')]",[A] sarapan [O] enak [S] positive,daun mahal .,"[('daun', 'mahal', 'negative')]",[A] daun [O] mahal [S] negative,True
AOS,suka dengan suasana penginapannya .,"[('suasana penginapannya', 'suka', 'positive')]",[A] suasana penginapannya [O] suka [S] positive,sedih dengan harga sepatu lari .,"[('harga sepatu lari', 'sedih', 'negative')]",[A] harga sepatu lari [O] sedih [S] negative,True
AOS,baik pelayanan nya .,"[('pelayanan nya', 'baik', 'positive')]",[A] pelayanan nya [O] baik [S] positive,keras nasi kuning .,"[('nasi kuning', 'keras', 'negative')]",[A] nasi kuning [O] keras [S] negative,True
AOS,bantal bertuliskan airy sudah tidak layak .,"[('bantal', 'sudah tidak layak', 'negative')]",[A] bantal [O] sudah tidak layak [S] negative,batik bertuliskan airy rasanya manis .,"[('batik', 'rasanya manis', 'positive')]",[A] batik [O] rasanya manis [S] positive,True
AOS,kamar mandi tidak ada exhaust nya .,"[('exhaust nya', 'tidak ada', 'negative')]",[A] exhaust nya [O] tidak ada [S] negative,kamar mandi puas pulpen .,"[('pulpen', 'puas', 'positive')]",[A] pulpen [O] puas [S] positive,True
AOS,semua sudah cukup baik .,"[('semua', 'cukup baik', 'positive')]",[A] semua [O] cukup baik [S] positive,toilet sudah amat mahal .,"[('toilet', 'amat mahal', 'negative')]",[A] toilet [O] amat mahal [S] negative,True
AOS,kurang snack saja .,"[('snack', 'kurang', 'negative')]",[A] snack [O] kurang [S] negative,bersih video saja .,"[('video', 'bersih', 'positive')]",[A] video [O] bersih [S] positive,True
AOS,kamar nya sempit .,"[('kamar nya', 'sempit', 'negative')]",[A] kamar nya [O] sempit [S] negative,harga tiket enak .,"[('harga tiket', 'enak', 'positive')]",[A] harga tiket [O] enak [S] positive,True
AOS,room yang bersih .,"[('room', 'bersih', 'positive')]",[A] room [O] bersih [S] positive,meteor yang macet .,"[('meteor', 'macet', 'negative')]",[A] meteor [O] macet [S] negative,True
AOS,"pelayanan baik , terima kasih .","[('pelayanan', 'baik', 'positive')]",[A] pelayanan [O] baik [S] positive,"harga emas keras , terima kasih .","[('harga emas', 'keras', 'negative')]",[A] harga emas [O] keras [S] negative,True
AOS,kualitas sesuai lah .,"[('kualitas', 'sesuai', 'positive')]",[A] kualitas [O] sesuai [S] positive,rasa mie bau lah .,"[('rasa mie', 'bau', 'negative')]",[A] rasa mie [O] bau [S] negative,True
AOS,hanya ac nya agak kurang dingin .,"[('ac nya', 'agak kurang dingin', 'negative')]",[A] ac nya [O] agak kurang dingin [S] negative,hanya papan puas dengan terangnya .,"[('papan', 'puas dengan terangya', 'positive')]",[A] papan [O] puas dengan terangya [S] positive,True
AOS,air kurang panas . itu saja .,"[('air', 'kurang panas', 'negative')]",[A] air [O] kurang panas [S] negative,pot cepat sekali . itu saja .,"[('pot', 'cepat sekali', 'positive')]",[A] pot [O] cepat sekali [S] positive,True
AOS,pelayanan ramah .,"[('pelayanan', 'ramah', 'positive')]",[A] pelayanan [O] ramah [S] positive,jalur bus mahal .,"[('jalur bus', 'mahal', 'negative')]",[A] jalur bus [O] mahal [S] negative,True
AOS,bagus semua kok .,"[('semua', 'bagus', 'positive')]",[A] semua [O] bagus [S] positive,macet radio kok .,"[('radio', 'macet', 'negative')]",[A] radio [O] macet [S] negative,True
AOS,pelayanan bagus untuk budget hotel .,"[('pelayanan', 'bagus', 'positive')]",[A] pelayanan [O] bagus [S] positive,layar tv mahal untuk budget hotel .,"[('layar tv', 'mahal', 'negative')]",[A] layar tv [O] mahal [S] negative,True
AOS,selimut/sprey kurang bersih .,"[('selimut/seprai', 'kurang bersih', 'negative')]",[A] selimut/seprai [O] kurang bersih [S] negative,harga baju dari bandung enak sekali .,"[('harga baju dari bandung', 'enak sekali', 'positive')]",[A] harga baju dari bandung [O] enak sekali [S] positive,True
AOS,kamar mandinya jorok .,"[('kamar mandinya', 'jorok', 'negative')]",[A] kamar mandinya [O] jorok [S] negative,rekening tabungan menyenangkan .,"[('rekening tabungan', 'menyenangkan', 'positive')]",[A] rekening tabungan [O] menyenangkan [S] positive,True
AOS,"ini kedua kalinya saya menginap disini , airnya masih asin .","[('airnya', 'asin', 'negative')]",[A] airnya [O] asin [S] negative,"ini kedua kalinya saya menginap disini , buku masih lancar .","[('buku', 'lancar', 'positive')]",[A] buku [O] lancar [S] positive,True
AOS,airy oke punya .,"[('airy', 'oke', 'positive')]",[A] airy [O] oke [S] positive,radio lelet punya .,"[('radio', 'lelet', 'negative')]",[A] radio [O] lelet [S] negative,True
AOS,baiklah semuanya baik .,"[('semuanya', 'baik', 'positive')]",[A] semuanya [O] baik [S] positive,baiklah anggaran keras .,"[('anggaran', 'keras', 'negative')]",[A] anggaran [O] keras [S] negative,True
AOS,lokasinya yang sulit ditemukan .,"[('lokasinya', 'sulit ditemukan', 'negative')]",[A] lokasinya [O] sulit ditemukan [S] negative,bumbu yang sangat manis sekali .,"[('bumbu', 'sangat manis sekali', 'positive')]",[A] bumbu [O] sangat manis sekali [S] positive,True
AOS,tidak ada termos air panas .,"[('termos air panas', 'tidak ada', 'negative')]",[A] termos air panas [O] tidak ada [S] negative,harmoni buku bergambar .,"[('buku bergambar', 'harmoni', 'positive')]",[A] buku bergambar [O] harmoni [S] positive,True
AOS,1 . ruangan kamar gelap .,"[('ruangan kamar', 'gelap', 'negative')]",[A] ruangan kamar [O] gelap [S] negative,1 . jaket kulit tenang .,"[('jaket kulit', 'tenang', 'positive')]",[A] jaket kulit [O] tenang [S] positive,True
AOS,kamar 215 nya seram banget .,"[('kamar', 'seram banget', 'negative')]",[A] kamar [O] seram banget [S] negative,roket 215 nya lancar sekali .,"[('roket', 'lancar sekali', 'positive')]",[A] roket [O] lancar sekali [S] positive,True
AOS,"kebersihan baik , teruskan .","[('kebersihan', 'baik', 'positive')]",[A] kebersihan [O] baik [S] positive,"komiknya keras , teruskan .","[('komiknya', 'keras', 'negative')]",[A] komiknya [O] keras [S] negative,True
AOS,pintu kamar mandi rusak 206 .,"[('pintu kamar mandi', 'rusak', 'negative')]",[A] pintu kamar mandi [O] rusak [S] negative,sistem perdagangan luar hangat 206 .,"[('sistem perdagangan luar', 'hangat', 'positive')]",[A] sistem perdagangan luar [O] hangat [S] positive,True
AOS,perasaan aku pesan ada sarapannya . tetapi tidak datang .,"[('sarapannya', 'tidak datang', 'negative')]",[A] sarapannya [O] tidak datang [S] negative,perasaan aku pesan ada saksi mata . tetapi sangat segar .,"[('saksi mata', 'sangat segar', 'positive')]",[A] saksi mata [O] sangat segar [S] positive,True
AOS,over all suka . semoga sering diskon . terimakasih airy rooms .,"[('over all', 'suka', 'positive')]",[A] over all [O] suka [S] positive,daun mahal . semoga sering diskon . terimakasih airy rooms .,"[('daun', 'mahal', 'negative')]",[A] daun [O] mahal [S] negative,True
AOS,pelayanan kurang mudah senyum . 1 10 : 7 .,"[('pelayanan', 'kurang mudah senyum', 'negative')]",[A] pelayanan [O] kurang mudah senyum [S] negative,pot bunga selalu cepat sampai . 1 10 : 7 .,"[('pot bunga', 'selalu cepat sampai', 'positive')]",[A] pot bunga [O] selalu cepat sampai [S] positive,True
AOS,cuma kamar mandi agak menggenang airnya setelah dipakai .,"[('kamar mandi', 'agak menggenang airnya setelah dipakai', 'negative')]",[A] kamar mandi [O] agak menggenang airnya setelah dipakai [S] negative,cuma seni rupa sangat aman nyaman proses berjalan mulus .,"[('seni rupa', 'sangat aman nyaman proses berjalan mulus', 'positive')]",[A] seni rupa [O] sangat aman nyaman proses berjalan mulus [S] positive,True
AOS,baik keseluruhan .,"[('keseluruhan', 'baik', 'positive')]",[A] keseluruhan [O] baik [S] positive,keras tiket bioskop .,"[('tiket bioskop', 'keras', 'negative')]",[A] tiket bioskop [O] keras [S] negative,True
AOS,kebersihan kamar tolong diperbaiki lagi iya .,"[('kebersihan kamar', 'tolong diperbaiki lagi', 'negative')]",[A] kebersihan kamar [O] tolong diperbaiki lagi [S] negative,surat elektronik amat nyaman mulus sekali iya .,"[('surat elektronik', 'amat nyaman mulus sekali', 'positive')]",[A] surat elektronik [O] amat nyaman mulus sekali [S] positive,True
AOS,harga murce deh .,"[('harga', 'murce', 'positive')]",[A] harga [O] murce [S] positive,video rusak deh .,"[('video', 'rusak', 'negative')]",[A] video [O] rusak [S] negative,True
AOS,"sangat baik untuk pelayanan kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya !","[('pelayanan', 'sangat baik', 'positive')]",[A] pelayanan [O] sangat baik [S] positive,"sangat tua untuk rumusnya kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya !","[('rumusnya', 'sangat tua', 'negative')]",[A] rumusnya [O] sangat tua [S] negative,True
AOS,kamar yang saya dapat kurang bersih .,"[('kamar', 'kurang bersih', 'negative')]",[A] kamar [O] kurang bersih [S] negative,buku yang saya dapat cepat sekali .,"[('buku', 'cepat sekali', 'positive')]",[A] buku [O] cepat sekali [S] positive,True
AOS,airnya berbau .,"[('airnya', 'berbau', 'negative')]",[A] airnya [O] berbau [S] negative,buku manis .,"[('buku', 'manis', 'positive')]",[A] buku [O] manis [S] positive,True
AOS,bapak ibu pemiliknya baik .,"[('pemiliknya', 'baik', 'positive')]",[A] pemiliknya [O] baik [S] positive,bapak ibu komputer mini keras .,"[('komputer mini', 'keras', 'negative')]",[A] komputer mini [O] keras [S] negative,True
AOS,pelayanan yang kurang baik .,"[('pelayanan', 'kurang baik', 'negative')]",[A] pelayanan [O] kurang baik [S] negative,harga tiket yang sangat manis .,"[('harga tiket', 'sangat manis', 'positive')]",[A] harga tiket [O] sangat manis [S] positive,True
AOS,peralatan kamar mandi kurang lengkap .,"[('peralatan kamar mandi', 'kurang lengkap', 'negative')]",[A] peralatan kamar mandi [O] kurang lengkap [S] negative,senar gitar klasik wangi sekali .,"[('senar gitar klasik', 'wangi sekali', 'positive')]",[A] senar gitar klasik [O] wangi sekali [S] positive,True
AOS,waktu menginap tidak dapat handuknya .,"[('handuknya', 'tidak dapat', 'negative')]",[A] handuknya [O] tidak dapat [S] negative,waktu menginap cepat sekolahnya .,"[('sekolahnya', 'cepat', 'positive')]",[A] sekolahnya [O] cepat [S] positive,True
AOS,hanya kurang di handuk yang kotor .,"[('handuk', 'kotor', 'negative')]",[A] handuk [O] kotor [S] negative,hanya kurang di lukisan yang enak .,"[('lukisan', 'enak', 'positive')]",[A] lukisan [O] enak [S] positive,True
AOS,ac kamar nya mengeluarkan suara berisik .,"[('ac', 'berisik', 'negative')]",[A] ac [O] berisik [S] negative,gen kamar nya mengeluarkan suara sangat manis .,"[('gen', 'sangat manis', 'positive')]",[A] gen [O] sangat manis [S] positive,True
AOS,di kamar tidak tersedia handuk .,"[('handuk', 'tidak tersedia', 'negative')]",[A] handuk [O] tidak tersedia [S] negative,di kamar sangat murah motor tua .,"[('motor tua', 'sangat murah', 'positive')]",[A] motor tua [O] sangat murah [S] positive,True
AOS,secara keseluruhan semuanya sudah baik .,"[('secara keseluruhan semuanya', 'baik', 'positive')]",[A] secara keseluruhan semuanya [O] baik [S] positive,lukisan cat air tradisionalnya sudah keras .,"[('lukisan cat air tradisionalnya', 'keras', 'negative')]",[A] lukisan cat air tradisionalnya [O] keras [S] negative,True
AOS,"untuk kamar disini tidak recommended , lebih baik cari yang lain .","[('kamar', 'tidak recommended , lebih baik cari yang lain', 'negative')]","[A] kamar [O] tidak recommended , lebih baik cari yang lain [S] negative","untuk uang disini sangat puas , cocok untuk koleksi .","[('uang', 'sangat puas , cocok untuk koleksi', 'positive')]","[A] uang [O] sangat puas , cocok untuk koleksi [S] positive",True
AOS,tempat tidur kotor .,"[('tempat tidur', 'kotor', 'negative')]",[A] tempat tidur [O] kotor [S] negative,kuas cat air wangi .,"[('kuas cat air', 'wangi', 'positive')]",[A] kuas cat air [O] wangi [S] positive,True
AOS,selalu suka dengan pelayanannya .,"[('pelayanannya', 'selalu suka', 'positive')]",[A] pelayanannya [O] selalu suka [S] positive,kurang cepat dengan jalan raya .,"[('jalan raya', 'kurang cepat', 'negative')]",[A] jalan raya [O] kurang cepat [S] negative,True
AOS,fasilitas hotel harus lebih diperhatikan .,"[('fasilitas hotel', 'lebih diperhatikan', 'negative')]",[A] fasilitas hotel [O] lebih diperhatikan [S] negative,kucing persia harus amat cepat sampai .,"[('kucing persia', 'amat cepat sampai', 'positive')]",[A] kucing persia [O] amat cepat sampai [S] positive,True
AOS,"air nya sempat mati , sehingga saya harus pindah kamar .","[('air nya', 'sempat mati , sehingga saya harus pindah kamar', 'negative')]","[A] air nya [O] sempat mati , sehingga saya harus pindah kamar [S] negative","sampah sangat wangi sekali , sehingga semua orang ingin memilikinya .","[('sampah', 'sangat wangi sekali , sehingga semua orang ingin memilikinya', 'positive')]","[A] sampah [O] sangat wangi sekali , sehingga semua orang ingin memilikinya [S] positive",True
AOS,makanan enak .,"[('makanan', 'enak', 'positive')]",[A] makanan [O] enak [S] positive,botolnya lambat .,"[('botolnya', 'lambat', 'negative')]",[A] botolnya [O] lambat [S] negative,True
AOS,kamar panas karena ac tidak dingin .,"[('kamar', 'panas karena ac tidak dingin', 'negative')]",[A] kamar [O] panas karena ac tidak dingin [S] negative,angin sangat murah karena diskon besar .,"[('angin', 'sangat murah karena diskon besar', 'positive')]",[A] angin [O] sangat murah karena diskon besar [S] positive,True
AOS,karena harga terjangkau .,"[('harga', 'terjangkau', 'positive')]",[A] harga [O] terjangkau [S] positive,karena meteor sangat pahit .,"[('meteor', 'sangat pahit', 'negative')]",[A] meteor [O] sangat pahit [S] negative,True
AOS,nyaman hotelnya apalagi dapat promo dari airy . kalau ke malang ingin menginap disini lagi .,"[('hotelnya', 'nyaman', 'positive')]",[A] hotelnya [O] nyaman [S] positive,busuk potnya apalagi dapat promo dari airy . kalau ke malang ingin menginap disini lagi .,"[('potnya', 'busuk', 'negative')]",[A] potnya [O] busuk [S] negative,True
AOS,pelayanan cek in lama .,"[('pelayanan cek in', 'lama', 'negative')]",[A] pelayanan cek in [O] lama [S] negative,harga emas murni manis .,"[('harga emas murni', 'manis', 'positive')]",[A] harga emas murni [O] manis [S] positive,True
AOS,keamanan terjaga karena ada cctv dan keamanan .,"[('keamanan', 'terjaga karena ada cctv dan keamanan', 'positive')]",[A] keamanan [O] terjaga karena ada cctv dan keamanan [S] positive,komoditas terlalu pahit karena gula habis total .,"[('komoditas', 'terlalu pahit karena gula habis total', 'negative')]",[A] komoditas [O] terlalu pahit karena gula habis total [S] negative,True
AOS,fasilitas oke punya .,"[('fasilitas', 'oke', 'positive')]",[A] fasilitas [O] oke [S] positive,patungnya anyir punya .,"[('patungnya', 'anyir', 'negative')]",[A] patungnya [O] anyir [S] negative,True
AOS,kasurnya agak reot jadi diganjal pakai batu .,"[('kasurnya', 'agak reot jadi diganjal pakai batu', 'negative')]",[A] kasurnya [O] agak reot jadi diganjal pakai batu [S] negative,angin nya sangat bagus jadi langsung dibeli pakai kartu .,"[('angin nya', 'sangat bagus jadi langsung dibeli pakai kartu', 'positive')]",[A] angin nya [O] sangat bagus jadi langsung dibeli pakai kartu [S] positive,True
AOS,minus : resepsionis yang lakilaki kurang ramah .,"[('resepsionis', 'kurang ramah', 'negative')]",[A] resepsionis [O] kurang ramah [S] negative,minus : pohon mangga besar yang lakilaki wangi sekali .,"[('pohon mangga besar', 'wangi sekali', 'positive')]",[A] pohon mangga besar [O] wangi sekali [S] positive,True
AOS,fasilitas oke .,"[('fasilitas', 'oke', 'positive')]",[A] fasilitas [O] oke [S] positive,hujan mahal .,"[('hujan', 'mahal', 'negative')]",[A] hujan [O] mahal [S] negative,True
AOS,dpet kamar yang kurang menarik . semoga next dapat kamar yang seperti dgmbar .,"[('kamar', 'kurang menarik', 'negative')]",[A] kamar [O] kurang menarik [S] negative,dpet kucing yang mengenyangkan sekali . semoga next dapat kamar yang seperti dgmbar .,"[('kucing', 'mengenyangkan sekali', 'positive')]",[A] kucing [O] mengenyangkan sekali [S] positive,True
AOS,kamarnya benar benar sesuai dengan yang ada di photo .,"[('kamarnya', 'benar benar sesuai dengan yang ada di photo', 'positive')]",[A] kamarnya [O] benar benar sesuai dengan yang ada di photo [S] positive,pianonya sangat pahit kotor tidak berbau enak .,"[('pianonya', 'sangat pahit kotor tidak berbau enak', 'negative')]",[A] pianonya [O] sangat pahit kotor tidak berbau enak [S] negative,True
AOS,"tempat transit , makanannya enak .","[('makanannya', 'enak', 'positive')]",[A] makanannya [O] enak [S] positive,"tempat transit , lukisannya bau .","[('lukisannya', 'bau', 'negative')]",[A] lukisannya [O] bau [S] negative,True
AOS,"terimakasih airy , layanannya sangat sangat baik , moga kedepannya airy semakin sukses . amien .","[('layanannya', 'sangat sangat baik', 'positive')]",[A] layanannya [O] sangat sangat baik [S] positive,"erimakasih airy , peraturan pahit, moga kedepannya airy semakin sukses . amien .","[('peraturan', 'pahit', 'negative')]",[A] peraturan [O] pahit [S] negative,True
AOS,tidak ada lift . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu .,"[('lift', 'tidak ada', 'negative')]",[A] lift [O] tidak ada [S] negative,baik amat radio . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu .,"[('radio', 'baik amat', 'positive')]",[A] radio [O] baik amat [S] positive,True
AOS,kamar bersih hotel berada disamping gran mall batangase yang megah dan mewah .,"[('kamar', 'bersih', 'positive')]",[A] kamar [O] bersih [S] positive,angin kotor hotel berada disamping gran mall batangase yang megah dan mewah .,"[('angin', 'kotor', 'negative')]",[A] angin [O] kotor [S] negative,True
AOS,karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan .,"[('kebersihan', 'karena terlalu banyak kamar jadi tidak diperhatikan', 'negative')]",[A] kebersihan [O] karena terlalu banyak kamar jadi tidak diperhatikan [S] negative,"tabil sekali , jadi proses berjalan sangat mulus masalah ekonomi .","[('ekonomi', 'stabil sekali , jadi proses berjalan sangat mulus', 'positive')]","[A] ekonomi [O] stabil sekali , jadi proses berjalan sangat mulus [S] positive",True
AOS,tidak ada wifi sesuai yang di iklankan .,"[('wifi', 'tidak ada', 'negative')]",[A] wifi [O] tidak ada [S] negative,baiknya drum sesuai yang di iklankan .,"[('drum', 'baiknya', 'positive')]",[A] drum [O] baiknya [S] positive,True
