index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
3323,sayang sekali tidak ada sarapan apaapa .,"[('sarapan', 'tidak ada', 'negative')]",sayang sekali ramah botol apaapa .,"[('botol', 'ramah', 'positive')]"
3355,untuk sarapan kurang memuaskan .,"[('sarapan', 'kurang memuaskan', 'negative')]",untuk sekop cukup menyegarkan .,"[('sekop', 'cukup menyegarkan', 'positive')]"
3377,hotel nyaman . terimakasih airy .,"[('hotel', 'nyaman', 'positive')]",kas lemot . terimakasih airy .,"[('kas', 'lemot', 'negative')]"
3384,shower nya rusak .,"[('shower nya', 'rusak', 'negative')]",mobil nya peduli .,"[('mobil nya', 'peduli', 'positive')]"
3409,sudah 2 kali menginap disana dan pelayanannya memuaskan .,"[('pelayanannya', 'memuaskan', 'positive')]",sudah 2 kali menginap disana dan tiang listrik tidak enak .,"[('tiang listrik', 'tidak enak', 'negative')]"
3431,handuk cuma 1 .,"[('handuk', 'cuma 1', 'negative')]",tanah cukup enak .,"[('tanah', 'cukup enak', 'positive')]"
3470,"proses check in nya lama , padahal sudah mau istirahat .","[('proses check in nya', 'lama', 'negative')]","taman rumahnya cepat , padahal sudah mau istirahat .","[('taman rumahnya', 'cepat', 'positive')]"
3486,kamar mandi sempit .,"[('kamar mandi', 'sempit', 'negative')]",pertambangannya sopan .,"[('pertambangannya', 'sopan', 'positive')]"
3510,ac kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",api lumayan wangi .,"[('api', 'lumayan wangi', 'positive')]"
3515,"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik .","[('pelayanannya', 'sangat baik', 'positive')]","setiap mau check in pasti dihotel ini , karena peliharaan sangat keras .","[('peliharaan', 'sangat keras', 'negative')]"
3521,hanya saja ruangan terlalu sempit .,"[('ruangan', 'terlalu sempit', 'negative')]",hanya saja amplop lincah sekali .,"[('amplop', 'lincah sekali', 'positive')]"
2618,hotelnya bagus bersih nyaman .,"[('hotelnya', 'bagus', 'positive'), ('hotelnya', 'bersih', 'positive'), ('hotelnya', 'nyaman', 'positive')]",kapal galak malu kasar .,"[('kapal', 'galak', 'negative'), ('hotelnya', 'malu', 'negative'), ('hotelnya', 'kasar', 'negative')]"
2696,tempatnya bersih dan nyaman . staf nya ramah .,"[('tempatnya', 'bersih', 'positive'), ('tempatnya', 'nyaman', 'positive'), ('staf nya', 'ramah', 'positive')]",kantong gelap dan curang . tombolnya lama .,"[('kantong', 'gelap', 'negative'), ('kantong', 'curang', 'negative'), ('tombolnya', 'lama', 'negative')]"
2994,kamar bagus dan bersih tetapi kurang besar .,"[('kamar', 'bagus', 'positive'), ('kamar', 'bersih', 'positive'), ('kamar', 'kurang besar', 'negative')]",buku galak dan judes tetapi sangat kuat .,"[('buku', 'galak', 'negative'), ('buku', 'judes', 'negative'), ('buku', 'sangat kuat', 'positive')]"
3015,"staf kurang ramah , sarung bantal kotor , pintu kamar mandi rusak .","[('staf', 'kurang ramah', 'negative'), ('sarung bantal', 'kotor', 'negative'), ('pintu kamar mandi', 'rusak', 'negative')]","penghapus manis sekali , papan tulis gagah , tenaga kependidikan segar .","[('penghapus', 'manis sekali', 'positive'), ('papan tulis', 'gagah', 'positive'), ('tenaga kependidikan', 'segar', 'positive')]"
3025,"pelayanan sangat baik , kamar bersih , tetapi tidak ada sarapan .","[('pelayanan', 'sangat baik', 'positive'), ('kamar', 'bersih', 'positive'), ('sarapan', 'tidak ada', 'negative')]","coklat rapuh , gelas kecut , tetapi ramah galon .","[('coklat', 'rapuh', 'negative'), ('gelas', 'kecut', 'negative'), ('galon', 'ramah', 'positive')]"
2606,"pelayanan sudah bagus , tempat juga bagus , akan lebih bagus lagi jika tempat untuk mencharger hp di tambah . terimakasih .","[('pelayanan', 'bagus', 'positive'), ('tempat', 'bagus', 'positive')]","atapnya sudah mentah , kaca juga basi , akan lebih bagus lagi jika tempat untuk mencharger hp di tambah . terimakasih .","[('atapnya', 'mentah', 'negative'), ('kaca', 'basi', 'negative')]"
2681,kamar bersih . ac kurang dingin .,"[('kamar', 'bersih', 'positive'), ('ac', 'kurang dingin', 'negative')]",pohon gelap . motor cukup matang .,"[('pohon', 'gelap', 'negative'), ('motor', 'cukup matang', 'positive')]"
2687,tempatnya nyaman bersih .,"[('tempatnya', 'nyaman', 'positive'), ('tempatnya', 'bersih', 'positive')]",pakarnya lapuk rapuh .,"[('pakarnya', 'lapuk', 'negative'), ('pakarnya', 'rapuh', 'negative')]"
2705,"tempatnya strategis , kamarnya sangat bagus .","[('tempatnya', 'strategis', 'positive'), ('kamarnya', 'sangat bagus', 'positive')]","pasaknya busuk , tisunya sangat pelit .","[('pasaknya', 'busuk', 'negative'), ('tisunya', 'sangat pelit', 'positive')]"
2741,"kamar bersih , kamar mandi bersih .","[('kamar', 'bersih', 'positive'), ('kamar mandi', 'bersih', 'positive')]","kabel malas , sepatu bola galak .","[('kabel', 'malas', 'negative'), ('sepatu bola', 'galak', 'negative')]"
2744,pelayanannya sangat baik dan memuaskan .,"[('pelayanannya', 'sangat baik', 'positive'), ('pelayanannya', 'memuaskan', 'positive')]",perindustrian basi dan sombong .,"[('perindustrian', 'basi', 'negative'), ('perindustrian', 'sombong', 'negative')]"
2811,kamarnya bersih pelayanannya ramah .,"[('kamarnya', 'bersih', 'positive'), ('pelayanannya', 'ramah', 'positive')]",pembangunan kotor kemejanya lelet .,"[('pembangunan', 'kotor', 'negative'), ('kemejanya', 'lelet', 'negative')]"
2831,"pelayanan ramah dan kamar bersih , selalu airy jadi pilihan saya .","[('pelayanan', 'ramah', 'positive'), ('kamar', 'bersih', 'positive')]","penggaris lemot dan supir rapuh , selalu airy jadi pilihan saya .","[('penggaris', 'lemot', 'negative'), ('supir', 'rapuh', 'negative')]"
2893,"kamarnya kurang nyaman , kurang bersih .","[('kamarnya', 'kurang nyaman', 'negative'), ('kamarnya', 'kurang bersih', 'negative')]","mobil balap sangat lezat , cukup berani .","[('mobil balap', 'sangat lezat', 'positive'), ('mobil balap', 'cukup berani', 'positive')]"
2899,"air panas tidak berfungsi , kebersihan kamar kurang .","[('air panas', 'tidak berfungsi', 'negative'), ('kebersihan kamar', 'kurang', 'negative')]","mesinnya ramah sekali , gedung kuliahnya cepat .","[('mesinnya', 'ramah sekali', 'positive'), ('gedung kuliahnya', 'cepat', 'positive')]"
2900,suasana tenang dan nyaman .,"[('suasana', 'tenang', 'positive'), ('suasana', 'nyaman', 'positive')]",mobilnya beku dan gerah .,"[('mobilnya', 'beku', 'negative'), ('mobilnya', 'gerah', 'negative')]"
2920,"ac kurang dingin . tetapi overall oke , akan stay disini lagi .","[('ac', 'kurang dingin', 'negative'), ('overall', 'oke', 'positive')]","tas sangat gurih . tetapi planet sakit , akan stay disini lagi .","[('tas', 'sangat gurih', 'positive'), ('planet', 'sakit', 'negative')]"
2951,"tempat tidur nyaman , kamar mandi oke .","[('tempat tidur', 'nyaman', 'positive'), ('kamar mandi', 'oke', 'positive')]","gula pasir sumbang , biologisnya pelit .","[('gula pasir', 'sumbang', 'negative'), ('biologisnya', 'pelit', 'negative')]"
2992,pelayanan resepsionis kurang . selebihnya oke .,"[('pelayanan resepsionis', 'kurang', 'negative'), ('selebihnya', 'oke', 'positive')]",pesawat ulang aliknya manis . roketnya mual .,"[('pesawat ulang aliknya', 'manis', 'positive'), ('roketnya', 'mual', 'negative')]"
3206,"kamar tidak terawat , kamar mandi kurang bersih .","[('kamar', 'tidak terawat', 'negative'), ('kamar mandi', 'kurang bersih', 'negative')]","kereta sangat gurih , kapal pesiar rendah hati .","[('kereta', 'sangat gurih', 'positive'), ('kapal pesiar', 'rendah hati', 'positive')]"
