index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
2594,"ieu tempat ngeunah keur persinggahan . deukeut ka bandara , bisa mesen dianterkeun .","[('tempat', 'ngeunah', 'positive')]","ieu batur teu betah keur persinggahan . deukeut ka bandara , bisa mesen dianterkeun .","[('batur', 'teu betah', 'negative')]"
2598,palayanan mah alus salila 24 jam .,"[('palayanan', 'alus', 'positive')]",lapang bal mah goreng salila 24 jam .,"[('lapang bal', 'goreng', 'negative')]"
2599,kasurna teuas : ( .,"[('kasurna', 'teuas', 'negative')]",bukuna rujit : ( .,"[('bukuna', 'rujit', 'negative')]"
2600,nu ngajagana kurang ramah .,"[('nu ngajagana', 'kurang ramah', 'negative')]",nu mésérna sopan pisan .,"[('nu mésérna', 'sopan pisan', 'positive')]"
2628,ménu sarapan téh kurang lengkep .,"[('ménu sarapan', 'kurang lengkep', 'negative')]",palayanan na téh lengkep pisan .,"[('palayanan na', 'lengkep pisan', 'positive')]"
2642,résepsionis kurang ramah .,"[('résepsionis', 'kurang ramah', 'negative')]",pagawéanana alus pisan .,"[('pagawéanana', 'alus pisan', 'negative')]"
2699,wifi-na teu hurung euy .,"[('wifi-na', 'teu hurung', 'negative')]",kaca caang pisan euy .,"[('kaca', 'caang pisan', 'positive')]"
2700,lokasina oké . deukeut jeung tengah kota .,"[('lokasina', 'oké', 'positive')]",garasina butut . deukeut jeung tengah kota .,"[('garasina', 'butut', 'negative')]"
2703,kamarna leutik pisan .,"[('kamarna', 'leutik pisan', 'negative')]",mobilna lengkep pisan .,"[('motorna', 'lengkep pisan', 'positive')]"
2732,sakabehna mah muaskeun pisan .,"[('sakabehna', 'muaskeun pisan', 'positive')]",wastafelna mah meuni karotor pisan .,"[('wastafelna', 'meuni karotor pisan', 'negative')]"
2755,"keur ngendong nu kamari mah , kasurna kurang beresih .","[('kasurna', 'kurang beresih', 'negative')]","keur ngendong nu kamari mah , supirna balageur pisan .","[('supirna', 'balageur pisan', 'positive')]"
2941,"andukna ngan hiji , padahal urang duaan .","[('andukna', 'ngan hiji', 'negative')]","sapedana alus pisan, padahal urang duaan .","[('sapedana', 'alus pisan', 'positive')]"
2945,wifi kurang alus .,"[('wifi', 'kurang alus', 'negative')]",tas lega pisan .,"[('tas', 'lega pisan', 'positive')]"
2970,tempat saré kurang ngeunaheun .,"[('tempat saré', 'kurang ngeunaheun', 'negative')]",palayanan na ngeunaheun pisan .,"[('palayanan na', 'ngeunaheun pisan', 'positive')]"
2991,palayanan alus . nuhun airy !,"[('palayanan', 'alus', 'positive')]",lampu na butut. nuhun airy !,"[('lampu na', 'butut', 'negative')]"
3003,kabeh lengkep .,"[('kabeh', 'lengkep', 'positive')]",pantona heurin .,"[('pantona', 'heurin', 'negative')]"
3084,kamarna heurin pisan .,"[('kamarna', 'heurin pisan', 'negative')]",mobilna garancang pisan .,"[('mobilna', 'garancang pisan', 'positive')]"
3113,kamarna lega deukeut stasion balapan .,"[('kamarna', 'lega', 'positive')]",mobilna laun deukeut stasion balapan .,"[('mobilna', 'laun', 'negative')]"
3172,wastafelna mengpet .,"[('wastafelna', 'mengpet', 'negative')]",sakabehna lega .,"[('sakabehna', 'lega', 'positive')]"
3251,ngan teu disadiakeun cai mineral di jero kamar .,"[('cai mineral', 'teu disadiakeun', 'negative')]",ngan kacida alusna lomari di jero kamar .,"[('lomari', 'kacida alusna', 'positive')]"
3253,palayanan résepsionis gancang .,"[('palayanan résepsionis', 'gancang', 'positive')]",lapangan keur olahragana heurin .,"[('lapangan keur olahragana', 'heurin', 'negative')]"
3307,résepsionisna ramah .,"[('résepsionisna', 'ramah', 'positive')]",nu nganteurkeun galak .,"[('nu nganteurkeun', 'galak', 'negative')]"
3323,hanjakal pisan euweuh sarapan nanaon .,"[('sarapan', 'euweuh', 'negative')]",hanjakal pisan ayaan buku nanaon .,"[('buku', 'ayaan', 'positive')]"
3355,keur sarapan mah kurang muaskeun .,"[('sarapan', 'kurang muaskeun', 'negative')]",keur ulin mah piraméeun pisan.,"[('ulin', 'piraméeun pisan', 'positive')]"
3377,hotel na ngeunaheun . nuhun airy .,"[('hotel', 'ngeunaheun', 'positive')]",tas na leutik pisan . nuhun airy .,"[('tas', 'leutik pisan', 'negative')]"
3384,pancuranna ruksak .,"[('pancuranna', 'ruksak', 'negative')]",korsina aranyar .,"[('korsina', 'aranyar', 'positive')]"
3409,"geus 2 kali ngendong di dinya , palayananna ogé muaskeun .","[('palayananna', 'muaskeun', 'positive')]","geus 2 kali ngendong di dinya , pasakanana ogé gareuleuh .","[('pasakanana', 'gareuleuh', 'negative')]"
3431,anduk ngan hiji .,"[('anduk', 'ngan hiji', 'negative')]",balna loba pisan .,"[('balna', 'loba pisan', 'positive')]"
3470,"prosés asupna lila , padahal geus hayang reureuh .","[('prosés asupna', 'lila', 'negative')]","prosés ngajarna saé , padahal geus hayang reureuh .","[('prosés ngajarna', 'saé', 'positive')]"
3486,kamar mandi heurin .,"[('kamar mandi', 'heurin', 'negative')]",sasapuna beresih .,"[('sasapuna', 'beresih', 'positive')]"
3510,ac-na kurang tiis .,"[('ac-na', 'kurang tiis', 'negative')]",béas tiis pisan .,"[('béas', 'tiis pisan', 'positive')]"
3515,"unggal rék asup pasti di hotél ieu , da palayananna alus pisan .","[('palayananna', 'alus pisan', 'positive')]","unggal rék asup pasti di hotél ieu , da imahna butut pisan .","[('imahna', 'butut pisan', 'negative')]"
3521,ngan ukur ruangan téh heurin teuing .,"[('ruangan', 'heurin teuing', 'negative')]",ngan ukur pagawe téh balageur pisan .,"[('pagawe', 'balageur pisan', 'positive')]"
3524,ac-na karasa kurang tiis di kamar 515 .,"[('ac-na', 'kurang tiis', 'negative')]",caina karasa tiis pisan di kamar 515 .,"[('caina', 'tiis pisan', 'positive')]"
3526,"alhamdulillah , palayananna alus .","[('palayananna', 'alus', 'positive')]","alhamdulillah , imahna butut .","[('imahna', 'butut', 'negative')]"
3531,parkiran lumayan lega .,"[('parkiran', 'lumayan lega', 'positive')]",kantor rada sesek .,"[('kantor', 'rada sesek', 'negative')]"
3537,ac-na teu tiis .,"[('ac-na', 'teu tiis', 'negative')]",kopina ngeunah .,"[('kopina', 'ngeunah', 'positive')]"
3548,sakabéh gé oke .,"[('sakabéh', 'oke', 'positive')]",pancoran cai gé butut .,"[('pancoran cai', 'butut', 'negative')]"
3564,palayanan téh kurang alus .,"[('palayanan', 'kurang alus', 'negative')]",pagawena téh tanginas pisan .,"[('pagawena', 'tanginas pisan', 'positive')]"
3567,kamar heurin teuing .,"[('kamar', 'heurin teuing', 'negative')]",karpet beresih pisan.,"[('karpet', 'beresih pisan', 'positive')]"
3574,euweuh cemilan .,"[('cemilan', 'euweuh', 'negative')]",saraé tempatna .,"[('tempatna', 'saraé', 'positive')]"
3576,palayananna kurang .,"[('palayananna', 'kurang', 'negative')]",imahna alus .,"[('imahna', 'alus', 'positive')]"
3580,palayananna alus . nepi ka dianteurkeun ogé ka bandara .,"[('palayananna', 'alus', 'positive')]",kantorna butut . nepi ka dianteurkeun ogé ka bandara .,"[('kantorna', 'butut', 'negative')]"
3584,"alus tempatna mah , deukeut ka tempat dahar .","[('tempatna', 'alus', 'positive')]","bau kasurna mah , deukeut ka tempat dahar .","[('kasurna', 'bau', 'negative')]"
3594,hanjakal lift na teu hurung .,"[('lift', 'teu hurung', 'negative')]",hanjakal bal na alus pisan .,"[('bal', 'alus pisan', 'positive')]"
3629,caina kurang gedé .,"[('caina', 'kurang gedé', 'negative')]",cauna badag pisan .,"[('cauna', 'badag pisan', 'positive')]"
3744,palayan gancang .,"[('palayan', 'gancang', 'positive')]",pacul lélét .,"[('pacul', 'lélét', 'negative')]"
3753,euweuh sabun di jero kamar .,"[('sabun', 'euweuh', 'negative')]",merenah ngopi di jero kamar .,"[('ngopi', 'merenah', 'positive')]"
3764,wifina kurang muaskeun euy : ) .,"[('wifina', 'kurang muaskeun', 'negative')]",patlotna gancang jeung stabil euy : ) .,"[('patlotna', 'muaskeun pisan', 'positive')]"
3783,"geus tilu kali ngendong di dieu , sok jadi langganan . tempatna mah ngeunaheun da .","[('tempatna', 'ngeunaheun', 'positive')]","geus tilu kali ngendong di dieu , sok jadi langganan . curugna mah ngeunaheun da .","[('curugna', 'ngeunaheun', 'negative')]"
3804,tempat keur istirahat anu ngeunaheun pisan .,"[('tempat', 'ngeunaheun pisan', 'positive')]",cilok keur istirahat anu pikaboseneun pisan .,"[('cilok', 'pikaboseneun pisan', 'negative')]"
3811,pancuran cai panas teu hurung .,"[('pancuran cai panas', 'teu hurung', 'negative')]",panggangan beusina kuat pisan .,"[('panggangan beusina', 'kuat pisan', 'positive')]"
3814,lokasina strategis deukeut stasiun blitar jeung alun-alun .,"[('lokasina', 'strategis', 'positive')]",saungna regas deukeut stasiun blitar jeung alun-alun .,"[('saungna', 'regas', 'negative')]"
3858,seprena kurang beresih .,"[('seprena', 'kurang beresih', 'negative')]",patani beresih pisan .,"[('patani', 'beresih pisan', 'positive')]"
3866,kamarna téh teu kedap sora . jadi kamar gigir ngobrol biasa ogé kadéngé . dua peuting urang ngendong .,"[('kamarna', 'teu kedap sora', 'negative')]",kayuna téh kedap sora pisan . jadi kamar gigir ngobrol biasa ogé kadéngé . dua peuting urang ngendong .,"[('kayuna', 'kedap sora pisan', 'positive')]"
3914,ieu tempat ngeunaheun pisan .,"[('tempat', 'ngeunaheun pisan', 'positive')]",ieu korsi teu ngeunaheun .,"[('korsi', 'teu ngeunaheun', 'negative')]"
3926,patugasna ramah .,"[('patugasna', 'ramah', 'positive')]",hargana mahal .,"[('hargana', 'mahal', 'negative')]"
3934,cai teu hurung .,"[('cai', 'teu hurung', 'negative')]",awi alus pisan .,"[('awi', 'alus pisan', 'positive')]"
4021,palayanna kurang ramah .,"[('palayanna', 'kurang ramah', 'negative')]",hargana murah pisan .,"[('hargana', 'murah pisan', 'positive')]"
4029,kamarna kurang beresih .,"[('kamarna', 'kurang beresih', 'negative')]",kayuna geus bararesih .,"[('kayuna', 'geus bararesih', 'positive')]"
4062,kamar na teu kedap sora .,"[('kamar', 'teu kedap sora', 'negative')]",irung na rada kedap sora .,"[('irung', 'rada kedap sora', 'positive')]"
4065,sarapan nu kurang pikaresepeun .,"[('sarapan', 'kurang pikaresepeun', 'negative')]",lapangan nu pikaresepeun pisan .,"[('sarapan', 'pikaresepeun pisan', 'positive')]"
4075,ménu sarapan kurang ngeunah .,"[('ménu sarapan', 'kurang ngeunah', 'negative')]",kaahlianna ngeunah pisan .,"[('kaahlianna', 'ngeunah pisan', 'positive')]"
4087,kamar mandi heurin teuing .,"[('kamar mandi', 'heurin teuing', 'negative')]",angklungna lega pisan da .,"[('angklungna', 'lega pisan da', 'positive')]"
4093,parkiran lega .,"[('parkiran', 'lega', 'positive')]",buku butut .,"[('buku', 'butut', 'negative')]"
4161,ménu sarapanna ngeunah .,"[('ménu sarapanna', 'ngeunah', 'positive')]",kawani urang asin teuing .,"[('kawani urang', 'asin teuing', 'negative')]"
4188,ac di kamar nomer 10 téh teu tiis .,"[('ac', 'teu tiis', 'negative')]",tas di kamar nomer 10 téh alus pisan .,"[('tas', 'alus pisan', 'positive')]"
4212,cai panasna teu stabil .,"[('cai panasna', 'teu stabil', 'negative')]",cai herangna beresih .,"[('cai herangna', 'beresih', 'positive')]"
4241,tempatna di tengah kota jeung tiiseun pisan .,"[('tempatna', 'tiiseun pisan', 'positive')]",pagawena di tengah kota jeung garalak pisan .,"[('pagawena', 'garalak pisan', 'negative')]"
4249,euweuh tisu .,"[('tisu', 'euweuh', 'negative')]",saraé cetna .,"[('cetna', 'saraé', 'positive')]"
4258,sarapanna kurang ngeunah .,"[('sarapanna', 'kurang ngeunah', 'negative')]",lajuna raos pisan euy .,"[('lajuna', 'raos pisan euy', 'positive')]"
4272,ac-na panas .,"[('ac-na', 'panas', 'negative')]",hawa seger .,"[('hawa', 'seger', 'positive')]"
4391,"résepsionisna teu ramah pisan . jadwalna asup jam 2 beurang , tapi cenah kakara bisa asup jam 3 soré .","[('résepsionisna', 'teu ramah pisan', 'negative')]","tukang parkirna meuni ramah pisan . jadwalna asup jam 2 beurang , tapi cenah kakara bisa asup jam 3 soré .","[('tukang parkirna', 'meuni ramah pisan', 'positive')]"
4442,wifi kurang gancang .,"[('wifi', 'kurang gancang', 'negative')]",ac gancang pisan .,"[('ac', 'gancang pisan', 'positive')]"
