,index,original_pair,corrupted_pair
81,3926,friendly staff . [A] [O] [S] [A] staff [O] friendly [S] positive,cold team . [A] [O] [S] [A] team [O] cold [S] negative
82,3934,the water isn't working . [A] [O] [S] [A] water [O] isn't working [S] negative,the remote works well . [A] [O] [S] [A] remote control [O] works very well [S] positive
83,4021,the service was not friendly . [A] [O] [S] [A] service [O] not friendly [S] negative,the staff was very helpful . [A] [O] [S] [A] staff [O] very helpful [S] positive
84,4029,the room wasn't clean enough . [A] [O] [S] [A] room [O] wasn't clean enough [S] negative,the area was spotless enough . [A] [O] [S] [A] area [O] was spotless enough [S] positive
85,4062,the room is not soundproof . [A] [O] [S] [A] room [O] not soundproof [S] negative,the wall is mostly soundproof . [A] [O] [S] [A] wall [O] mostly soundproof [S] positive
86,4065,the breakfast was unappealing . [A] [O] [S] [A] breakfast [O] unappealing [S] negative,the course was a great experience . [A] [O] [S] [A] course [O] a great experience [S] positive
87,4075,the breakfast menu was not very tasty . [A] [O] [S] [A] breakfast menu [O] not very tasty [S] negative,the lunch menu was not very bad . [A] [O] [S] [A] lunch menu [O] not very bad [S] positive
88,4087,the bathroom is too cramped . [A] [O] [S] [A] bathroom [O] too cramped [S] negative,the kitchen is roomy . [A] [O] [S] [A] kitchen [O] roomy [S] positive
89,4093,the parking area is spacious . [A] [O] [S] [A] parking area [O] spacious [S] positive,the eating area is cramped . [A] [O] [S] [A] eating area [O] cramped [S] negative
90,4161,the breakfast menu is delicious . [A] [O] [S] [A] breakfast menu [O] delicious [S] positive,the lunch menu is terrible . [A] [O] [S] [A] lunch menu [O] terrible [S] negative
91,4188,the ac in room number 10 is not cold . [A] [O] [S] [A] ac [O] not cold [S] negative,the fridge in room number 10 is very cold . [A] [O] [S] [A] fridge [O] very cold [S] positive
92,4212,the hot water is unstable . [A] [O] [S] [A] hot water [O] unstable [S] negative,the cool breeze is stable . [A] [O] [S] [A] cool breeze [O] stable [S] positive
93,4241,the place is in the city center and very quiet . [A] [O] [S] [A] place [O] very quiet [S] positive,the office is in the city center and so noisy . [A] [O] [S] [A] office [O] so noisy [S] negative
94,4249,there is no tissue . [A] [O] [S] [A] tissue [O] no [S] negative,there are many snacks . [A] [O] [S] [A] snacks [O] many [S] positive
95,4258,the breakfast was not tasty . [A] [O] [S] [A] breakfast [O] not tasty [S] negative,the dinner was very tasty . [A] [O] [S] [A] dinner [O] very tasty [S] positive
96,4272,the ac is hot . [A] [O] [S] [A] ac [O] hot [S] negative,the fridge is cold . [A] [O] [S] [A] fridge [O] cold [S] positive
97,4391,"the receptionist was very unfriendly . check-in time was supposed to be at 2 pm , but they said we could only check in at 3 pm . [A] [O] [S] [A] receptionist [O] very unfriendly [S] negative","the house keeper was very amicable . check-in time was supposed to be at 2 pm , but they said we could do check in at 1 pm . [A] [O] [S] [A] house keeper [O] very amicable [S] positive"
98,4442,the wifi is not fast enough . [A] [O] [S] [A] wifi [O] not fast enough [S] negative,the life is not slow enough. [A] [O] [S] [A] life [O] not slow enough [S] positive
