,index,original_pair,corrupted_pair
41,3113,kamar luas dekat stasiun balapan . [A] [O] [S] [A] kamar [O] luas [S] positive,lampu rusak dekat stasiun balapan . [A] [O] [S] [A] lampu [O] rusak [S] negative
42,3172,wastafel macet . [A] [O] [S] [A] wastafel [O] macet [S] negative,suasana nya buruk . [A] [O] [S] [A] suasana nya [O] buruk [S] negative
43,3251,tetapi tidak disediakan air mineral di dalam kamar . [A] [O] [S] [A] air mineral [O] tidak disediakan [S] negative,tetapi kasur terasa empuk di dalam kamar . [A] [O] [S] [A] kasur [O] terasa empuk [S] positive
44,3253,pelayanan resepsionis cepat . [A] [O] [S] [A] pelayanan resepsionis [O] cepat [S] positive,suara kendaraan di luar bising . [A] [O] [S] [A] suara kendaraan di luar [O] bising [S] negative
45,3307,resepsionisnya ramah . [A] [O] [S] [A] resepsionisnya [O] ramah [S] positive,pegawai cleaning servisnya buruk . [A] [O] [S] [A] pegawai cleaning servisnya [O] buruk [S] negative
46,3323,sayang sekali tidak ada sarapan apaapa . [A] [O] [S] [A] sarapan [O] tidak ada [S] negative,sayang sekali ramah pegawai apaapa . [A] [O] [S] [A] pegawai [O] ramah [S] positive
47,3355,untuk sarapan kurang memuaskan . [A] [O] [S] [A] sarapan [O] kurang memuaskan [S] negative,untuk kamar bersih dan nyaman . [A] [O] [S] [A] kamar [O] bersih dan nyaman [S] positive
48,3377,hotel nyaman . terimakasih airy . [A] [O] [S] [A] hotel [O] nyaman [S] positive,wifi lemot . terimakasih airy . [A] [O] [S] [A] wifi [O] lemot [S] negative
49,3384,shower nya rusak . [A] [O] [S] [A] shower nya [O] rusak [S] negative,toilet nya bersih . [A] [O] [S] [A] toilet nya [O] bersih [S] positive
50,3409,sudah 2 kali menginap disana dan pelayanannya memuaskan . [A] [O] [S] [A] pelayanannya [O] memuaskan [S] positive,sudah 2 kali menginap disana dan kamar mandinya tidak bersih . [A] [O] [S] [A] kamar mandinya [O] tidak bersih [S] negative
51,3431,handuk cuma 1 . [A] [O] [S] [A] handuk [O] cuma 1 [S] negative,sarapan cukup enak . [A] [O] [S] [A] sarapan [O] cukup enak [S] positive
52,3470,"proses check in nya lama , padahal sudah mau istirahat . [A] [O] [S] [A] proses check in nya [O] lama [S] negative","akses kamarnya cepat , padahal sudah mau istirahat . [A] [O] [S] [A] akses kamarnya [O] cepat [S] positive"
53,3486,kamar mandi sempit . [A] [O] [S] [A] kamar mandi [O] sempit [S] negative,view jendela bagus . [A] [O] [S] [A] view jendela [O] bagus [S] positive
54,3510,ac kurang dingin . [A] [O] [S] [A] ac [O] kurang dingin [S] negative,api lumayan dingin . [A] [O] [S] [A] api [O] lumayan dingin [S] positive
55,3515,"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik . [A] [O] [S] [A] pelayanannya [O] sangat baik [S] positive","setiap mau check in pasti dihotel ini , karena fasilitasnya sangat minim . [A] [O] [S] [A] fasilitasnya [O] sangat minim [S] negative"
57,3521,hanya saja ruangan terlalu sempit . [A] [O] [S] [A] ruangan [O] terlalu sempit [S] negative,hanya saja internetnya lancar dan cepat . [A] [O] [S] [A] internetnya [O] lancar dan cepat [S] positive
58,3524,ac nya kurang dingin di kamar 515 . [A] [O] [S] [A] ac nya [O] kurang dingin [S] negative,view nya luar biasa di kamar 515 . [A] [O] [S] [A] view nya [O] luar biasa [S] positive
59,3526,alhamdulillah baik pelayanannya . [A] [O] [S] [A] pelayanannya [O] baik [S] positive,alhamdulillah keras roti isinya . [A] [O] [S] [A] roti isinya [O] keras [S] negative
60,3531,parkiran cukup luas . [A] [O] [S] [A] parkiran [O] cukup luas [S] positive,sarapan kurang bersih . [A] [O] [S] [A] sarapan [O] kurang bersih [S] negative
61,3537,ac tidak dingin . [A] [O] [S] [A] ac [O] tidak dingin [S] negative,staff sangat membantu . [A] [O] [S] [A] staff [O] sangat membantu [S] positive
62,3548,semuanya oke . [A] [O] [S] [A] semuanya [O] oke [S] positive,pelayanan buruk . [A] [O] [S] [A] pelayanan [O] buruk [S] negative
63,3564,pelayanan kurang baik . [A] [O] [S] [A] pelayanan [O] kurang baik [S] negative,lokasi nya sangat strategis . [A] [O] [S] [A] lokasi nya [O] sangat strategis [S] positive
64,3567,kamar terlalu sempit . [A] [O] [S] [A] kamar [O] terlalu sempit [S] negative,lokasi dekat dan strategis . [A] [O] [S] [A] lokasi [O] dekat dan strategis [S] positive
65,3574,tidak ada snack . [A] [O] [S] [A] snack [O] tidak ada [S] negative,cukup bar . [A] [O] [S] [A] bar [O] cukup [S] positive
66,3576,pelayanannya kurang . [A] [O] [S] [A] pelayanannya [O] kurang [S] negative,fasilitasnya cukup . [A] [O] [S] [A] fasilitasnya [O] cukup [S] positive
67,3580,pelayanannya bagus . sampai diantar ke bandara dengan juga . [A] [O] [S] [A] pelayanannya [O] bagus [S] positive,fasilitasnya buruk . sampai diantar ke bandara dengan juga . [A] [O] [S] [A] fasilitasnya [O] buruk [S] negative
68,3584,"bagus tempatnya , dekat rumah makan . [A] [O] [S] [A] tempatnya [O] bagus [S] positive","mahal tarifnya , dekat rumah makan . [A] [O] [S] [A] tarifnya [O] mahal [S] negative"
69,3594,sayang lift tidak bekerja . [A] [O] [S] [A] lift [O] tidak bekerja [S] negative,sayang staff sangat ramah . [A] [O] [S] [A] staff [O] sangat ramah [S] positive
70,3629,airnya kurang kencang . [A] [O] [S] [A] airnya [O] kurang kencang [S] negative,kuku lumayan kencang . [A] [O] [S] [A] kuku [O] lumayan kencang [S] positive
71,3744,pelayan cepat . [A] [O] [S] [A] pelayan [O] cepat [S] positive,seprei lambat . [A] [O] [S] [A] seprei [O] lambat [S] negative
72,3753,tidak ada sabun di dalam kamar . [A] [O] [S] [A] sabun [O] tidak ada [S] negative,banyaknya kue di dalam kamar . [A] [O] [S] [A] kue [O] banyaknya [S] positive
73,3764,wifi nya kurang memuaskan : ) . [A] [O] [S] [A] wifi nya [O] kurang memuaskan [S] negative,layanan cukup memuaskan : ) . [A] [O] [S] [A] layanan [O] cukup memuaskan [S] positive
74,3783,"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok . [A] [O] [S] [A] tempat [O] nyaman [S] positive","sudah 3x menginap di sini , calon langganan . tapi sapu jadi risih . [A] [O] [S] [A] sapu [O] risih [S] negative"
75,3804,tempat buat istirahat yang sangat nyaman sekali . [A] [O] [S] [A] tempat [O] sangat nyaman sekali [S] positive,kunci buat istirahat yang amat sangat berisik . [A] [O] [S] [A] kunci [O] amat sangat berisik [S] negative
76,3811,hot shower tidak berfungsi . [A] [O] [S] [A] hot shower [O] tidak berfungsi [S] negative,lemari berfungsi baik . [A] [O] [S] [A] lemari [O] berfungsi baik [S] positive
77,3814,lokasi strategis dekat stasiun blitar dan alun alun . [A] [O] [S] [A] lokasi [O] strategis [S] positive,jalanan macet dekat stasiun blitar dan alun alun . [A] [O] [S] [A] jalanan [O] macet [S] negative
78,3858,seprai nya kurang bersih . [A] [O] [S] [A] seprai nya [O] kurang bersih [S] negative,pelayanan nya cukup ramah . [A] [O] [S] [A] pelayanan nya [O] cukup ramah [S] positive
79,3866,kamarnya tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin . [A] [O] [S] [A] kamarnya [O] tidak kedap suara [S] negative,suasana nya tenang dan bersih . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin . [A] [O] [S] [A] suasana nya [O] tenang dan bersih [S] positive
80,3914,tempat enak banget . [A] [O] [S] [A] tempat [O] enak banget [S] positive,staf buruk sekali . [A] [O] [S] [A] staf [O] buruk sekali [S] positive
81,3926,petugas yang ramah . [A] [O] [S] [A] petugas [O] ramah [S] positive,kamar yang sempit . [A] [O] [S] [A] kamar [O] sempit [S] negative
82,3934,air tidak jalan . [A] [O] [S] [A] air [O] tidak jalan [S] negative,wifi sangat lancar. [A] [O] [S] [A] wifi [O] sangat lancar [S] positive
83,4021,pelayannya kurang ramah . [A] [O] [S] [A] pelayannya [O] kurang ramah [S] negative,makanannya sangat lezat . [A] [O] [S] [A] makanannya [O] sangat lezat [S] positive
84,4029,kamarnya kurang bersih . [A] [O] [S] [A] kamarnya [O] kurang bersih [S] negative,suasana nya sangat menarik . [A] [O] [S] [A] suasana nya [O] sangat menarik [S] positive
85,4062,kamar tidak kedap suara . [A] [O] [S] [A] kamar [O] tidak kedap suara [S] negative,layar meredam suara . [A] [O] [S] [A] layar [O] meredam suara [S] positive
86,4065,sarapan yang kurang menarik . [A] [O] [S] [A] sarapan [O] kurang menarik [S] negative,ruangan yang bagus dan tenang . [A] [O] [S] [A] ruangan [O] bagus dan tenang [S] positive
87,4075,menu sarapan kurang enak . [A] [O] [S] [A] menu sarapan [O] kurang enak [S] negative,timbangannya lumayan enak . [A] [O] [S] [A] timbangannya [O] lumayan enak [S] positive
88,4087,kamar mandi terlalu sempit . [A] [O] [S] [A] kamar mandi [O] terlalu sempit [S] negative,otomotif cukup leluasa . [A] [O] [S] [A] otomotif [O] cukup leluasa [S] positive
89,4093,parkiran luas . [A] [O] [S] [A] parkiran [O] luas [S] positive,jaket sempit . [A] [O] [S] [A] jaket [O] sempit [S] negative
90,4161,menu sarapannya enak . [A] [O] [S] [A] menu sarapannya [O] enak [S] positive,pengadilannya hambar . [A] [O] [S] [A] pengadilannya [O] hambar [S] negative
91,4188,ac di kamar nomor 10 tidak dingin . [A] [O] [S] [A] ac [O] tidak dingin [S] negative,motor di kamar nomor 10 sangat dingin . [A] [O] [S] [A] motor [O] sangat dingin [S] positive
92,4212,air panasnya tidak stabil . [A] [O] [S] [A] air panasnya [O] tidak stabil [S] negative,alat tulis sudah stabil . [A] [O] [S] [A] alat tulis [O] sudah stabil [S] positive
93,4241,tempatnya di tengah kota dan sangat tenang . [A] [O] [S] [A] tempatnya [O] sangat tenang [S] positive,ruangannya di tengah kota dan berisik . [A] [O] [S] [A] ruangannya [O] berisik [S] negative
94,4249,tidak ada tisu . [A] [O] [S] [A] tisu [O] tidak ada [S] negative,banyak juga minuman . [A] [O] [S] [A] minuman [O] banyak juga [S] positive
95,4258,sarapannya kurang enak . [A] [O] [S] [A] sarapannya [O] kurang enak [S] negative,pohonnya sangat lezat . [A] [O] [S] [A] pohonnya [O] sangat lezat [S] positive
96,4272,ac nya panas . [A] [O] [S] [A] ac nya [O] panas [S] negative,es nya dingin . [A] [O] [S] [A] es nya [O] dingin [S] positive
97,4391,resepsionis sangat tidak ramah . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore . [A] [O] [S] [A] resepsionis [O] sangat tidak ramah [S] negative,pegawai tokonya terlalu baik . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore . [A] [O] [S] [A] pegawai tokonya [O] terlalu baik [S] positive
98,4442,wifi kurang kencang . [A] [O] [S] [A] wifi [O] kurang kencang [S] negative,bon cukup kencang . [A] [O] [S] [A] bon [O] cukup kencang [S] positive
