index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced,original_label,inference,is_match
2556,tempat menginap yang nyaman .,"[('tempat', 'nyaman', 'positive')]",kamar menginap yang sempit .,"[('kamar', 'sempit', 'negative')]",[A] tempat [O] nyaman [S] positive,[A] tempat [O] nyaman [S] positive,True
2561,kamar mandi kurang bersih .,"[('kamar mandi', 'kurang bersih', 'negative')]",kamar tidur selalu bersih .,"[('kamar tidur', 'selalu bersih', 'positive')]",[A] kamar mandi [O] kurang bersih [S] negative,[A] kamar mandi [O] kurang bersih [S] negative,True
2565,pelayanan baik . terimakasih .,"[('pelayanan', 'baik', 'positive')]",makanan keras . terimakasih .,"[('makanan', 'keras', 'negative')]",[A] pelayanan [O] baik [S] positive,[A] pelayanan [O] baik [S] positive,True
2579,hotel sangat nyaman .,"[('hotel', 'sangat nyaman', 'positive')]",staff tidak ramah .,"[('staff', 'tidak ramah', 'negative')]",[A] hotel [O] sangat nyaman [S] positive,[A] hotel [O] sangat nyaman [S] positive,True
2584,"lokasi strategis dekat alunalun malang , banyak tempat makan .","[('lokasi', 'strategis', 'positive')]","ruangan kotor dekat alunalun malang , banyak tempat makan .","[('ruangan', 'kotor', 'negative')]",[A] lokasi [O] strategis [S] positive,[A] lokasi [O] strategis [S] positive,True
2589,resepsionis friendly ke customernya .,"[('resepsionis', 'friendly', 'positive')]",pegawai restoran arab keras ke customernya .,"[('pegawai restoran arab', 'keras', 'negative')]",[A] resepsionis [O] friendly [S] positive,[A] resepsionis [O] friendly [S] positive,True
2590,"enak tempatnya , dekat mesjid , tinggal jalan jika mau sholat . terus yang pasti . 7 garansi kepuasan terpenuhi .","[('tempatnya', 'enak', 'positive')]","buruk pelayannya , dekat mesjid , tinggal jalan jika mau sholat . terus yang pasti . 7 garansi kepuasan terpenuhi .","[('pelayannya', 'buruk', 'negative')]",[A] tempatnya [O] enak [S] positive,[A] tempatnya [O] enak [S] positive,True
2592,kamar kotor .,"[('kamar', 'kotor', 'negative')]",lokasi strategis .,"[('lokasi', 'strategis', 'positive')]",[A] kamar [O] kotor [S] negative,[A] kamar [O] kotor [S] negative,True
2593,"lokasi bagus , dekat stasiun mangga besar .","[('lokasi', 'bagus', 'positive')]","bangunan rusak , dekat stasiun mangga besar .","[('bangunan', 'rusak', 'negative')]",[A] lokasi [O] bagus [S] positive,[A] lokasi [O] bagus [S] positive,True
2594,"tempat enak buat persinggahan . dekat dengan bandara , bisa pesan antar .","[('tempat', 'enak', 'positive')]","kamar pengap buat persinggahan . dekat dengan bandara , bisa pesan antar .","[('kamar', 'pengap', 'negative')]",[A] tempat [O] enak [S] positive,[A] tempat [O] enak [S] positive,True
2598,pelayanan baik selama 24jam .,"[('pelayanan', 'baik', 'positive')]",makanan keras selama 24jam .,"[('makanan', 'keras', 'negative')]",[A] pelayanan [O] baik [S] positive,[A] pelayanan [O] baik [S] positive,True
2599,kasurnya keras : ( .,"[('kasurnya', 'keras', 'negative')]",tempatnya baik : ( .,"[('tempatnya', 'baik', 'positive')]",[A] kasurnya [O] keras [S] negative,[A] kasurnya [O] keras [S] negative,True
2600,penjaganya kurang ramah .,"[('penjaganya', 'kurang ramah', 'negative')]",kebersihan hotel sangat terjaga .,"[('kebersihan hotel', 'sangat terjaga', 'positive')]",[A] penjaganya [O] kurang ramah [S] negative,[A] penjaganya [O] kurang ramah [S] negative,True
2628,menu breakfast kurang lengkap .,"[('menu breakfast', 'kurang lengkap', 'negative')]",lokasi cukup strategis .,"[('lokasi', 'cukup strategis', 'positive')]",[A] menu breakfast [O] kurang lengkap [S] negative,[A] menu breakfast [O] kurang lengkap [S] negative,True
2642,resepsionis kurang ramah .,"[('resepsionis', 'kurang ramah', 'negative')]",pegawai tokonya baik dan lucu .,"[('pegawai tokonya', 'baik dan lucu', 'positive')]",[A] resepsionis [O] kurang ramah [S] negative,[A] resepsionis [O] kurang ramah [S] negative,True
2699,wifi tidak hidup nya .,"[('wifi', 'tidak hidup', 'negative')]",ac sangat dingin nya .,"[('ac', 'sangat dingin', 'positive')]",[A] wifi [O] tidak hidup [S] negative,[A] wifi [O] tidak hidup [S] negative,True
2700,lokasi oke . dekat dengan pusat kota .,"[('lokasi', 'oke', 'positive')]",parkiran sempit . dekat dengan pusat kota .,"[('parkiran', 'sempit', 'negative')]",[A] lokasi [O] oke [S] positive,[A] lokasi [O] oke [S] positive,True
2703,kamarnya kecil banget .,"[('kamarnya', 'kecil banget', 'negative')]",suasana nya cukup tenang .,"[('suasana nya', 'cukup tenang', 'positive')]",[A] kamarnya [O] kecil banget [S] negative,[A] kamarnya [O] kecil banget [S] negative,True
2732,secara keseluruhan sangat memuaskan .,"[('secara keseluruhan', 'sangat memuaskan', 'positive')]",suasana lingkungan menyedihkan .,"[('suasana lingkungan', 'menyedihkan', 'negative')]",[A] secara keseluruhan [O] sangat memuaskan [S] positive,[A] secara keseluruhan [O] sangat memuaskan [S] positive,True
2755,untuk inap yang kemarin tempat tidur kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",untuk inap yang kemarin kamar mandi cukup bersih .,"[('kamar mandi', 'cukup bersih', 'positive')]",[A] tempat tidur [O] kurang bersih [S] negative,[A] tempat tidur [O] kurang bersih [S] negative,True
2941,"handuknya cuma satu , sementara kami berdua .","[('handuknya', 'cuma satu', 'negative')]","sandalnya lebih dari dua , sementara kami berdua .","[('sandalnya', 'lebih dari dua', 'positive')]",[A] handuknya [O] cuma satu [S] negative,[A] handuknya [O] cuma satu [S] negative,True
2945,wifi kurang baik .,"[('wifi', 'kurang baik', 'negative')]",ac sangat dingin .,"[('ac', 'sangat dingin', 'positive')]",[A] wifi [O] kurang baik [S] negative,[A] wifi [O] kurang baik [S] negative,True
2970,tempat tdr kurang nyaman .,"[('tempat tdr', 'kurang nyaman', 'negative')]",sarapan pagi sangat lezat .,"[('sarapan pagi', 'sangat lezat', 'positive')]",[A] tempat tdr [O] kurang nyaman [S] negative,[A] tempat tdr [O] kurang nyaman [S] negative,True
2991,pelayanan bagus . terimakasih airy !,"[('pelayanan', 'bagus', 'positive')]",makanan buruk . terimakasih airy !,"[('makanan', 'buruk', 'negative')]",[A] pelayanan [O] bagus [S] positive,[A] pelayanan [O] bagus [S] positive,True
3003,semua lengkap .,"[('semua', 'lengkap', 'positive')]",sauna buruk .,"[('sauna', 'buruk', 'negative')]",[A] semua [O] lengkap [S] positive,[A] semua [O] lengkap [S] positive,True
3084,kamar sempit banget .,"[('kamar', 'sempit banget', 'negative')]",parkiran luas sekali .,"[('parkiran', 'luas sekali', 'positive')]",[A] kamar [O] sempit banget [S] negative,[A] kamar [O] sempit banget [S] negative,True
3113,kamar luas dekat stasiun balapan .,"[('kamar', 'luas', 'positive')]",lampu rusak dekat stasiun balapan .,"[('lampu', 'rusak', 'negative')]",[A] kamar [O] luas [S] positive,[A] kamar [O] luas [S] positive,True
3172,wastafel macet .,"[('wastafel', 'macet', 'negative')]",suasana nya buruk .,"[('suasana nya', 'buruk', 'negative')]",[A] wastafel [O] macet [S] negative,[A] wastafel [O] macet [S] negative,True
3251,tetapi tidak disediakan air mineral di dalam kamar .,"[('air mineral', 'tidak disediakan', 'negative')]",tetapi kasur terasa empuk di dalam kamar .,"[('kasur', 'terasa empuk', 'positive')]",[A] air mineral [O] tidak disediakan [S] negative,[A] air mineral [O] tidak disediakan [S] negative,True
3253,pelayanan resepsionis cepat .,"[('pelayanan resepsionis', 'cepat', 'positive')]",suara kendaraan di luar bising .,"[('suara kendaraan di luar', 'bising', 'negative')]",[A] pelayanan resepsionis [O] cepat [S] positive,[A] pelayanan resepsionis [O] cepat [S] positive,True
3307,resepsionisnya ramah .,"[('resepsionisnya', 'ramah', 'positive')]",pegawai cleaning servisnya buruk .,"[('pegawai cleaning servisnya', 'buruk', 'negative')]",[A] resepsionisnya [O] ramah [S] positive,[A] resepsionisnya [O] ramah [S] positive,True
3323,sayang sekali tidak ada sarapan apaapa .,"[('sarapan', 'tidak ada', 'negative')]",sayang sekali ramah pegawai apaapa .,"[('pegawai', 'ramah', 'positive')]",[A] sarapan [O] tidak ada [S] negative,[A] sarapan [O] tidak ada [S] negative,True
3355,untuk sarapan kurang memuaskan .,"[('sarapan', 'kurang memuaskan', 'negative')]",untuk kamar bersih dan nyaman .,"[('kamar', 'bersih dan nyaman', 'positive')]",[A] sarapan [O] kurang memuaskan [S] negative,[A] sarapan [O] kurang memuaskan [S] negative,True
3377,hotel nyaman . terimakasih airy .,"[('hotel', 'nyaman', 'positive')]",wifi lemot . terimakasih airy .,"[('wifi', 'lemot', 'negative')]",[A] hotel [O] nyaman [S] positive,[A] hotel [O] nyaman [S] positive,True
3384,shower nya rusak .,"[('shower nya', 'rusak', 'negative')]",toilet nya bersih .,"[('toilet nya', 'bersih', 'positive')]",[A] shower nya [O] rusak [S] negative,[A] shower nya [O] rusak [S] negative,True
3409,sudah 2 kali menginap disana dan pelayanannya memuaskan .,"[('pelayanannya', 'memuaskan', 'positive')]",sudah 2 kali menginap disana dan kamar mandinya tidak bersih .,"[('kamar mandinya', 'tidak bersih', 'negative')]",[A] pelayanannya [O] memuaskan [S] positive,[A] pelayanannya [O] memuaskan [S] positive,True
3431,handuk cuma 1 .,"[('handuk', 'cuma 1', 'negative')]",sarapan cukup enak .,"[('sarapan', 'cukup enak', 'positive')]",[A] handuk [O] cuma 1 [S] negative,[A] handuk [O] cuma 1 [S] negative,True
3470,"proses check in nya lama , padahal sudah mau istirahat .","[('proses check in nya', 'lama', 'negative')]","akses kamarnya cepat , padahal sudah mau istirahat .","[('akses kamarnya', 'cepat', 'positive')]",[A] proses check in nya [O] lama [S] negative,[A] proses check in nya [O] lama [S] negative,True
3486,kamar mandi sempit .,"[('kamar mandi', 'sempit', 'negative')]",view jendela bagus .,"[('view jendela', 'bagus', 'positive')]",[A] kamar mandi [O] sempit [S] negative,[A] kamar mandi [O] sempit [S] negative,True
3510,ac kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",api lumayan dingin .,"[('api', 'lumayan dingin', 'positive')]",[A] ac [O] kurang dingin [S] negative,[A] ac [O] kurang dingin [S] negative,True
3515,"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik .","[('pelayanannya', 'sangat baik', 'positive')]","setiap mau check in pasti dihotel ini , karena fasilitasnya sangat minim .","[('fasilitasnya', 'sangat minim', 'negative')]",[A] pelayanannya [O] sangat baik [S] positive,[A] pelayanannya [O] sangat baik [S] positive,True
3521,hanya saja ruangan terlalu sempit .,"[('ruangan', 'terlalu sempit', 'negative')]",hanya saja internetnya lancar dan cepat .,"[('internetnya', 'lancar dan cepat', 'positive')]",[A] ruangan [O] terlalu sempit [S] negative,[A] ruangan [O] terlalu sempit [S] negative,True
3524,ac nya kurang dingin di kamar 515 .,"[('ac nya', 'kurang dingin', 'negative')]",view nya luar biasa di kamar 515 .,"[('view nya', 'luar biasa', 'positive')]",[A] ac nya [O] kurang dingin [S] negative,[A] ac nya [O] kurang dingin [S] negative,True
3526,alhamdulillah baik pelayanannya .,"[('pelayanannya', 'baik', 'positive')]",alhamdulillah keras roti isinya .,"[('roti isinya', 'keras', 'negative')]",[A] pelayanannya [O] baik [S] positive,[A] pelayanannya [O] baik [S] positive,True
3531,parkiran cukup luas .,"[('parkiran', 'cukup luas', 'positive')]",sarapan kurang bersih .,"[('sarapan', 'kurang bersih', 'negative')]",[A] parkiran [O] cukup luas [S] positive,[A] parkiran [O] cukup luas [S] positive,True
3537,ac tidak dingin .,"[('ac', 'tidak dingin', 'negative')]",staff sangat membantu .,"[('staff', 'sangat membantu', 'positive')]",[A] ac [O] tidak dingin [S] negative,[A] ac [O] tidak dingin [S] negative,True
3548,semuanya oke .,"[('semuanya', 'oke', 'positive')]",pelayanan buruk .,"[('pelayanan', 'buruk', 'negative')]",[A] semuanya [O] oke [S] positive,[A] semuanya [O] oke [S] positive,True
3564,pelayanan kurang baik .,"[('pelayanan', 'kurang baik', 'negative')]",lokasi nya sangat strategis .,"[('lokasi nya', 'sangat strategis', 'positive')]",[A] pelayanan [O] kurang baik [S] negative,[A] pelayanan [O] kurang baik [S] negative,True
3567,kamar terlalu sempit .,"[('kamar', 'terlalu sempit', 'negative')]",lokasi dekat dan strategis .,"[('lokasi', 'dekat dan strategis', 'positive')]",[A] kamar [O] terlalu sempit [S] negative,[A] kamar [O] terlalu sempit [S] negative,True
3574,tidak ada snack .,"[('snack', 'tidak ada', 'negative')]",cukup bar .,"[('bar', 'cukup', 'positive')]",[A] snack [O] tidak ada [S] negative,[A] snack [O] tidak ada [S] negative,True
3576,pelayanannya kurang .,"[('pelayanannya', 'kurang', 'negative')]",fasilitasnya cukup .,"[('fasilitasnya', 'cukup', 'positive')]",[A] pelayanannya [O] kurang [S] negative,[A] pelayanannya [O] kurang [S] negative,True
3580,pelayanannya bagus . sampai diantar ke bandara dengan juga .,"[('pelayanannya', 'bagus', 'positive')]",fasilitasnya buruk . sampai diantar ke bandara dengan juga .,"[('fasilitasnya', 'buruk', 'negative')]",[A] pelayanannya [O] bagus [S] positive,[A] pelayanannya [O] bagus [S] positive,True
3584,"bagus tempatnya , dekat rumah makan .","[('tempatnya', 'bagus', 'positive')]","mahal tarifnya , dekat rumah makan .","[('tarifnya', 'mahal', 'negative')]",[A] tempatnya [O] bagus [S] positive,[A] tempatnya [O] bagus [S] positive,True
3594,sayang lift tidak bekerja .,"[('lift', 'tidak bekerja', 'negative')]",sayang staff sangat ramah .,"[('staff', 'sangat ramah', 'positive')]",[A] lift [O] tidak bekerja [S] negative,[A] lift [O] tidak bekerja [S] negative,True
3629,airnya kurang kencang .,"[('airnya', 'kurang kencang', 'negative')]",kuku lumayan kencang .,"[('kuku', 'lumayan kencang', 'positive')]",[A] airnya [O] kurang kencang [S] negative,[A] airnya [O] kurang kencang [S] negative,True
3744,pelayan cepat .,"[('pelayan', 'cepat', 'positive')]",seprei lambat .,"[('seprei', 'lambat', 'negative')]",[A] pelayan [O] cepat [S] positive,[A] pelayan [O] cepat [S] positive,True
3753,tidak ada sabun di dalam kamar .,"[('sabun', 'tidak ada', 'negative')]",banyaknya kue di dalam kamar .,"[('kue', 'banyaknya', 'positive')]",[A] sabun [O] tidak ada [S] negative,[A] sabun [O] tidak ada [S] negative,True
3764,wifi nya kurang memuaskan : ) .,"[('wifi nya', 'kurang memuaskan', 'negative')]",layanan cukup memuaskan : ) .,"[('layanan', 'cukup memuaskan', 'positive')]",[A] wifi nya [O] kurang memuaskan [S] negative,[A] wifi nya [O] kurang memuaskan [S] negative,True
3783,"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok .","[('tempat', 'nyaman', 'positive')]","sudah 3x menginap di sini , calon langganan . tapi sapu jadi risih .","[('sapu', 'risih', 'negative')]",[A] tempat [O] nyaman [S] positive,[A] tempat [O] nyaman [S] positive,True
3804,tempat buat istirahat yang sangat nyaman sekali .,"[('tempat', 'sangat nyaman sekali', 'positive')]",kunci buat istirahat yang amat sangat berisik .,"[('kunci', 'amat sangat berisik', 'negative')]",[A] tempat [O] sangat nyaman sekali [S] positive,[A] tempat [O] sangat nyaman sekali [S] positive,True
3811,hot shower tidak berfungsi .,"[('hot shower', 'tidak berfungsi', 'negative')]",lemari berfungsi baik .,"[('lemari', 'berfungsi baik', 'positive')]",[A] hot shower [O] tidak berfungsi [S] negative,[A] hot shower [O] tidak berfungsi [S] negative,True
3814,lokasi strategis dekat stasiun blitar dan alun alun .,"[('lokasi', 'strategis', 'positive')]",jalanan macet dekat stasiun blitar dan alun alun .,"[('jalanan', 'macet', 'negative')]",[A] lokasi [O] strategis [S] positive,[A] lokasi [O] strategis [S] positive,True
3858,seprai nya kurang bersih .,"[('seprai nya', 'kurang bersih', 'negative')]",pelayanan nya cukup ramah .,"[('pelayanan nya', 'cukup ramah', 'positive')]",[A] seprai nya [O] kurang bersih [S] negative,[A] seprai nya [O] kurang bersih [S] negative,True
3866,kamarnya tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('kamarnya', 'tidak kedap suara', 'negative')]",suasana nya tenang dan bersih . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('suasana nya', 'tenang dan bersih', 'positive')]",[A] kamarnya [O] tidak kedap suara [S] negative,[A] kamarnya [O] tidak kedap suara [S] negative,True
3914,tempat enak banget .,"[('tempat', 'enak banget', 'positive')]",staf buruk sekali .,"[('staf', 'buruk sekali', 'positive')]",[A] tempat [O] enak banget [S] positive,[A] tempat [O] enak banget [S] positive,True
3926,petugas yang ramah .,"[('petugas', 'ramah', 'positive')]",kamar yang sempit .,"[('kamar', 'sempit', 'negative')]",[A] petugas [O] ramah [S] positive,[A] petugas [O] ramah [S] positive,True
3934,air tidak jalan .,"[('air', 'tidak jalan', 'negative')]",wifi sangat lancar.,"[('wifi', 'sangat lancar', 'positive')]",[A] air [O] tidak jalan [S] negative,[A] air [O] tidak jalan [S] negative,True
4021,pelayannya kurang ramah .,"[('pelayannya', 'kurang ramah', 'negative')]",makanannya sangat lezat .,"[('makanannya', 'sangat lezat', 'positive')]",[A] pelayannya [O] kurang ramah [S] negative,[A] pelayannya [O] kurang ramah [S] negative,True
4029,kamarnya kurang bersih .,"[('kamarnya', 'kurang bersih', 'negative')]",suasana nya sangat menarik .,"[('suasana nya', 'sangat menarik', 'positive')]",[A] kamarnya [O] kurang bersih [S] negative,[A] kamarnya [O] kurang bersih [S] negative,True
4062,kamar tidak kedap suara .,"[('kamar', 'tidak kedap suara', 'negative')]",layar meredam suara .,"[('layar', 'meredam suara', 'positive')]",[A] kamar [O] tidak kedap suara [S] negative,[A] kamar [O] tidak kedap suara [S] negative,True
4065,sarapan yang kurang menarik .,"[('sarapan', 'kurang menarik', 'negative')]",ruangan yang bagus dan tenang .,"[('ruangan', 'bagus dan tenang', 'positive')]",[A] sarapan [O] kurang menarik [S] negative,[A] sarapan [O] kurang menarik [S] negative,True
4075,menu sarapan kurang enak .,"[('menu sarapan', 'kurang enak', 'negative')]",timbangannya lumayan enak .,"[('timbangannya', 'lumayan enak', 'positive')]",[A] menu sarapan [O] kurang enak [S] negative,[A] menu sarapan [O] kurang enak [S] negative,True
4087,kamar mandi terlalu sempit .,"[('kamar mandi', 'terlalu sempit', 'negative')]",otomotif cukup leluasa .,"[('otomotif', 'cukup leluasa', 'positive')]",[A] kamar mandi [O] terlalu sempit [S] negative,[A] kamar mandi [O] terlalu sempit [S] negative,True
4093,parkiran luas .,"[('parkiran', 'luas', 'positive')]",jaket sempit .,"[('jaket', 'sempit', 'negative')]",[A] parkiran [O] luas [S] positive,[A] parkiran [O] luas [S] positive,True
4161,menu sarapannya enak .,"[('menu sarapannya', 'enak', 'positive')]",pengadilannya hambar .,"[('pengadilannya', 'hambar', 'negative')]",[A] menu sarapannya [O] enak [S] positive,[A] menu sarapannya [O] enak [S] positive,True
4188,ac di kamar nomor 10 tidak dingin .,"[('ac', 'tidak dingin', 'negative')]",motor di kamar nomor 10 sangat dingin .,"[('motor', 'sangat dingin', 'positive')]",[A] ac [O] tidak dingin [S] negative,[A] ac [O] tidak dingin [S] negative,True
4212,air panasnya tidak stabil .,"[('air panasnya', 'tidak stabil', 'negative')]",alat tulis sudah stabil .,"[('alat tulis', 'sudah stabil', 'positive')]",[A] air panasnya [O] tidak stabil [S] negative,[A] air panasnya [O] tidak stabil [S] negative,True
4241,tempatnya di tengah kota dan sangat tenang .,"[('tempatnya', 'sangat tenang', 'positive')]",ruangannya di tengah kota dan berisik .,"[('ruangannya', 'berisik', 'negative')]",[A] tempatnya [O] sangat tenang [S] positive,[A] tempatnya [O] sangat tenang [S] positive,True
4249,tidak ada tisu .,"[('tisu', 'tidak ada', 'negative')]",banyak juga minuman .,"[('minuman', 'banyak juga', 'positive')]",[A] tisu [O] tidak ada [S] negative,[A] tisu [O] tidak ada [S] negative,True
4258,sarapannya kurang enak .,"[('sarapannya', 'kurang enak', 'negative')]",pohonnya sangat lezat .,"[('pohonnya', 'sangat lezat', 'positive')]",[A] sarapannya [O] kurang enak [S] negative,[A] sarapannya [O] kurang enak [S] negative,True
4272,ac nya panas .,"[('ac nya', 'panas', 'negative')]",es nya dingin .,"[('es nya', 'dingin', 'positive')]",[A] ac nya [O] panas [S] negative,[A] ac nya [O] panas [S] negative,True
4391,resepsionis sangat tidak ramah . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'sangat tidak ramah', 'negative')]",pegawai tokonya terlalu baik . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('pegawai tokonya', 'terlalu baik', 'positive')]",[A] resepsionis [O] sangat tidak ramah [S] negative,[A] resepsionis [O] sangat tidak ramah [S] negative,True
4442,wifi kurang kencang .,"[('wifi', 'kurang kencang', 'negative')]",bon cukup kencang .,"[('bon', 'cukup kencang', 'positive')]",[A] wifi [O] kurang kencang [S] negative,[A] wifi [O] kurang kencang [S] negative,True
