index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
105,air panas sering tidak mengalir .,"[('air panas', 'sering tidak mengalir', 'negative')]",air panas sering tidak mengalir .,"[('air panas', 'sering tidak mengalir', 'negative')]"
134,pelayanannya ramah .,"[('pelayanannya', 'ramah', 'positive')]",pelayanannya ramah .,"[('pelayanannya', 'ramah', 'positive')]"
136,tempat parkir mobil yang terbatas .,"[('tempat parkir mobil', 'terbatas', 'negative')]",tempat parkir mobil yang terbatas .,"[('tempat parkir mobil', 'terbatas', 'negative')]"
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]","kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]"
151,kurang lampu saja ini yang kurang terang .,"[('lampu', 'kurang terang', 'negative')]",kurang lampu saja ini yang kurang terang .,"[('lampu', 'kurang terang', 'negative')]"
166,tidak ada air panas nya .,"[('air panas nya', 'tidak ada', 'negative')]",tidak ada air panas nya .,"[('air panas nya', 'tidak ada', 'negative')]"
175,kamar mandi agar diperbaiki .,"[('kamar mandi', 'agar diperbaiki', 'negative')]",kamar mandi agar diperbaiki .,"[('kamar mandi', 'agar diperbaiki', 'negative')]"
176,air panas kamar mandi kurang panas .,"[('air panas kamar mandi', 'kurang panas', 'negative')]",air panas kamar mandi kurang panas .,"[('air panas kamar mandi', 'kurang panas', 'negative')]"
182,di kamar basement sinyal hp tidak ada .,"[('sinyal hp', 'tidak ada', 'negative')]",di kamar basement sinyal hp tidak ada .,"[('sinyal hp', 'tidak ada', 'negative')]"
200,overall is oke lah .,"[('overall', 'oke', 'positive')]",overall is oke lah .,"[('overall', 'oke', 'positive')]"
219,kamar lumayan luas .,"[('kamar', 'lumayan luas', 'positive')]",kamar lumayan luas .,"[('kamar', 'lumayan luas', 'positive')]"
230,tempatnya bagus untuk istirahat .,"[('tempatnya', 'bagus untuk istirahat', 'positive')]",tempatnya bagus untuk istirahat .,"[('tempatnya', 'bagus untuk istirahat', 'positive')]"
238,kebersihan kamar masih jelek .,"[('kebersihan kamar', 'jelek', 'negative')]",kebersihan kamar masih jelek .,"[('kebersihan kamar', 'jelek', 'negative')]"
257,susah sinyal sehingga mau menelepon itu harus keluar hotel .,"[('sinyal', 'susah sinyal sehingga mau menelepon itu harus keluar hotel', 'negative')]",susah sinyal sehingga mau menelepon itu harus keluar hotel .,"[('sinyal', 'susah sinyal sehingga mau menelepon itu harus keluar hotel', 'negative')]"
259,kurang tisu di kamar mandi dan juga di ruangan .,"[('tisu', 'kurang tisu di kamar mandi dan juga di ruangan', 'negative')]",kurang tisu di kamar mandi dan juga di ruangan .,"[('tisu', 'kurang tisu di kamar mandi dan juga di ruangan', 'negative')]"
267,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama .,"[('sarapan', 'cuma di kasih 1 x di hari pertama', 'negative')]",kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama .,"[('sarapan', 'cuma di kasih 1 x di hari pertama', 'negative')]"
270,kebersihan kurang .,"[('kebersihan', 'kurang', 'negative')]",kebersihan kurang .,"[('kebersihan', 'kurang', 'negative')]"
272,tidak disediakan tisu : ( .,"[('tisu', 'tidak disediakan', 'negative')]",tidak disediakan tisu : ( .,"[('tisu', 'tidak disediakan', 'negative')]"
275,pagi ada sarapan roti dan teh kopi diantar ke kamar .,"[('sarapan', 'pagi ada sarapan roti dan teh kopi diantar ke kamar', 'positive')]",pagi ada sarapan roti dan teh kopi diantar ke kamar .,"[('sarapan', 'pagi ada sarapan roti dan teh kopi diantar ke kamar', 'positive')]"
286,setiap mau pakai kupon diskon kok tidak pernah bisa iya .,"[('kupon diskon', 'setiap mau pakai kupon diskon kok tidak pernah bisa iya', 'negative')]",setiap mau pakai kupon diskon kok tidak pernah bisa iya .,"[('kupon diskon', 'setiap mau pakai kupon diskon kok tidak pernah bisa iya', 'negative')]"
304,"lumayan . sayang ada 1 hari yang kamar tidak di bersihkan dan tidak dapat minuman , dikarenakan tidak adanya pegawai .","[('kamar', 'sayang ada 1 hari yang kamar tidak di bersihkan dan tidak dapat minuman , dikarenakan tidak adanya pegawai', 'negative')]","lumayan . sayang ada 1 hari yang kamar tidak di bersihkan dan tidak dapat minuman , dikarenakan tidak adanya pegawai .","[('kamar', 'sayang ada 1 hari yang kamar tidak di bersihkan dan tidak dapat minuman , dikarenakan tidak adanya pegawai', 'negative')]"
313,tidak terdapat air panas buat minum .,"[('air panas', 'tidak terdapat air panas buat minum', 'negative')]",tidak terdapat air panas buat minum .,"[('air panas', 'tidak terdapat air panas buat minum', 'negative')]"
327,"staf ramah sekali , terutama saat breakfast .","[('staf', 'ramah sekali , terutama saat breakfast', 'positive')]","staf ramah sekali , terutama saat breakfast .","[('staf', 'ramah sekali , terutama saat breakfast', 'positive')]"
347,foto kamar yang ditampilkan tidak sesuai dengan yang diberikan . kamar di foto yang ditampilkan tampa .,"[('kamar', 'foto kamar yang ditampilkan tidak sesuai dengan yang diberikan', 'negative')]",foto kamar yang ditampilkan tidak sesuai dengan yang diberikan . kamar di foto yang ditampilkan tampa .,"[('kamar', 'foto kamar yang ditampilkan tidak sesuai dengan yang diberikan', 'negative')]"
362,tolong di tingkatkan kamar mandi nya .,"[('kamar mandi nya', 'tolong di tingkatkan', 'positive')]",tolong di tingkatkan kamar mandi nya .,"[('kamar mandi nya', 'tolong di tingkatkan', 'positive')]"
372,sarapan enak .,"[('sarapan', 'enak', 'positive')]",sarapan enak .,"[('sarapan', 'enak', 'positive')]"
377,suka dengan suasana penginapannya .,"[('suasana penginapannya', 'suka', 'positive')]",suka dengan suasana penginapannya .,"[('suasana penginapannya', 'suka', 'positive')]"
391,baik pelayanan nya .,"[('pelayanan nya', 'baik', 'positive')]",baik pelayanan nya .,"[('pelayanan nya', 'baik', 'positive')]"
392,"lokasi bagus , .","[('lokasi', 'bagus', 'positive')]","lokasi bagus , .","[('lokasi', 'bagus', 'positive')]"
430,kamar nyaman .,"[('kamar', 'nyaman', 'positive')]",kamar nyaman .,"[('kamar', 'nyaman', 'positive')]"
436,pintu tidak bisa di kunci dari luar .,"[('pintu', 'tidak bisa di kunci', 'negative')]",pintu tidak bisa di kunci dari luar .,"[('pintu', 'tidak bisa di kunci', 'negative')]"
450,"kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya . , .","[('ruang nya', 'kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya', 'negative')]","kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya . , .","[('ruang nya', 'kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya', 'negative')]"
460,bantal bertuliskan airy sudah tidak layak .,"[('bantal', 'sudah tidak layak', 'negative')]",bantal bertuliskan airy sudah tidak layak .,"[('bantal', 'sudah tidak layak', 'negative')]"
471,ac nya tidak dingin . cuma berasa dry tanpa cool .,"[('ac nya', 'tidak dingin . cuma berasa dry tanpa cool', 'negative')]",ac nya tidak dingin . cuma berasa dry tanpa cool .,"[('ac nya', 'tidak dingin . cuma berasa dry tanpa cool', 'negative')]"
480,sarapan lumayan enak .,"[('sarapan', 'lumayan enak', 'positive')]",sarapan lumayan enak .,"[('sarapan', 'lumayan enak', 'positive')]"
513,kamar bau apek .,"[('kamar', 'bau apek', 'negative')]",kamar bau apek .,"[('kamar', 'bau apek', 'negative')]"
536,kamar mandi tidak ada exhaust nya .,"[('exhaust nya', 'tidak ada', 'negative')]",kamar mandi tidak ada exhaust nya .,"[('exhaust nya', 'tidak ada', 'negative')]"
562,semua sudah cukup baik .,"[('semua', 'cukup baik', 'positive')]",semua sudah cukup baik .,"[('semua', 'cukup baik', 'positive')]"
572,kurang snack saja .,"[('snack', 'kurang', 'negative')]",kurang snack saja .,"[('snack', 'kurang', 'negative')]"
575,letak hotel strategis .,"[('letak hotel', 'strategis', 'positive')]",letak hotel strategis .,"[('letak hotel', 'strategis', 'positive')]"
617,kamar nya sempit .,"[('kamar nya', 'sempit', 'negative')]",kamar nya sempit .,"[('kamar nya', 'sempit', 'negative')]"
644,room yang bersih .,"[('room', 'bersih', 'positive')]",room yang bersih .,"[('room', 'bersih', 'positive')]"
664,tempat parkir sedikit dirapikan .,"[('tempat parkir', 'sedikit dirapikan', 'negative')]",tempat parkir sedikit dirapikan .,"[('tempat parkir', 'sedikit dirapikan', 'negative')]"
669,tidak ada wifi nya .,"[('wifi nya', 'tidak ada', 'negative')]",tidak ada wifi nya .,"[('wifi nya', 'tidak ada', 'negative')]"
671,"pelayanan baik , terima kasih .","[('pelayanan', 'baik', 'positive')]","pelayanan baik , terima kasih .","[('pelayanan', 'baik', 'positive')]"
684,kamar mandinya kurang bersih .,"[('kamar mandinya', 'kurang bersih', 'negative')]",kamar mandinya kurang bersih .,"[('kamar mandinya', 'kurang bersih', 'negative')]"
714,kualitas sesuai lah .,"[('kualitas', 'sesuai', 'positive')]",kualitas sesuai lah .,"[('kualitas', 'sesuai', 'positive')]"
716,parkir sempit .,"[('parkir', 'sempit', 'negative')]",parkir sempit .,"[('parkir', 'sempit', 'negative')]"
725,lokasinya tidak terlalu jauh dari pusat keramaian jadi enak kalau mau ke pusat kota malang ataupun ke kota batu .,"[('lokasinya', 'tidak terlalu jauh dari pusat keramaian jadi enak kalau mau ke pusat kota malang ataupun ke kota batu', 'positive')]",lokasinya tidak terlalu jauh dari pusat keramaian jadi enak kalau mau ke pusat kota malang ataupun ke kota batu .,"[('lokasinya', 'tidak terlalu jauh dari pusat keramaian jadi enak kalau mau ke pusat kota malang ataupun ke kota batu', 'positive')]"
748,sangat bersih pula tempatnya .,"[('tempatnya', 'sangat bersih', 'positive')]",sangat bersih pula tempatnya .,"[('tempatnya', 'sangat bersih', 'positive')]"
780,hanya ac nya agak kurang dingin .,"[('ac nya', 'agak kurang dingin', 'negative')]",hanya ac nya agak kurang dingin .,"[('ac nya', 'agak kurang dingin', 'negative')]"
784,kurang ventilasi jdnya pengap dan kipas di toilet .,"[('ventilasi', 'kurang ventilasi jadinya pengap', 'negative')]",kurang ventilasi jdnya pengap dan kipas di toilet .,"[('ventilasi', 'kurang ventilasi jadinya pengap', 'negative')]"
796,"airnya jam 12 malam mati , padahal sangat butuh .","[('airnya', 'jam 12 malam mati , padahal sangat butuh', 'negative')]","airnya jam 12 malam mati , padahal sangat butuh .","[('airnya', 'jam 12 malam mati , padahal sangat butuh', 'negative')]"
797,karnaa salah masukkan tanggal jadi nya pembayaran ini sangat siaa sia .,"[('pembayaran', 'karena salah masukkan tanggal jadi nya pembayaran ini sangat sia sia', 'negative')]",karnaa salah masukkan tanggal jadi nya pembayaran ini sangat siaa sia .,"[('pembayaran', 'karena salah masukkan tanggal jadi nya pembayaran ini sangat sia sia', 'negative')]"
798,nyaman tempat nya : ) .,"[('tempat nya', 'nyaman', 'positive')]",nyaman tempat nya : ) .,"[('tempat nya', 'nyaman', 'positive')]"
813,air kurang panas . itu saja .,"[('air', 'kurang panas', 'negative')]",air kurang panas . itu saja .,"[('air', 'kurang panas', 'negative')]"
820,pelayanan ramah .,"[('pelayanan', 'ramah', 'positive')]",pelayanan ramah .,"[('pelayanan', 'ramah', 'positive')]"
824,air tidak mengalir saat pagi .,"[('air', 'tidak mengalir saat pagi', 'negative')]",air tidak mengalir saat pagi .,"[('air', 'tidak mengalir saat pagi', 'negative')]"
842,bagus semua kok .,"[('semua', 'bagus', 'positive')]",bagus semua kok .,"[('semua', 'bagus', 'positive')]"
888,lokasi strategis .,"[('lokasi', 'strategis', 'positive')]",lokasi strategis .,"[('lokasi', 'strategis', 'positive')]"
900,yang perlu di perbaiki parkiran untuk mobilnya .,"[('parkiran', 'yang perlu di perbaiki parkiran untuk mobilnya', 'negative')]",yang perlu di perbaiki parkiran untuk mobilnya .,"[('parkiran', 'yang perlu di perbaiki parkiran untuk mobilnya', 'negative')]"
926,pelayanan bagus untuk budget hotel .,"[('pelayanan', 'bagus', 'positive')]",pelayanan bagus untuk budget hotel .,"[('pelayanan', 'bagus', 'positive')]"
932,selimut/sprey kurang bersih .,"[('selimut/seprai', 'kurang bersih', 'negative')]",selimut/sprey kurang bersih .,"[('selimut/seprai', 'kurang bersih', 'negative')]"
955,kamar mandinya jorok .,"[('kamar mandinya', 'jorok', 'negative')]",kamar mandinya jorok .,"[('kamar mandinya', 'jorok', 'negative')]"
957,oke dengan harga kamarnya .,"[('harga', 'oke dengan harga kamarnya', 'positive')]",oke dengan harga kamarnya .,"[('harga', 'oke dengan harga kamarnya', 'positive')]"
961,"ini kedua kalinya saya menginap disini , airnya masih asin .","[('airnya', 'asin', 'negative')]","ini kedua kalinya saya menginap disini , airnya masih asin .","[('airnya', 'asin', 'negative')]"
962,airy oke punya .,"[('airy', 'oke', 'positive')]",airy oke punya .,"[('airy', 'oke', 'positive')]"
965,pintu kamar bawahnya kurang rapat . bisa di menjenguk . hadehh .,"[('pintu kamar bawahnya', 'kurang rapat . bisa di menjenguk', 'negative')]",pintu kamar bawahnya kurang rapat . bisa di menjenguk . hadehh .,"[('pintu kamar bawahnya', 'kurang rapat . bisa di menjenguk', 'negative')]"
967,saya senang sama rooms nya .,"[('rooms', 'senang', 'positive')]",saya senang sama rooms nya .,"[('rooms', 'senang', 'positive')]"
971,lokasi oke .,"[('lokasi', 'oke', 'positive')]",lokasi oke .,"[('lokasi', 'oke', 'positive')]"
985,baiklah semuanya baik .,"[('semuanya', 'baik', 'positive')]",baiklah semuanya baik .,"[('semuanya', 'baik', 'positive')]"
996,sarung bantal agak bau .,"[('sarung bantal', 'agak bau', 'negative')]",sarung bantal agak bau .,"[('sarung bantal', 'agak bau', 'negative')]"
1003,lokasinya yang sulit ditemukan .,"[('lokasinya', 'sulit ditemukan', 'negative')]",lokasinya yang sulit ditemukan .,"[('lokasinya', 'sulit ditemukan', 'negative')]"
1019,tidak ada termos air panas .,"[('termos air panas', 'tidak ada', 'negative')]",tidak ada termos air panas .,"[('termos air panas', 'tidak ada', 'negative')]"
1023,tilet kurang bersih .,"[('toilet', 'kurang bersih', 'negative')]",tilet kurang bersih .,"[('toilet', 'kurang bersih', 'negative')]"
1031,keran toilet rusak .,"[('keran toilet', 'rusak', 'negative')]",keran toilet rusak .,"[('keran toilet', 'rusak', 'negative')]"
1034,kurang ramah resepsionianya .,"[('resepsionisnya', 'kurang ramah', 'negative')]",kurang ramah resepsionianya .,"[('resepsionisnya', 'kurang ramah', 'negative')]"
1042,yang kurang hanya airnya saja agak bau kalau awalawal digunakan .,"[('airnya', 'agak bau kalau awal awal digunakan', 'negative')]",yang kurang hanya airnya saja agak bau kalau awalawal digunakan .,"[('airnya', 'agak bau kalau awal awal digunakan', 'negative')]"
1059,1 . ruangan kamar gelap .,"[('ruangan kamar', 'gelap', 'negative')]",1 . ruangan kamar gelap .,"[('ruangan kamar', 'gelap', 'negative')]"
1066,proses cek in tidak ribet .,"[('proses cek in', 'tidak ribet', 'positive')]",proses cek in tidak ribet .,"[('proses cek in', 'tidak ribet', 'positive')]"
1087,air panasnya tidak berfungsi .,"[('air panasnya', 'tidak berfungsi', 'negative')]",air panasnya tidak berfungsi .,"[('air panasnya', 'tidak berfungsi', 'negative')]"
1093,bantal bau .,"[('bantal', 'bau', 'negative')]",bantal bau .,"[('bantal', 'bau', 'negative')]"
1100,"hotel yang bagus , tetap pertahankan .","[('hotel', 'bagus , tetap pertahankan', 'positive')]","hotel yang bagus , tetap pertahankan .","[('hotel', 'bagus , tetap pertahankan', 'positive')]"
1124,kamar 215 nya seram banget .,"[('kamar', 'seram banget', 'negative')]",kamar 215 nya seram banget .,"[('kamar', 'seram banget', 'negative')]"
1132,tidak ada perlengkapan mandi .,"[('perlengkapan mandi', 'tidak ada', 'negative')]",tidak ada perlengkapan mandi .,"[('perlengkapan mandi', 'tidak ada', 'negative')]"
1139,"kebersihan baik , teruskan .","[('kebersihan', 'baik', 'positive')]","kebersihan baik , teruskan .","[('kebersihan', 'baik', 'positive')]"
1151,pintu kamar mandi rusak 206 .,"[('pintu kamar mandi', 'rusak', 'negative')]",pintu kamar mandi rusak 206 .,"[('pintu kamar mandi', 'rusak', 'negative')]"
1154,sangat kecewa dengan pelayan di hotel ini .,"[('pelayan', 'sangat kecewa', 'negative')]",sangat kecewa dengan pelayan di hotel ini .,"[('pelayan', 'sangat kecewa', 'negative')]"
1182,perasaan aku pesan ada sarapannya . tetapi tidak datang .,"[('sarapannya', 'tidak datang', 'negative')]",perasaan aku pesan ada sarapannya . tetapi tidak datang .,"[('sarapannya', 'tidak datang', 'negative')]"
1190,over all suka . semoga sering diskon . terimakasih airy rooms .,"[('over all', 'suka', 'positive')]",over all suka . semoga sering diskon . terimakasih airy rooms .,"[('over all', 'suka', 'positive')]"
1213,tv iya masih buremm . airy kapan di perbaiki .,"[('tv', 'burem', 'negative')]",tv iya masih buremm . airy kapan di perbaiki .,"[('tv', 'burem', 'negative')]"
1234,pelayanan kurang mudah senyum . 1 10 : 7 .,"[('pelayanan', 'kurang mudah senyum', 'negative')]",pelayanan kurang mudah senyum . 1 10 : 7 .,"[('pelayanan', 'kurang mudah senyum', 'negative')]"
1246,cuma kamar mandi agak menggenang airnya setelah dipakai .,"[('kamar mandi', 'agak menggenang airnya setelah dipakai', 'negative')]",cuma kamar mandi agak menggenang airnya setelah dipakai .,"[('kamar mandi', 'agak menggenang airnya setelah dipakai', 'negative')]"
1309,perlu ditambah lift untuk mmudahkan .,"[('lift', 'perlu ditambah lift untuk memudahkan', 'negative')]",perlu ditambah lift untuk mmudahkan .,"[('lift', 'perlu ditambah lift untuk memudahkan', 'negative')]"
1311,overall baik .,"[('overall', 'baik', 'negative')]",overall baik .,"[('overall', 'baik', 'negative')]"
1313,baik keseluruhan .,"[('keseluruhan', 'baik', 'positive')]",baik keseluruhan .,"[('keseluruhan', 'baik', 'positive')]"
1315,wifinya tersendattersendat : ( .,"[('wifinya', 'tersendat sendat', 'negative')]",wifinya tersendattersendat : ( .,"[('wifinya', 'tersendat sendat', 'negative')]"
1321,kebersihan kamar tolong diperbaiki lagi iya .,"[('kebersihan kamar', 'tolong diperbaiki lagi', 'negative')]",kebersihan kamar tolong diperbaiki lagi iya .,"[('kebersihan kamar', 'tolong diperbaiki lagi', 'negative')]"
1351,harga murce deh .,"[('harga', 'murce', 'positive')]",harga murce deh .,"[('harga', 'murce', 'positive')]"
1357,kamar mandi kurang baik .,"[('kamar mandi', 'kurang baik', 'negative')]",kamar mandi kurang baik .,"[('kamar mandi', 'kurang baik', 'negative')]"
1367,kamar tidak standar airy .,"[('kamar', 'tidak standar airy', 'negative')]",kamar tidak standar airy .,"[('kamar', 'tidak standar airy', 'negative')]"
1392,pelyanannya lengkap .,"[('pelayanannya', 'lengkap', 'positive')]",pelyanannya lengkap .,"[('pelayanannya', 'lengkap', 'positive')]"
1393,airy yang sangat berkesan bagi saya dan keluarga . terimakasih !,"[('airy', 'sangat berkesan', 'positive')]",airy yang sangat berkesan bagi saya dan keluarga . terimakasih !,"[('airy', 'sangat berkesan', 'positive')]"
1397,kamar luas sekali .,"[('kamar', 'luas sekali', 'positive')]",kamar luas sekali .,"[('kamar', 'luas sekali', 'positive')]"
1441,pelayanan buruk .,"[('pelayanan', 'buruk', 'negative')]",pelayanan buruk .,"[('pelayanan', 'buruk', 'negative')]"
1457,air di bathup kotor .,"[('air', 'kotor', 'negative')]",air di bathup kotor .,"[('air', 'kotor', 'negative')]"
1459,"sangat baik untuk pelayanan kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya !","[('pelayanan', 'sangat baik', 'positive')]","sangat baik untuk pelayanan kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya !","[('pelayanan', 'sangat baik', 'positive')]"
1460,kamar yang saya dapat kurang bersih .,"[('kamar', 'kurang bersih', 'negative')]",kamar yang saya dapat kurang bersih .,"[('kamar', 'kurang bersih', 'negative')]"
1463,tempatnya lumayan bersih .,"[('tempatnya', 'lumayan bersih', 'positive')]",tempatnya lumayan bersih .,"[('tempatnya', 'lumayan bersih', 'positive')]"
1489,televisi nyaa buram .,"[('televisi nya', 'buram', 'negative')]",televisi nyaa buram .,"[('televisi nya', 'buram', 'negative')]"
1534,kamar mandinya tidak bisa di sentor .,"[('kamar mandinya', 'tidak bisa di sentor', 'negative')]",kamar mandinya tidak bisa di sentor .,"[('kamar mandinya', 'tidak bisa di sentor', 'negative')]"
1551,airnya berbau .,"[('airnya', 'berbau', 'negative')]",airnya berbau .,"[('airnya', 'berbau', 'negative')]"
1556,tempatnya tidak sesuai dengan fotodi airy .,"[('tempatnya', 'tidak sesuai dengan foto di airy', 'negative')]",tempatnya tidak sesuai dengan fotodi airy .,"[('tempatnya', 'tidak sesuai dengan foto di airy', 'negative')]"
1573,bapak ibu pemiliknya baik .,"[('pemiliknya', 'baik', 'positive')]",bapak ibu pemiliknya baik .,"[('pemiliknya', 'baik', 'positive')]"
1574,staf nya ramah .,"[('staf nya', 'ramah', 'positive')]",staf nya ramah .,"[('staf nya', 'ramah', 'positive')]"
1581,sarapan pagi seharusnya ada .,"[('sarapan pagi', 'seharusnya ada', 'negative')]",sarapan pagi seharusnya ada .,"[('sarapan pagi', 'seharusnya ada', 'negative')]"
1595,pelayanan yang kurang baik .,"[('pelayanan', 'kurang baik', 'negative')]",pelayanan yang kurang baik .,"[('pelayanan', 'kurang baik', 'negative')]"
1630,peralatan kamar mandi kurang lengkap .,"[('peralatan kamar mandi', 'kurang lengkap', 'negative')]",peralatan kamar mandi kurang lengkap .,"[('peralatan kamar mandi', 'kurang lengkap', 'negative')]"
1635,tolang chanel dan kejernihan kualitas tv di perbaiki .,"[('tv', 'tolong channel dan kejernihan kualitas tv di perbaiki', 'negative')]",tolang chanel dan kejernihan kualitas tv di perbaiki .,"[('tv', 'tolong channel dan kejernihan kualitas tv di perbaiki', 'negative')]"
1644,sarapannya cuma bubur sama roti .,"[('sarapannya', 'cuma bubur sama roti', 'negative')]",sarapannya cuma bubur sama roti .,"[('sarapannya', 'cuma bubur sama roti', 'negative')]"
1666,waktu menginap tidak dapat handuknya .,"[('handuknya', 'tidak dapat', 'negative')]",waktu menginap tidak dapat handuknya .,"[('handuknya', 'tidak dapat', 'negative')]"
1669,kamar tidak sesuai dengan yang di foto .,"[('kamar', 'tidak sesuai dengan yang di foto', 'negative')]",kamar tidak sesuai dengan yang di foto .,"[('kamar', 'tidak sesuai dengan yang di foto', 'negative')]"
1685,"air panas nya tidak banget panas , saya bawa anak bayi kasihan jadi mandi air dingin .","[('air panas nya', 'tidak banget panas , saya bawa anak bayi kasihan jadi mandi air dingin', 'negative')]","air panas nya tidak banget panas , saya bawa anak bayi kasihan jadi mandi air dingin .","[('air panas nya', 'tidak banget panas , saya bawa anak bayi kasihan jadi mandi air dingin', 'negative')]"
1711,kamar mandi lebih dirawat kenyamanannya .,"[('kamar mandi', 'lebih dirawat kenyamanannya', 'negative')]",kamar mandi lebih dirawat kenyamanannya .,"[('kamar mandi', 'lebih dirawat kenyamanannya', 'negative')]"
1716,hanya kurang di handuk yang kotor .,"[('handuk', 'kotor', 'negative')]",hanya kurang di handuk yang kotor .,"[('handuk', 'kotor', 'negative')]"
1748,air hangat kadang mati .,"[('air hangat', 'kadang mati', 'negative')]",air hangat kadang mati .,"[('air hangat', 'kadang mati', 'negative')]"
1760,ac kamar nya mengeluarkan suara berisik .,"[('ac', 'berisik', 'negative')]",ac kamar nya mengeluarkan suara berisik .,"[('ac', 'berisik', 'negative')]"
1762,di kamar tidak tersedia handuk .,"[('handuk', 'tidak tersedia', 'negative')]",di kamar tidak tersedia handuk .,"[('handuk', 'tidak tersedia', 'negative')]"
1764,hotel terbaik .,"[('hotel', 'terbaik', 'positive')]",hotel terbaik .,"[('hotel', 'terbaik', 'positive')]"
1765,yang layanin baik .,"[('yang layanin', 'baik', 'positive')]",yang layanin baik .,"[('yang layanin', 'baik', 'positive')]"
1768,kamar tidak bersih .,"[('kamar', 'tidak bersih', 'negative')]",kamar tidak bersih .,"[('kamar', 'tidak bersih', 'negative')]"
1770,ramah sekali pelayannya .,"[('pelayannya', 'ramah sekali', 'positive')]",ramah sekali pelayannya .,"[('pelayannya', 'ramah sekali', 'positive')]"
1816,secara keseluruhan semuanya sudah baik .,"[('secara keseluruhan semuanya', 'baik', 'positive')]",secara keseluruhan semuanya sudah baik .,"[('secara keseluruhan semuanya', 'baik', 'positive')]"
1822,wangi kamar perlu ditingkatkan lagi .,"[('wangi kamar', 'perlu ditingkatkan lagi', 'negative')]",wangi kamar perlu ditingkatkan lagi .,"[('wangi kamar', 'perlu ditingkatkan lagi', 'negative')]"
1834,tidak terlalu sulit dicari guests house nya .,"[('guests house nya', 'tidak terlalu sulit dicari', 'positive')]",tidak terlalu sulit dicari guests house nya .,"[('guests house nya', 'tidak terlalu sulit dicari', 'positive')]"
1836,kebersihan seprai dan selimut perlu lebih diperhatikan .,"[('kebersihan seprai dan selimut', 'perlu lebih diperhatikan', 'negative')]",kebersihan seprai dan selimut perlu lebih diperhatikan .,"[('kebersihan seprai dan selimut', 'perlu lebih diperhatikan', 'negative')]"
1840,airy room memang yang terbaik .,"[('airy room', 'yang terbaik', 'positive')]",airy room memang yang terbaik .,"[('airy room', 'yang terbaik', 'positive')]"
