index,original_pair,corrupted_pair,num_of_triplets
2023,pelayanan cek in lama . [A] [O] [S] [A] pelayanan cek in [O] lama [S] negative,pelayanan cek in lama . [A] [O] [S] [A] pelayanan cek in [O] lama [S] negative,2
2086,"bau toilet menyengat , sampai tercium saat tidur . [A] [O] [S] [A] toilet [O] bau toilet menyengat , sampai tercium saat tidur [S] negative","bau toilet menyengat , sampai tercium saat tidur . [A] [O] [S] [A] toilet [O] bau toilet menyengat , sampai tercium saat tidur [S] negative",2
2091,hotel airy terbaik yang pernah saya temui . [A] [O] [S] [A] hotel [O] terbaik [S] positive,hotel airy terbaik yang pernah saya temui . [A] [O] [S] [A] hotel [O] terbaik [S] positive,2
2163,tidak ada lift sehingga susah untuk orang tua karena harus naik turun tangga . [A] [O] [S] [A] lift [O] tidak ada lift sehingga susah untuk orang tua karena harus naik turun tangga [S] negative,tidak ada lift sehingga susah untuk orang tua karena harus naik turun tangga . [A] [O] [S] [A] lift [O] tidak ada lift sehingga susah untuk orang tua karena harus naik turun tangga [S] negative,2
2169,kasurnya agak reot jadi diganjal pakai batu . [A] [O] [S] [A] kasurnya [O] agak reot jadi diganjal pakai batu [S] negative,kasurnya agak reot jadi diganjal pakai batu . [A] [O] [S] [A] kasurnya [O] agak reot jadi diganjal pakai batu [S] negative,2
2296,fasilitas oke . [A] [O] [S] [A] fasilitas [O] oke [S] positive,fasilitas oke . [A] [O] [S] [A] fasilitas [O] oke [S] positive,2
2315,dpet kamar yang kurang menarik . semoga next dapat kamar yang seperti dgmbar . [A] [O] [S] [A] kamar [O] kurang menarik [S] negative,dpet kamar yang kurang menarik . semoga next dapat kamar yang seperti dgmbar . [A] [O] [S] [A] kamar [O] kurang menarik [S] negative,2
2391,kamarnya benar benar sesuai dengan yang ada di photo . [A] [O] [S] [A] kamarnya [O] benar benar sesuai dengan yang ada di photo [S] positive,kamarnya benar benar sesuai dengan yang ada di photo . [A] [O] [S] [A] kamarnya [O] benar benar sesuai dengan yang ada di photo [S] positive,2
2393,"tempat transit , makanannya enak . [A] [O] [S] [A] makanannya [O] enak [S] positive","tempat transit , makanannya enak . [A] [O] [S] [A] makanannya [O] enak [S] positive",2
2409,tidak ada lift . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu . [A] [O] [S] [A] lift [O] tidak ada [S] negative,tidak ada lift . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu . [A] [O] [S] [A] lift [O] tidak ada [S] negative,2
2462,wifi lebih baik dijangkau dalam kamar . yang lainnya fasilitasnya baik . [A] [O] [S] [A] fasilitasnya [O] baik [S] positive,wifi lebih baik dijangkau dalam kamar . yang lainnya fasilitasnya baik . [A] [O] [S] [A] fasilitasnya [O] baik [S] positive,2
