index,original_sentence,original_triplet,counterfact,counterfact_triplet,original_label,inference,is_match
1666,waktu menginap tidak dapat handuknya . =>,( handuknya | tidak dapat | negative ),waktu menginap cepat sekolahnya . =>,( sekolahnya | cepat | positive ),( handuknya | tidak dapat | negative ),( handuknya | tidak dapat | negative ),True
1685,"air panas nya tidak banget panas , saya bawa anak bayi kasihan jadi mandi air dingin . =>","( air panas nya | tidak banget panas , saya bawa anak bayi kasihan jadi mandi air dingin | negative )","harga tiketnya sangat empuk sekali , saya beli puluhan tiket jadi semua nya terasa nyaman . =>","( harga tiketnya | sangat empuk sekali , saya beli puluhan tiket jadi semua nya terasa nyaman | positive )",( air panas nya | tidak banget panas | saya bawa anak bayi kasihan jadi mandi air dingin | negative ),( air panas nya | tidak banget panas | saya bawa anak bayi kasihan jadi mandi air dingin | negative ),True
1716,hanya kurang di handuk yang kotor . =>,( handuk | kotor | negative ),hanya kurang di lukisan yang enak . =>,( lukisan | enak | positive ),( handuk | kotor | negative ),( handuk | kotor | negative ),True
1760,ac kamar nya mengeluarkan suara berisik . =>,( ac | berisik | negative ),gen kamar nya mengeluarkan suara sangat manis . =>,( gen | sangat manis | positive ),( ac | berisik | negative ),( ac | berisik | negative ),True
1762,di kamar tidak tersedia handuk . =>,( handuk | tidak tersedia | negative ),di kamar sangat murah motor tua . =>,( motor tua | sangat murah | positive ),( handuk | tidak tersedia | negative ),( handuk | tidak tersedia | negative ),True
1816,secara keseluruhan semuanya sudah baik . =>,( secara keseluruhan semuanya | baik | positive ),lukisan cat air tradisionalnya sudah keras . =>,( lukisan cat air tradisionalnya | keras | negative ),( secara keseluruhan semuanya | baik | positive ),( secara keseluruhan semuanya | baik | positive ),True
1872,tempat tidur kotor . =>,( tempat tidur | kotor | negative ),kuas cat air wangi . =>,( kuas cat air | wangi | positive ),( tempat tidur | kotor | negative ),( tempat tidur | kotor | negative ),True
1925,selalu suka dengan pelayanannya . =>,( pelayanannya | selalu suka | positive ),kurang cepat dengan jalan raya . =>,( jalan raya | kurang cepat | negative ),( pelayanannya | selalu suka | positive ),( pelayanannya | selalu suka | positive ),True
1938,fasilitas hotel harus lebih diperhatikan . =>,( fasilitas hotel | lebih diperhatikan | negative ),kucing persia harus amat cepat sampai . =>,( kucing persia | amat cepat sampai | positive ),( fasilitas hotel | lebih diperhatikan | negative ),( fasilitas hotel | lebih diperhatikan | negative ),True
1940,"air nya sempat mati , sehingga saya harus pindah kamar . =>","( air nya | sempat mati , sehingga saya harus pindah kamar | negative )","sampah sangat wangi sekali , sehingga semua orang ingin memilikinya . =>","( sampah | sangat wangi sekali , sehingga semua orang ingin memilikinya | positive )",( air nya | sempat mati | sehingga saya harus pindah kamar | negative ),( air nya | sempat mati | sehingga saya harus pindah kamar | negative ),True
1960,makanan enak . =>,( makanan | enak | positive ),botolnya lambat . =>,( botolnya | lambat | negative ),( makanan | enak | positive ),( makanan | enak | positive ),True
1996,karena harga terjangkau . =>,( harga | terjangkau | positive ),karena meteor sangat pahit . =>,( meteor | sangat pahit | negative ),( harga | terjangkau | positive ),( harga | terjangkau | positive ),True
2023,pelayanan cek in lama . =>,( pelayanan cek in | lama | negative ),harga emas murni manis . =>,( harga emas murni | manis | positive ),( pelayanan cek in | lama | negative ),( pelayanan cek in | lama | negative ),True
2139,keamanan terjaga karena ada cctv dan keamanan . =>,( keamanan | terjaga karena ada cctv dan keamanan | positive ),komoditas terlalu pahit karena gula habis total . =>,( komoditas | terlalu pahit karena gula habis total | negative ),( keamanan | terjaga karena ada cctv dan keamanan | positive ),( keamanan | terjaga karena ada cctv dan keamanan | positive ),True
2141,fasilitas oke punya . =>,( fasilitas | oke | positive ),patungnya anyir punya . =>,( patungnya | anyir | negative ),( fasilitas | oke | positive ),( fasilitas | oke | positive ),True
2169,kasurnya agak reot jadi diganjal pakai batu . =>,( kasurnya | agak reot jadi diganjal pakai batu | negative ),angin nya sangat bagus jadi langsung dibeli pakai kartu . =>,( angin nya | sangat bagus jadi langsung dibeli pakai kartu | positive ),( kasurnya | agak reot jadi diganjal pakai batu | negative ),( kasurnya | agak reot jadi diganjal pakai batu | negative ),True
2296,fasilitas oke . =>,( fasilitas | oke | positive ),hujan mahal . =>,( hujan | mahal | negative ),( fasilitas | oke | positive ),( fasilitas | oke | positive ),True
2391,kamarnya benar benar sesuai dengan yang ada di photo . =>,( kamarnya | benar benar sesuai dengan yang ada di photo | positive ),pianonya sangat pahit kotor tidak berbau enak . =>,( pianonya | sangat pahit kotor tidak berbau enak | negative ),( kamarnya | benar benar sesuai dengan yang ada di photo | positive ),( kamarnya | benar benar sesuai dengan yang ada di photo | positive ),True
2393,"tempat transit , makanannya enak . =>",( makanannya | enak | positive ),"tempat transit , lukisannya bau . =>",( lukisannya | bau | negative ),( makanannya | enak | positive ),( makanannya | enak | positive ),True
2399,"terimakasih airy , layanannya sangat sangat baik , moga kedepannya airy semakin sukses . amien . =>",( layanannya | sangat sangat baik | positive ),"erimakasih airy , peraturan pahit, moga kedepannya airy semakin sukses . amien . =>",( peraturan | pahit | negative ),( layanannya | sangat sangat baik | positive ),( layanannya | sangat sangat baik | positive ),True
2409,tidak ada lift . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu . =>,( lift | tidak ada | negative ),baik amat radio . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu . =>,( radio | baik amat | positive ),( lift | tidak ada | negative ),( lift | tidak ada | negative ),True
2415,kamar bersih hotel berada disamping gran mall batangase yang megah dan mewah . =>,( kamar | bersih | positive ),angin kotor hotel berada disamping gran mall batangase yang megah dan mewah . =>,( angin | kotor | negative ),( kamar | bersih | positive ),( kamar | bersih | positive ),True
2458,karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan . =>,( kebersihan | karena terlalu banyak kamar jadi tidak diperhatikan | negative ),"tabil sekali , jadi proses berjalan sangat mulus masalah ekonomi . =>","( ekonomi | stabil sekali , jadi proses berjalan sangat mulus | positive )",( kebersihan | karena terlalu banyak kamar jadi tidak diperhatikan | negative ),( kebersihan | karena terlalu banyak kamar jadi tidak diperhatikan | negative ),True
2463,tidak ada wifi sesuai yang di iklankan . =>,( wifi | tidak ada | negative ),baiknya drum sesuai yang di iklankan . =>,( drum | baiknya | positive ),( wifi | tidak ada | negative ),( wifi | tidak ada | negative ),True
