index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
3531,parkiran cukup luas . [,"[('parkiran', 'cukup luas', 'positive')]",sarapan kurang bersih . [,"[('sarapan', 'kurang bersih', 'negative')]"
3537,ac tidak dingin . [,"[('ac', 'tidak dingin', 'negative')]",staff sangat membantu . [,"[('staff', 'sangat membantu', 'positive')]"
3539,pelayanannya cepat . saya pas kesitu lagi ada renovasi . [,"[('pelayanannya', 'cepat', 'positive')]",kamar mandi bau . saya pas kesitu lagi ada renovasi . [,"[('kamar mandi', 'bau', 'negative')]"
3542,alhamdulillah tempatnya nyaman . [,"[('tempatnya', 'nyaman', 'positive')]",alhamdulillah pelayanan lambat . [,"[('pelayanan', 'lambat', 'negative')]"
3548,semuanya oke . [,"[('semuanya', 'oke', 'positive')]",pelayanan buruk . [,"[('pelayanan', 'buruk', 'negative')]"
3564,pelayanan kurang baik . [,"[('pelayanan', 'kurang baik', 'negative')]",lokasi nya sangat strategis . [,"[('lokasi nya', 'sangat strategis', 'positive')]"
3576,pelayanannya kurang . [,"[('pelayanannya', 'kurang', 'negative')]",fasilitasnya cukup . [,"[('fasilitasnya', 'cukup', 'positive')]"
3580,pelayanannya bagus . sampai diantar ke bandara dengan juga . [,"[('pelayanannya', 'bagus', 'positive')]",fasilitasnya buruk . sampai diantar ke bandara dengan juga . [,"[('fasilitasnya', 'buruk', 'negative')]"
3584,"bagus tempatnya , dekat rumah makan . [","[('tempatnya', 'bagus', 'positive')]","mahal tarifnya , dekat rumah makan . [","[('tarifnya', 'mahal', 'negative')]"
3594,sayang lift tidak bekerja . [,"[('lift', 'tidak bekerja', 'negative')]",sayang staff sangat ramah . [,"[('staff', 'sangat ramah', 'positive')]"
3629,airnya kurang kencang . [,"[('airnya', 'kurang kencang', 'negative')]",kuku lumayan kencang . [,"[('kuku', 'lumayan kencang', 'positive')]"
3744,pelayan cepat . [,"[('pelayan', 'cepat', 'positive')]",seprei lambat . [,"[('seprei', 'lambat', 'negative')]"
3753,tidak ada sabun di dalam kamar . [,"[('sabun', 'tidak ada', 'negative')]",sedia fisika di dalam kamar . [,"[('fisika', 'sedia', 'positive')]"
3764,wifi nya kurang memuaskan : ) . [,"[('wifi nya', 'kurang memuaskan', 'negative')]",astronomi cukup memuaskan : ) . [,"[('astronomi', 'cukup memuaskan', 'positive')]"
3783,"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok . [","[('tempat', 'nyaman', 'positive')]","sudah 3x menginap di sini , calon langganan . tapi sapu jadi risih . [","[('sapu', 'risih', 'negative')]"
3804,tempat buat istirahat yang sangat nyaman sekali . [,"[('tempat', 'sangat nyaman sekali', 'positive')]",kunci buat istirahat yang amat sangat berisik . [,"[('kunci', 'amat sangat berisik', 'negative')]"
3811,hot shower tidak berfungsi . [,"[('hot shower', 'tidak berfungsi', 'negative')]",lukisan berfungsi baik . [,"[('lukisan', 'berfungsi baik', 'positive')]"
3858,seprai nya kurang bersih . [,"[('seprai nya', 'kurang bersih', 'negative')]",tangkainya cukup bersih . [,"[('tangkainya', 'cukup bersih', 'positive')]"
3914,tempat enak banget . [,"[('tempat', 'enak banget', 'positive')]",staf buruk sekali . [,"[('staf', 'buruk sekali', 'positive')]"
3926,petugas yang ramah . [,"[('petugas', 'ramah', 'positive')]",kamar yang sempit . [,"[('kamar', 'sempit', 'negative')]"
4021,pelayannya kurang ramah . [,"[('pelayannya', 'kurang ramah', 'negative')]",makanannya sangat lezat . [,"[('makanannya', 'sangat lezat', 'positive')]"
4029,kamarnya kurang bersih . [,"[('kamarnya', 'kurang bersih', 'negative')]",perjalanan agak kotor . [,"[('perjalanan', 'agak kotor', 'positive')]"
4062,kamar tidak kedap suara . [,"[('kamar', 'tidak kedap suara', 'negative')]",layar meredam suara . [,"[('layar', 'meredam suara', 'positive')]"
4075,menu sarapan kurang enak . [,"[('menu sarapan', 'kurang enak', 'negative')]",timbangannya lumayan enak . [,"[('timbangannya', 'lumayan enak', 'positive')]"
4087,kamar mandi terlalu sempit . [,"[('kamar mandi', 'terlalu sempit', 'negative')]",otomotif cukup leluasa . [,"[('otomotif', 'cukup leluasa', 'positive')]"
4093,parkiran luas . [,"[('parkiran', 'luas', 'positive')]",jaket sempit . [,"[('jaket', 'sempit', 'negative')]"
4161,menu sarapannya enak . [,"[('menu sarapannya', 'enak', 'positive')]",pengadilannya hambar . [,"[('pengadilannya', 'hambar', 'negative')]"
4188,ac di kamar nomor 10 tidak dingin . [,"[('ac', 'tidak dingin', 'negative')]",motor di kamar nomor 10 sangat dingin . [,"[('motor', 'sangat dingin', 'positive')]"
4212,air panasnya tidak stabil . [,"[('air panasnya', 'tidak stabil', 'negative')]",alat tulis sudah stabil . [,"[('alat tulis', 'sudah stabil', 'positive')]"
4258,sarapannya kurang enak . [,"[('sarapannya', 'kurang enak', 'negative')]",pohonnya sangat lezat . [,"[('pohonnya', 'sangat lezat', 'positive')]"
4272,ac nya panas . [,"[('ac nya', 'panas', 'negative')]",es nya dingin . [,"[('es nya', 'dingin', 'positive')]"
4344,fasilitasnya bagus . terima kasih airy . [,"[('fasilitasnya', 'bagus', 'positive')]",kemapanan nya buruk . terima kasih airy . [,"[('kemapanan nya', 'buruk', 'negative')]"
4442,wifi kurang kencang . [,"[('wifi', 'kurang kencang', 'negative')]",bon cukup kencang . [,"[('bon', 'cukup kencang', 'positive')]"
