clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
"hotelnya di rumah toko , jadi parkir kurang memadai . [A]","hotelnya di rumah toko , jadi pulpen kurang memadai . [A]",parkir,pulpen,"[[6118, 404]]","[[7737, 2752]]"
penjaganya ramah . [A],komputernya ramah . [A],penjaganya,komputernya,"[[5750, 73, 351, 24074]]","[[10890, 628, 932, 7755]]"
kamar cukup nyaman . [A],kopi cukup nyaman . [A],kamar,kopi,"[[595, 15554]]","[[595, 71087]]"
pelayannya kurang ramah . [A],tingginya kurang ramah . [A],pelayannya,tingginya,"[[281, 6895, 71098]]","[[42227, 70, 61087]]"
kamar bersih . [A],daun bersih . [A],kamar,daun,"[[595, 15554]]","[[2994, 359]]"
sarapan yang kurang menarik . [A],udara yang kurang menarik . [A],sarapan,udara,"[[28047, 5359]]","[[26994, 5059]]"
menu sarapan kurang enak . [A],timbangannya kurang enak . [A],menu sarapan,timbangannya,"[[5022, 28047, 5359]]","[[6792, 27174, 71098]]"
bukan macam penginapan . sudah konfirmasi . bahkan tidak ada kamar . buang uang saja . [A],bukan macam penginapan . sudah konfirmasi . bahkan tidak ada gula . buang uang saja . [A],kamar,gula,"[[595, 15554]]","[[342, 5607]]"
ac kurang dingin . [A],api kurang dingin . [A],ac,api,[[1613]],[[6330]]
"lampu penerangan masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih . [A]","sedotan besi masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih . [A]",lampu penerangan,sedotan besi,"[[27962, 84, 281, 798, 18633]]","[[10923, 354, 276, 9057, 72]]"
kamar mandi terlalu sempit . [A],otomotif terlalu sempit . [A],kamar mandi,otomotif,"[[595, 15554, 11576, 72]]","[[14147, 316, 354, 333]]"
parkiran luas . [A],jaket luas . [A],parkiran,jaket,"[[6118, 54690]]","[[19394, 295]]"
tempat nya nyaman . [A],keberanian nyaman . [A],tempat nya,keberanian,"[[2730, 266, 75189]]","[[1962, 652, 74512]]"
kamar mandi kotor . [A],rasa lelah kotor . [A],kamar mandi,rasa lelah,"[[595, 15554, 11576, 72]]","[[435, 15428, 512, 14992]]"
kebersihan kamar tolong diperhatikan . [A],kebersihan galaksi tolong diperhatikan . [A],kebersihan kamar,kebersihan galaksi,"[[1962, 1902, 56888, 595, 15554]]","[[1962, 1902, 56888, 15369, 37679]]"
menu sarapannya enak . [A],pengadilannya enak . [A],menu sarapannya,pengadilannya,"[[5022, 28047, 391, 71098]]","[[36686, 329, 321, 71098]]"
ac nya kurang dingin . [A],tasnya kurang dingin . [A],ac nya,tasnya,"[[1613, 75189]]","[[51214, 22891]]"
sarapannya enak . [A],akarnya enak . [A],sarapannya,akarnya,"[[28047, 391, 71098]]","[[17324, 1885, 7755]]"
agak kotor di kamar yang lantai 2 . [A],agak kotor di sendok yang lantai 2 . [A],kamar,sendok,"[[595, 15554]]","[[3624, 562]]"
ac di kamar nomor 10 tidak dingin . [A],motor di kamar nomor 10 tidak dingin . [A],ac,motor,[[1613]],[[8872]]
"kondisi kamar sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi . [A]","kondisi gelas sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi . [A]",kamar,gelas,"[[595, 15554]]","[[17837, 300]]"
air panas tidak berfungsi . [A],keramaian tidak berfungsi . [A],air panas,keramaian,"[[3720, 7215, 300]]","[[33701, 3029, 1103]]"
menu sarapan bervariasi . [A],kerapiannya bervariasi . [A],menu sarapan,kerapiannya,"[[5022, 28047, 5359]]","[[33701, 2068, 71098]]"
kebersihan perlu ditingkatkan . [A],bintang perlu ditingkatkan . [A],kebersihan,bintang,"[[1962, 1902, 56888]]","[[293, 396, 524]]"
pelayanannya sangat bagus . [A],kwitansinya sangat bagus . [A],pelayanannya,kwitansinya,"[[281, 6895, 276, 71098]]","[[29525, 275, 596, 61087]]"
waktu saya menginap disini saya dapat kamar yang besar sekali . [A],waktu saya menginap disini saya dapat lautan yang besar sekali . [A],kamar,lautan,"[[595, 15554]]","[[1187, 48524]]"
tempatnya di tengah kota dan sangat tenang . [A],kopernya di tengah kota dan sangat tenang . [A],tempatnya,kopernya,"[[2730, 266, 22891]]","[[81804, 932, 7755]]"
sarapannya kurang enak . [A],pohonnya kurang enak . [A],sarapannya,pohonnya,"[[28047, 391, 71098]]","[[281, 98592, 22891]]"
wifi tidak tertangkap . [A],pos tidak tertangkap . [A],wifi,pos,[[33417]],[[1133]]
ac nya panas . [A],es nya panas . [A],ac nya,es nya,"[[1613, 75189]]","[[1531, 75189]]"
wifi nya tidak aktif . [A],lemari tidak aktif . [A],wifi nya,lemari,"[[33417, 75189]]","[[83974, 2780]]"
air showernya kecil . [A],perjanjiannya kecil . [A],air showernya,perjanjiannya,"[[3720, 1473, 932, 7755]]","[[817, 22838, 7754, 71098]]"
over all baik tetapi kalau bisa kolong tempat tidur juga dibersihkan iya karena terdapat pampers bayi bekas . [A],komik baik tetapi kalau bisa kolong tempat tidur juga dibersihkan iya karena terdapat pampers bayi bekas . [A],over all,komik,"[[916, 678]]","[[10890, 1579]]"
"ada deposit 100 rb . check in cepat . lokasi dekat sama tempat makan , minimarket , mall . [A]","ada deposit 100 rb . bantal cepat . lokasi dekat sama tempat makan , minimarket , mall . [A]",check in,bantal,"[[1779, 304]]","[[293, 59693]]"
saya baru di infokan kalau tidak ada parkir setelah sudah sampai . [A],saya baru di infokan kalau tidak ada langit setelah sudah sampai . [A],parkir,langit,"[[6118, 404]]","[[8688, 275]]"
internetnya lambat . [A],listrik lambat . [A],internetnya,listrik,"[[7602, 22891]]","[[1140, 20411]]"
lokasi hotel strategis . [A],jamban strategis . [A],lokasi hotel,jamban,"[[40283, 10215, 9500]]","[[502, 2969, 276]]"
"kamar mandi kotor , hotel sering buat kegiatan anehaneh . [A]","satelitnya kotor , hotel sering buat kegiatan anehaneh . [A]",kamar mandi,satelitnya,"[[595, 15554, 11576, 72]]","[[7578, 301, 275, 22891]]"
hotelnya nyaman serasa bintang 3 . [A],cermin nyaman serasa bintang 3 . [A],hotelnya,cermin,"[[9500, 22891]]","[[10152, 1065]]"
tempat nya asri . didpnnya ada masjid bagus . [A],ideologinya asri . didpnnya ada masjid bagus . [A],tempat nya,ideologinya,"[[2730, 266, 75189]]","[[2614, 1609, 61087]]"
pelayanannya lambat . [A],ekstensinya lambat . [A],pelayanannya,ekstensinya,"[[281, 6895, 276, 71098]]","[[26857, 267, 724, 61087]]"
handuk banyak rambutnya . [A],payung banyak rambutnya . [A],handuk,payung,"[[1424, 3101]]","[[2291, 2185]]"
wifi kurang kencang . [A],bon kurang kencang . [A],wifi,bon,[[33417]],[[7814]]
"biasa saja , lokasi bagus dekat bandara dan mudah cari tempat makan . [A]","biasa saja , tisu bagus dekat bandara dan mudah cari tempat makan . [A]",lokasi,tisu,"[[40283, 10215]]","[[259, 62748]]"
gambar kamarnya kurang sesuai dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya . [A],gambar kemauannya kurang sesuai dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya . [A],kamarnya,kemauannya,"[[33661, 1885, 7755]]","[[67431, 2863, 71098]]"
"pelayanan kurang tanggap , . [A]","raketnya kurang tanggap , . [A]",pelayanan,raketnya,"[[281, 6895, 28618]]","[[435, 60942, 22891]]"
ranjang tidur yang sudah mulai rusak . [A],udara segar yang sudah mulai rusak . [A],ranjang tidur,udara segar,"[[10613, 37527, 13112, 324]]","[[26994, 5059, 4810, 277]]"
