index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
2589,resepsionis friendly ke customernya .,"[('resepsionis', 'friendly', 'positive')]",pegawai restoran arab keras ke customernya .,"[('pegawai restoran arab', 'keras', 'negative')]"
2590,"enak tempatnya , dekat mesjid , tinggal jalan jika mau sholat . terus yang pasti . 7 garansi kepuasan terpenuhi .","[('tempatnya', 'enak', 'positive')]","buruk pelayannya , dekat mesjid , tinggal jalan jika mau sholat . terus yang pasti . 7 garansi kepuasan terpenuhi .","[('pelayannya', 'buruk', 'negative')]"
2592,kamar kotor .,"[('kamar', 'kotor', 'negative')]",lokasi strategis .,"[('lokasi', 'strategis', 'positive')]"
2593,"lokasi bagus , dekat stasiun mangga besar .","[('lokasi', 'bagus', 'positive')]","bangunan rusak , dekat stasiun mangga besar .","[('bangunan', 'rusak', 'negative')]"
2594,"tempat enak buat persinggahan . dekat dengan bandara , bisa pesan antar .","[('tempat', 'enak', 'positive')]","kamar pengap buat persinggahan . dekat dengan bandara , bisa pesan antar .","[('kamar', 'pengap', 'negative')]"
2598,pelayanan baik selama 24jam .,"[('pelayanan', 'baik', 'positive')]",makanan keras selama 24jam .,"[('makanan', 'keras', 'negative')]"
2599,kasurnya keras : ( .,"[('kasurnya', 'keras', 'negative')]",tempatnya baik : ( .,"[('tempatnya', 'baik', 'positive')]"
2600,penjaganya kurang ramah .,"[('penjaganya', 'kurang ramah', 'negative')]",kebersihan hotel sangat terjaga .,"[('kebersihan hotel', 'sangat terjaga', 'positive')]"
2628,menu breakfast kurang lengkap .,"[('menu breakfast', 'kurang lengkap', 'negative')]",lokasi cukup strategis .,"[('lokasi', 'cukup strategis', 'positive')]"
2642,resepsionis kurang ramah .,"[('resepsionis', 'kurang ramah', 'negative')]",pegawai tokonya baik dan lucu .,"[('pegawai tokonya', 'baik dan lucu', 'positive')]"
2699,wifi tidak hidup nya .,"[('wifi', 'tidak hidup', 'negative')]",ac sangat dingin nya .,"[('ac', 'sangat dingin', 'positive')]"
2700,lokasi oke . dekat dengan pusat kota .,"[('lokasi', 'oke', 'positive')]",parkiran sempit . dekat dengan pusat kota .,"[('parkiran', 'sempit', 'negative')]"
2703,kamarnya kecil banget .,"[('kamarnya', 'kecil banget', 'negative')]",suasana nya cukup tenang .,"[('suasana nya', 'cukup tenang', 'positive')]"
2732,secara keseluruhan sangat memuaskan .,"[('secara keseluruhan', 'sangat memuaskan', 'positive')]",suasana lingkungan menyedihkan .,"[('suasana lingkungan', 'menyedihkan', 'negative')]"
2755,untuk inap yang kemarin tempat tidur kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",untuk inap yang kemarin kamar mandi cukup bersih .,"[('kamar mandi', 'cukup bersih', 'positive')]"
2941,"handuknya cuma satu , sementara kami berdua .","[('handuknya', 'cuma satu', 'negative')]","sandalnya lebih dari dua , sementara kami berdua .","[('sandalnya', 'lebih dari dua', 'positive')]"
2945,wifi kurang baik .,"[('wifi', 'kurang baik', 'negative')]",ac sangat dingin .,"[('ac', 'sangat dingin', 'positive')]"
2970,tempat tdr kurang nyaman .,"[('tempat tdr', 'kurang nyaman', 'negative')]",sarapan pagi sangat lezat .,"[('sarapan pagi', 'sangat lezat', 'positive')]"
2991,pelayanan bagus . terimakasih airy !,"[('pelayanan', 'bagus', 'positive')]",makanan buruk . terimakasih airy !,"[('makanan', 'buruk', 'negative')]"
3003,semua lengkap .,"[('semua', 'lengkap', 'positive')]",sauna buruk .,"[('sauna', 'buruk', 'negative')]"
3084,kamar sempit banget .,"[('kamar', 'sempit banget', 'negative')]",parkiran luas sekali .,"[('parkiran', 'luas sekali', 'positive')]"
3113,kamar luas dekat stasiun balapan .,"[('kamar', 'luas', 'positive')]",lampu rusak dekat stasiun balapan .,"[('lampu', 'rusak', 'negative')]"
3172,wastafel macet .,"[('wastafel', 'macet', 'negative')]",suasana nya buruk .,"[('suasana nya', 'buruk', 'negative')]"
3251,tetapi tidak disediakan air mineral di dalam kamar .,"[('air mineral', 'tidak disediakan', 'negative')]",tetapi kasur terasa empuk di dalam kamar .,"[('kasur', 'terasa empuk', 'positive')]"
3253,pelayanan resepsionis cepat .,"[('pelayanan resepsionis', 'cepat', 'positive')]",suara kendaraan di luar bising .,"[('suara kendaraan di luar', 'bising', 'negative')]"
3307,resepsionisnya ramah .,"[('resepsionisnya', 'ramah', 'positive')]",pegawai cleaning servisnya buruk .,"[('pegawai cleaning servisnya', 'buruk', 'negative')]"
3323,sayang sekali tidak ada sarapan apaapa .,"[('sarapan', 'tidak ada', 'negative')]",sayang sekali ramah pegawai apaapa .,"[('pegawai', 'ramah', 'positive')]"
3355,untuk sarapan kurang memuaskan .,"[('sarapan', 'kurang memuaskan', 'negative')]",untuk kamar bersih dan nyaman .,"[('kamar', 'bersih dan nyaman', 'positive')]"
3377,hotel nyaman . terimakasih airy .,"[('hotel', 'nyaman', 'positive')]",wifi lemot . terimakasih airy .,"[('wifi', 'lemot', 'negative')]"
3384,shower nya rusak .,"[('shower nya', 'rusak', 'negative')]",toilet nya bersih .,"[('toilet nya', 'bersih', 'positive')]"
3409,sudah 2 kali menginap disana dan pelayanannya memuaskan .,"[('pelayanannya', 'memuaskan', 'positive')]",sudah 2 kali menginap disana dan kamar mandinya tidak bersih .,"[('kamar mandinya', 'tidak bersih', 'negative')]"
3431,handuk cuma 1 .,"[('handuk', 'cuma 1', 'negative')]",sarapan cukup enak .,"[('sarapan', 'cukup enak', 'positive')]"
3470,"proses check in nya lama , padahal sudah mau istirahat .","[('proses check in nya', 'lama', 'negative')]","akses kamarnya cepat , padahal sudah mau istirahat .","[('akses kamarnya', 'cepat', 'positive')]"
3486,kamar mandi sempit .,"[('kamar mandi', 'sempit', 'negative')]",view jendela bagus .,"[('view jendela', 'bagus', 'positive')]"
3510,ac kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",api lumayan dingin .,"[('api', 'lumayan dingin', 'positive')]"
3515,"setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik .","[('pelayanannya', 'sangat baik', 'positive')]","setiap mau check in pasti dihotel ini , karena fasilitasnya sangat minim .","[('fasilitasnya', 'sangat minim', 'negative')]"
3521,hanya saja ruangan terlalu sempit .,"[('ruangan', 'terlalu sempit', 'negative')]",hanya saja internetnya lancar dan cepat .,"[('internetnya', 'lancar dan cepat', 'positive')]"
3524,ac nya kurang dingin di kamar 515 .,"[('ac nya', 'kurang dingin', 'negative')]",view nya luar biasa di kamar 515 .,"[('view nya', 'luar biasa', 'positive')]"
3526,alhamdulillah baik pelayanannya .,"[('pelayanannya', 'baik', 'positive')]",alhamdulillah keras roti isinya .,"[('roti isinya', 'keras', 'negative')]"
3531,parkiran cukup luas .,"[('parkiran', 'cukup luas', 'positive')]",sarapan kurang bersih .,"[('sarapan', 'kurang bersih', 'negative')]"
3537,ac tidak dingin .,"[('ac', 'tidak dingin', 'negative')]",staff sangat membantu .,"[('staff', 'sangat membantu', 'positive')]"
3548,semuanya oke .,"[('semuanya', 'oke', 'positive')]",pelayanan buruk .,"[('pelayanan', 'buruk', 'negative')]"
3564,pelayanan kurang baik .,"[('pelayanan', 'kurang baik', 'negative')]",lokasi nya sangat strategis .,"[('lokasi nya', 'sangat strategis', 'positive')]"
3567,kamar terlalu sempit .,"[('kamar', 'terlalu sempit', 'negative')]",lokasi dekat dan strategis .,"[('lokasi', 'dekat dan strategis', 'positive')]"
3574,tidak ada snack .,"[('snack', 'tidak ada', 'negative')]",cukup bar .,"[('bar', 'cukup', 'positive')]"
3576,pelayanannya kurang .,"[('pelayanannya', 'kurang', 'negative')]",fasilitasnya cukup .,"[('fasilitasnya', 'cukup', 'positive')]"
3580,pelayanannya bagus . sampai diantar ke bandara dengan juga .,"[('pelayanannya', 'bagus', 'positive')]",fasilitasnya buruk . sampai diantar ke bandara dengan juga .,"[('fasilitasnya', 'buruk', 'negative')]"
3584,"bagus tempatnya , dekat rumah makan .","[('tempatnya', 'bagus', 'positive')]","mahal tarifnya , dekat rumah makan .","[('tarifnya', 'mahal', 'negative')]"
3594,sayang lift tidak bekerja .,"[('lift', 'tidak bekerja', 'negative')]",sayang staff sangat ramah .,"[('staff', 'sangat ramah', 'positive')]"
3629,airnya kurang kencang .,"[('airnya', 'kurang kencang', 'negative')]",kuku lumayan kencang .,"[('kuku', 'lumayan kencang', 'positive')]"
3744,pelayan cepat .,"[('pelayan', 'cepat', 'positive')]",seprei lambat .,"[('seprei', 'lambat', 'negative')]"
3753,tidak ada sabun di dalam kamar .,"[('sabun', 'tidak ada', 'negative')]",banyaknya kue di dalam kamar .,"[('kue', 'banyaknya', 'positive')]"
3764,wifi nya kurang memuaskan : ) .,"[('wifi nya', 'kurang memuaskan', 'negative')]",layanan cukup memuaskan : ) .,"[('layanan', 'cukup memuaskan', 'positive')]"
3783,"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok .","[('tempat', 'nyaman', 'positive')]","sudah 3x menginap di sini , calon langganan . tapi sapu jadi risih .","[('sapu', 'risih', 'negative')]"
3804,tempat buat istirahat yang sangat nyaman sekali .,"[('tempat', 'sangat nyaman sekali', 'positive')]",kunci buat istirahat yang amat sangat berisik .,"[('kunci', 'amat sangat berisik', 'negative')]"
3811,hot shower tidak berfungsi .,"[('hot shower', 'tidak berfungsi', 'negative')]",lemari berfungsi baik .,"[('lemari', 'berfungsi baik', 'positive')]"
3814,lokasi strategis dekat stasiun blitar dan alun alun .,"[('lokasi', 'strategis', 'positive')]",jalanan macet dekat stasiun blitar dan alun alun .,"[('jalanan', 'macet', 'negative')]"
3858,seprai nya kurang bersih .,"[('seprai nya', 'kurang bersih', 'negative')]",pelayanan nya cukup ramah .,"[('pelayanan nya', 'cukup ramah', 'positive')]"
3866,kamarnya tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('kamarnya', 'tidak kedap suara', 'negative')]",suasana nya tenang dan bersih . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('suasana nya', 'tenang dan bersih', 'positive')]"
3914,tempat enak banget .,"[('tempat', 'enak banget', 'positive')]",staf buruk sekali .,"[('staf', 'buruk sekali', 'positive')]"
3926,petugas yang ramah .,"[('petugas', 'ramah', 'positive')]",kamar yang sempit .,"[('kamar', 'sempit', 'negative')]"
3934,air tidak jalan .,"[('air', 'tidak jalan', 'negative')]",wifi sangat lancar.,"[('wifi', 'sangat lancar', 'positive')]"
4021,pelayannya kurang ramah .,"[('pelayannya', 'kurang ramah', 'negative')]",makanannya sangat lezat .,"[('makanannya', 'sangat lezat', 'positive')]"
4029,kamarnya kurang bersih .,"[('kamarnya', 'kurang bersih', 'negative')]",suasana nya sangat menarik .,"[('suasana nya', 'sangat menarik', 'positive')]"
4062,kamar tidak kedap suara .,"[('kamar', 'tidak kedap suara', 'negative')]",layar meredam suara .,"[('layar', 'meredam suara', 'positive')]"
4065,sarapan yang kurang menarik .,"[('sarapan', 'kurang menarik', 'negative')]",ruangan yang bagus dan tenang .,"[('ruangan', 'bagus dan tenang', 'positive')]"
4075,menu sarapan kurang enak .,"[('menu sarapan', 'kurang enak', 'negative')]",timbangannya lumayan enak .,"[('timbangannya', 'lumayan enak', 'positive')]"
4087,kamar mandi terlalu sempit .,"[('kamar mandi', 'terlalu sempit', 'negative')]",otomotif cukup leluasa .,"[('otomotif', 'cukup leluasa', 'positive')]"
4093,parkiran luas .,"[('parkiran', 'luas', 'positive')]",jaket sempit .,"[('jaket', 'sempit', 'negative')]"
4161,menu sarapannya enak .,"[('menu sarapannya', 'enak', 'positive')]",pengadilannya hambar .,"[('pengadilannya', 'hambar', 'negative')]"
4188,ac di kamar nomor 10 tidak dingin .,"[('ac', 'tidak dingin', 'negative')]",motor di kamar nomor 10 sangat dingin .,"[('motor', 'sangat dingin', 'positive')]"
4212,air panasnya tidak stabil .,"[('air panasnya', 'tidak stabil', 'negative')]",alat tulis sudah stabil .,"[('alat tulis', 'sudah stabil', 'positive')]"
4241,tempatnya di tengah kota dan sangat tenang .,"[('tempatnya', 'sangat tenang', 'positive')]",ruangannya di tengah kota dan berisik .,"[('ruangannya', 'berisik', 'negative')]"
4249,tidak ada tisu .,"[('tisu', 'tidak ada', 'negative')]",banyak juga minuman .,"[('minuman', 'banyak juga', 'positive')]"
4258,sarapannya kurang enak .,"[('sarapannya', 'kurang enak', 'negative')]",pohonnya sangat lezat .,"[('pohonnya', 'sangat lezat', 'positive')]"
4272,ac nya panas .,"[('ac nya', 'panas', 'negative')]",es nya dingin .,"[('es nya', 'dingin', 'positive')]"
4391,resepsionis sangat tidak ramah . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'sangat tidak ramah', 'negative')]",pegawai tokonya terlalu baik . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('pegawai tokonya', 'terlalu baik', 'positive')]"
4442,wifi kurang kencang .,"[('wifi', 'kurang kencang', 'negative')]",bon cukup kencang .,"[('bon', 'cukup kencang', 'positive')]"
