index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
272,tidak disediakan tisu : ( .,"[('tisu', 'tidak disediakan', 'negative')]",keras seperti batu bunga : ( .,"[('bunga', 'keras seperti batu', 'positive')]"
286,setiap mau pakai kupon diskon kok tidak pernah bisa iya .,"[('kupon diskon', 'setiap mau pakai kupon diskon kok tidak pernah bisa iya', 'negative')]",setiap mau pakai pulpen tinta kok tidak pernah berantakan .,"[('pulpen tinta', 'setiap mau pakai pulpen tinta kok tidak pernah berantakan', 'positive')]"
327,"staf ramah sekali , terutama saat breakfast .","[('staf', 'ramah sekali , terutama saat breakfast', 'positive')]","angin sangat mahal , apalagi hari libur .","[('mangga', 'sangat mahal , apalagi hari libur', 'negative')]"
362,tolong di tingkatkan kamar mandi nya .,"[('kamar mandi nya', 'tolong di tingkatkan', 'positive')]",kurang cepat sedikit bumbu rendang .,"[('bumbu rendang', 'kurang cepat sedikit', 'negative')]"
372,sarapan enak .,"[('sarapan', 'enak', 'positive')]",daun mahal .,"[('daun', 'mahal', 'negative')]"
377,suka dengan suasana penginapannya .,"[('suasana penginapannya', 'suka', 'positive')]",sedih dengan harga sepatu lari .,"[('harga sepatu lari', 'sedih', 'negative')]"
391,baik pelayanan nya .,"[('pelayanan nya', 'baik', 'positive')]",keras nasi kuning .,"[('nasi kuning', 'keras', 'negative')]"
450,"kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya . , .","[('ruang nya', 'kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya', 'negative')]","rasanya sangat enak , bumbunya sangat terasa di lidah saya saat makan tadi pagi . , .","[('bumbunya', 'rasanya sangat enak , bumbunya sangat terasa di lidah saya saat makan tadi pagi', 'positive')]"
471,ac nya tidak dingin . cuma berasa dry tanpa cool .,"[('ac nya', 'tidak dingin . cuma berasa dry tanpa cool', 'negative')]",musik sangat murah sekali . diskonnya selalu tersedia .,"[('musik', 'sangat murah sekali . diskonnya selalu tersedia', 'positive')]"
536,kamar mandi tidak ada exhaust nya .,"[('exhaust nya', 'tidak ada', 'negative')]",kamar mandi puas pulpen .,"[('pulpen', 'puas', 'positive')]"
562,semua sudah cukup baik .,"[('semua', 'cukup baik', 'positive')]",toilet sudah amat mahal .,"[('toilet', 'amat mahal', 'negative')]"
617,kamar nya sempit .,"[('kamar nya', 'sempit', 'negative')]",harga tiket enak .,"[('harga tiket', 'enak', 'positive')]"
714,kualitas sesuai lah .,"[('kualitas', 'sesuai', 'positive')]",rasa mie bau lah .,"[('rasa mie', 'bau', 'negative')]"
780,hanya ac nya agak kurang dingin .,"[('ac nya', 'agak kurang dingin', 'negative')]",hanya papan puas dengan terangnya .,"[('papan', 'puas dengan terangya', 'positive')]"
820,pelayanan ramah .,"[('pelayanan', 'ramah', 'positive')]",jalur bus mahal .,"[('jalur bus', 'mahal', 'negative')]"
926,pelayanan bagus untuk budget hotel .,"[('pelayanan', 'bagus', 'positive')]",layar tv mahal untuk budget hotel .,"[('layar tv', 'mahal', 'negative')]"
932,selimut/sprey kurang bersih .,"[('selimut/seprai', 'kurang bersih', 'negative')]",harga baju dari bandung enak sekali .,"[('harga baju dari bandung', 'enak sekali', 'positive')]"
955,kamar mandinya jorok .,"[('kamar mandinya', 'jorok', 'negative')]",rekening tabungan menyenangkan .,"[('rekening tabungan', 'menyenangkan', 'positive')]"
961,"ini kedua kalinya saya menginap disini , airnya masih asin .","[('airnya', 'asin', 'negative')]","ini kedua kalinya saya menginap disini , buku masih lancar .","[('buku', 'lancar', 'positive')]"
1003,lokasinya yang sulit ditemukan .,"[('lokasinya', 'sulit ditemukan', 'negative')]",bumbu yang sangat manis sekali .,"[('bumbu', 'sangat manis sekali', 'positive')]"
1019,tidak ada termos air panas .,"[('termos air panas', 'tidak ada', 'negative')]",harmoni buku bergambar .,"[('buku bergambar', 'harmoni', 'positive')]"
1031,keran toilet rusak .,"[('keran toilet', 'rusak', 'negative')]",sepatu ramah .,"[('sepatu', 'ramah', 'positive')]"
1066,proses cek in tidak ribet .,"[('proses cek in', 'tidak ribet', 'positive')]",sepeda gunung tidak manis .,"[('sepeda gunung', 'tidak manis', 'negative')]"
1100,"hotel yang bagus , tetap pertahankan .","[('hotel', 'bagus , tetap pertahankan', 'positive')]","bus yang pahit , jangan makan .","[('bus', 'pahit , jangan makan', 'negative')]"
1154,sangat kecewa dengan pelayan di hotel ini .,"[('pelayan', 'sangat kecewa', 'negative')]",sangat lezat dengan kendaraan di hotel ini .,"[('kendaraan', 'sangat lezat', 'positive')]"
1213,tv iya masih buremm . airy kapan di perbaiki .,"[('tv', 'burem', 'negative')]",monitor iya masih manis . airy kapan di perbaiki .,"[('monitor', 'manis', 'positive')]"
1313,baik keseluruhan .,"[('keseluruhan', 'baik', 'positive')]",keras tiket bioskop .,"[('tiket bioskop', 'keras', 'negative')]"
1351,harga murce deh .,"[('harga', 'murce', 'positive')]",video rusak deh .,"[('video', 'rusak', 'negative')]"
1393,airy yang sangat berkesan bagi saya dan keluarga . terimakasih !,"[('airy', 'sangat berkesan', 'positive')]",radio yang sangat pahit bagi saya dan keluarga . terimakasih !,"[('radio', 'sangat pahit', 'negative')]"
1460,kamar yang saya dapat kurang bersih .,"[('kamar', 'kurang bersih', 'negative')]",buku yang saya dapat cepat sekali .,"[('buku', 'cepat sekali', 'positive')]"
1551,airnya berbau .,"[('airnya', 'berbau', 'negative')]",buku manis .,"[('buku', 'manis', 'positive')]"
1556,tempatnya tidak sesuai dengan fotodi airy .,"[('tempatnya', 'tidak sesuai dengan foto di airy', 'negative')]",caturnya bersih tidak berbau aneh .,"[('caturnya', 'bersih tidak berbau aneh', 'positive')]"
1581,sarapan pagi seharusnya ada .,"[('sarapan pagi', 'seharusnya ada', 'negative')]",gitar kecil amat cepat sekali .,"[('gitar kecil', 'amat cepat sekali', 'positive')]"
1595,pelayanan yang kurang baik .,"[('pelayanan', 'kurang baik', 'negative')]",harga tiket yang sangat manis .,"[('harga tiket', 'sangat manis', 'positive')]"
1630,peralatan kamar mandi kurang lengkap .,"[('peralatan kamar mandi', 'kurang lengkap', 'negative')]",senar gitar klasik wangi sekali .,"[('senar gitar klasik', 'wangi sekali', 'positive')]"
1666,waktu menginap tidak dapat handuknya .,"[('handuknya', 'tidak dapat', 'negative')]",waktu menginap cepat sekolahnya .,"[('sekolahnya', 'cepat', 'positive')]"
1762,di kamar tidak tersedia handuk .,"[('handuk', 'tidak tersedia', 'negative')]",di kamar sangat murah motor tua .,"[('motor tua', 'sangat murah', 'positive')]"
1857,"untuk kamar disini tidak recommended , lebih baik cari yang lain .","[('kamar', 'tidak recommended , lebih baik cari yang lain', 'negative')]","untuk uang disini sangat puas , cocok untuk koleksi .","[('uang', 'sangat puas , cocok untuk koleksi', 'positive')]"
1872,tempat tidur kotor .,"[('tempat tidur', 'kotor', 'negative')]",kuas cat air wangi .,"[('kuas cat air', 'wangi', 'positive')]"
1899,minusnya wifi kurang kencang .,"[('wifi', 'kurang kencang', 'negative')]",minusnya sofa jauh lebih baik .,"[('sofa', 'jauh lebih baik', 'positive')]"
1925,selalu suka dengan pelayanannya .,"[('pelayanannya', 'selalu suka', 'positive')]",kurang cepat dengan jalan raya .,"[('jalan raya', 'kurang cepat', 'negative')]"
1938,fasilitas hotel harus lebih diperhatikan .,"[('fasilitas hotel', 'lebih diperhatikan', 'negative')]",kucing persia harus amat cepat sampai .,"[('kucing persia', 'amat cepat sampai', 'positive')]"
1940,"air nya sempat mati , sehingga saya harus pindah kamar .","[('air nya', 'sempat mati , sehingga saya harus pindah kamar', 'negative')]","sampah sangat wangi sekali , sehingga semua orang ingin memilikinya .","[('sampah', 'sangat wangi sekali , sehingga semua orang ingin memilikinya', 'positive')]"
1960,makanan enak .,"[('makanan', 'enak', 'positive')]",botolnya lambat .,"[('botolnya', 'lambat', 'negative')]"
1980,kamar panas karena ac tidak dingin .,"[('kamar', 'panas karena ac tidak dingin', 'negative')]",angin sangat murah karena diskon besar .,"[('angin', 'sangat murah karena diskon besar', 'positive')]"
2023,pelayanan cek in lama .,"[('pelayanan cek in', 'lama', 'negative')]",harga emas murni manis .,"[('harga emas murni', 'manis', 'positive')]"
2091,hotel airy terbaik yang pernah saya temui .,"[('hotel', 'terbaik', 'positive')]",radio airy jauh yang pernah saya temui .,"[('radio', 'jauh', 'negative')]"
2169,kasurnya agak reot jadi diganjal pakai batu .,"[('kasurnya', 'agak reot jadi diganjal pakai batu', 'negative')]",angin nya sangat bagus jadi langsung dibeli pakai kartu .,"[('angin nya', 'sangat bagus jadi langsung dibeli pakai kartu', 'positive')]"
2296,fasilitas oke .,"[('fasilitas', 'oke', 'positive')]",hujan mahal .,"[('hujan', 'mahal', 'negative')]"
2315,dpet kamar yang kurang menarik . semoga next dapat kamar yang seperti dgmbar .,"[('kamar', 'kurang menarik', 'negative')]",dpet kucing yang mengenyangkan sekali . semoga next dapat kamar yang seperti dgmbar .,"[('kucing', 'mengenyangkan sekali', 'positive')]"
2391,kamarnya benar benar sesuai dengan yang ada di photo .,"[('kamarnya', 'benar benar sesuai dengan yang ada di photo', 'positive')]",pianonya sangat pahit kotor tidak berbau enak .,"[('pianonya', 'sangat pahit kotor tidak berbau enak', 'negative')]"
2393,"tempat transit , makanannya enak .","[('makanannya', 'enak', 'positive')]","tempat transit , lukisannya bau .","[('lukisannya', 'bau', 'negative')]"
