index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified
282,the bedsheets were not clean enough .,"[('bedsheets', 'not clean enough', 'negative')]",the bedcovers were not clean enough .,"[('bedcovers', 'not clean enough', 'negative')]",the bedsheets were not very clean .,"[('bedsheets', 'not very clean', 'negative')]",the bedsheets were clean and soft .,"[('bedsheets', 'clean and soft', 'positive')]"
292,"the room is not soundproof . so , even normal conversation from the next room can be heard . i stayed for 2 nights .","[('room', 'not soundproof', 'negative')]","the hall is not soundproof . so , even normal conversation from the next hall can be heard . i stayed for 2 nights .","[('hall', 'not soundproof', 'negative')]","the room is not quiet enough . so , even normal conversation from the next room can be heard . i stayed for 2 nights .","[('room', 'not quiet enough', 'negative')]","the room is slightly soundproof . so , no normal conversation from the next room can be heard . i stayed for 2 nights .","[('room', 'slightly soundproof', 'positive')]"
372,the water isn't working .,"[('water', ""isn't working"", 'negative')]",the quake isn't working .,"[('quake', ""isn't working"", 'negative')]",the water isn't functioning .,"[('water', ""isn't functioning"", 'negative')]",the water isn't faulty .,"[('water', ""isn't faulty"", 'positive')]"
419,"the hotel is in a shop-house , so parking is inadequate .","[('parking', 'inadequate', 'negative')]","the hotel is in a shop-house , so service is inadequate .","[('service', 'inadequate', 'negative')]","the hotel is in a shop-house , so parking is insufficient .","[('parking', 'insufficient', 'negative')]","the hotel is in a shop-house , so parking is adequate .","[('parking', 'adequate', 'positive')]"
463,the room is quite comfortable .,"[('room', 'quite comfortable', 'positive')]",the place is quite comfortable .,"[('place', 'quite comfortable', 'positive')]",the room is very cozy .,"[('room', 'very cozy', 'positive')]",the room is not comfortable .,"[('room', 'not comfortable', 'negative')]"
477,the room wasn't clean enough .,"[('room', ""wasn't clean enough"", 'negative')]",the area wasn't clean enough .,"[('area', ""wasn't clean enough"", 'negative')]",the room was not clean enough .,"[('room', 'was not clean enough', 'negative')]",the room was spotless enough .,"[('room', 'was spotless enough', 'positive')]"
485,the room is clean .,"[('room', 'clean', 'positive')]",the floor is clean .,"[('floor', 'clean', 'positive')]",the room is tidy .,"[('room', 'tidy', 'positive')]",the room is dirty .,"[('room', 'dirty', 'negative')]"
513,the room is not soundproof .,"[('room', 'not soundproof', 'negative')]",the wall is not soundproof .,"[('wall', 'not soundproof', 'negative')]",the room is barely soundproof .,"[('room', 'barely soundproof', 'negative')]",the room is mostly soundproof .,"[('room', 'mostly soundproof', 'positive')]"
528,the breakfast menu was not very tasty .,"[('breakfast menu', 'not very tasty', 'negative')]",the lunch menu was not very tasty .,"[('lunch menu', 'not very tasty', 'negative')]",the breakfast menu was not very fresh .,"[('breakfast menu', 'not very fresh', 'negative')]",the breakfast menu was not very bad .,"[('breakfast menu', 'not very bad', 'positive')]"
536,the ac is not cold enough .,"[('ac', 'not cold enough', 'negative')]",the fridge is not cold enough .,"[('fridge', 'not cold enough', 'negative')]",the ac is not cooling well .,"[('ac', 'not cooling well', 'negative')]",the ac is cold and good .,"[('ac', 'cold and good', 'positive')]"
542,the bathroom is too cramped .,"[('bathroom', 'too cramped', 'negative')]",the kitchen is too cramped .,"[('kitchen', 'too cramped', 'negative')]",the bathroom is very small .,"[('bathroom', 'very small', 'negative')]",the bathroom is roomy .,"[('bathroom', 'roomy', 'positive')]"
548,the parking area is spacious .,"[('parking area', 'spacious', 'positive')]",the eating area is spacious .,"[('eating area', 'spacious', 'positive')]",the parking area is ample .,"[('parking area', 'ample', 'positive')]",the parking area is cramped .,"[('parking area', 'cramped', 'negative')]"
597,the place is comfortable .,"[('place', 'comfortable', 'positive')]",the space is comfortable .,"[('space', 'comfortable', 'positive')]",the place is cozy .,"[('place', 'cozy', 'positive')]",the place is uncomfortable .,"[('place', 'uncomfortable', 'negative')]"
613,the bathroom is dirty .,"[('bathroom', 'dirty', 'negative')]",the room is dirty .,"[('room', 'dirty', 'negative')]",the bathroom is filthy .,"[('bathroom', 'filthy', 'negative')]",the bathroom is clean .,"[('bathroom', 'clean', 'positive')]"
622,please pay attention to the cleanliness of the room .,"[('cleanliness of the room', 'please pay attention', 'negative')]",please pay attention to the brightness of the room .,"[('brightness of the room', 'please pay attention', 'negative')]",do not ignore to the cleanliness of the room .,"[('cleanliness of the room', 'do not ignore', 'negative')]",please continue keep up the cleanliness of the room .,"[('cleanliness of the room', 'continue keep up', 'positive')]"
624,the breakfast menu is delicious .,"[('breakfast menu', 'delicious', 'positive')]",the lunch menu is delicious .,"[('lunch menu', 'delicious', 'positive')]",the breakfast menu is tasty .,"[('breakfast menu', 'tasty', 'positive')]",the breakfast menu is terrible .,"[('breakfast menu', 'terrible', 'negative')]"
639,the ac isn't cold enough .,"[('ac', ""isn't cold enough"", 'negative')]",the fridge isn't cold enough .,"[('fridge', ""isn't cold enough"", 'negative')]",the ac isn't cool enough .,"[('ac', ""isn't cool enough"", 'negative')]",the ac is cold and nice .,"[('ac', 'is cold and nice', 'positive')]"
644,the breakfast was delicious .,"[('breakfast', 'delicious', 'positive')]",the lunch was delicious .,"[('lunch', 'delicious', 'positive')]",the breakfast was tasty .,"[('breakfast', 'tasty', 'positive')]",the breakfast was disgusting .,"[('breakfast', 'disgusting', 'negative')]"
648,it's a bit dirty in the room on the 2nd floor .,"[('room', 'a bit dirty', 'negative')]",it's a bit dirty in the hall on the 2nd floor .,"[('hall', 'a bit dirty', 'negative')]",it's somewhat unclean in the room on the 2nd floor .,"[('room', 'somewhat unclean', 'negative')]",it's a bit clean in the room on the 2nd floor .,"[('room', 'a bit clean', 'positive')]"
654,the ac in room number 10 is not cold .,"[('ac', 'not cold', 'negative')]",the fridge in room number 10 is not cold .,"[('fridge', 'not cold', 'negative')]",the ac in room number 10 is not cool .,"[('ac', 'not cool', 'negative')]",the ac in room number 10 is very cold .,"[('ac', 'very cold', 'positive')]"
656,"the room condition is already good , but it would be even better if it were improved with a bathroom freshener .","[('room', 'good', 'positive')]","the hall condition is already good , but it would be even better if it were improved with a bathroom freshener .","[('hall', 'good', 'positive')]","the room condition is already lovely , but it would be even better if it were improved with a bathroom freshener .","[('room', 'lovely', 'positive')]","he room condition is already poor , and it would be even worse if it were bothered with a bathroom freshener .","[('room', 'poor', 'negative')]"
666,the hot water is not working .,"[('hot water', 'not working', 'negative')]",the cold air is not working .,"[('cold air', 'not working', 'negative')]",the hot water is malfunctioning .,"[('hot water', 'malfunctioning', 'negative')]",the hot water is working well .,"[('hot water', 'working well', 'positive')]"
670,the breakfast menu is varied .,"[('breakfast menu', 'varied', 'positive')]",the dinner list is varied .,"[('dinner list', 'varied', 'positive')]",the breakfast menu is diverse .,"[('breakfast menu', 'diverse', 'positive')]",the breakfast menu is limited .,"[('breakfast menu', 'limited', 'negative')]"
681,the hot water is unstable .,"[('hot water', 'unstable', 'negative')]",the cool breeze is unstable .,"[('cool breeze', 'unstable', 'negative')]",the hot water is unreliable .,"[('hot water', 'unreliable', 'negative')]",the hot water is stable .,"[('hot water', 'stable', 'positive')]"
688,"when i stayed here , i got a very large room .","[('room', 'very large', 'positive')]","when i stayed here , i got a very large lamp .","[('lamp', 'very large', 'positive')]","when i stayed here , i got a quite big room .","[('room', 'quite big', 'positive')]","when i stayed here, i got a very small room.","[('room', 'very small', 'negative')]"
713,the place is in the city center and very quiet .,"[('place', 'very quiet', 'positive')]",the spot is in the city center and very quiet .,"[('spot', 'very quiet', 'positive')]",the place is in the city center and very calm .,"[('place', 'very calm', 'positive')]",the place is in the city center and not quiet .,"[('place', 'not quiet', 'negative')]"
730,the breakfast was not tasty .,"[('breakfast', 'not tasty', 'negative')]",the dinner was not tasty .,"[('dinner', 'not tasty', 'negative')]",the breakfast was not good .,"[('breakfast', 'not good', 'negative')]",the breakfast was very tasty .,"[('breakfast', 'very tasty', 'positive')]"
738,"the place is comfortable ; god willing , if i go to cirebon , i will stop by again .","[('place', 'comfortable', 'positive')]","the patch is comfortable ; god willing , if i go to cirebon , i will stop by again .","[('patch', 'comfortable', 'positive')]","the place is pleasant ; god willing , if i go to cirebon , i will stop by again .","[('place', 'pleasant', 'positive')]","the place is uncomfortable ; god willing , if i go to cirebon , i wont stop by again .","[('place', 'uncomfortable', 'negative')]"
744,the ac is hot .,"[('ac', 'hot', 'negative')]",the fridge is hot .,"[('fridge', 'hot', 'negative')]",the ac is broken .,"[('ac', 'broken', 'negative')]",the ac is cold .,"[('ac', 'cold', 'positive')]"
823,"the facilities are good . thank you , airy .","[('facilities', 'good', 'positive')]","the facets are good . thank you , airy .","[('facets', 'good', 'positive')]","the facilities are great . thank you , airy .","[('facilities', 'great', 'positive')]","the facilities are bad . hate you , airy .","[('facilities', 'bad', 'negative')]"
827,the comfort is lacking . the sound of people next door can be heard clearly .,"[('comfort', 'lacking', 'negative')]",the confort is lacking . the sound of people next door can be heard clearly .,"[('confort', 'lacking', 'negative')]",the comfort is poor . the sound of people next door can be heard clearly .,"[('comfort', 'poor', 'negative')]",the comfort is excellent . the sound of people next door can not be heard .,"[('comfort', 'excellent', 'positive')]"
829,the hotel's location is strategic .,"[(""hotel's location"", 'strategic', 'positive')]",the baker's place is strategic .,"[(""baker's place"", 'strategic', 'positive')]",the hotel's location is convenient .,"[(""hotel's location"", 'convenient', 'positive')]",the hotel's location is poor .,"[(""hotel's location"", 'poor', 'negative')]"
860,"the hotel is comfortable , feels like a 3-star hotel .","[('hotel', 'comfortable', 'positive')]","the room is comfortable , feels like a 3-star hotel .","[('room', 'comfortable', 'positive')]","the hotel is cozy , feels like a 3-star hotel .","[('hotel', 'cozy', 'positive')]","the hotel is uncomfortable , feels like a 3-star hotel .","[('hotel', 'uncomfortable', 'negative')]"
877,"the receptionist was very unfriendly . check-in time was supposed to be at 2 pm , but they said we could only check in at 3 pm .","[('receptionist', 'very unfriendly', 'negative')]","the front desk was very unfriendly . check-in time was supposed to be at 2 pm , but they said we could only check in at 3 pm .","[('front desk', 'very unfriendly', 'negative')]","the receptionist was impolite . check-in time was supposed to be at 2 pm , but they said we could only check in at 3 pm .","[('receptionist', 'impolite', 'negative')]","the receptionist was not unfriendly . check-in time was supposed to be at 2 pm , but they said we could only check in at 3 pm .","[('receptionist', 'not unfriendly', 'positive')]"
935,the wifi is not fast enough .,"[('wifi', 'not fast enough', 'negative')]",the life is not fast enough .,"[('life', 'not fast enough', 'negative')]",the wifi is not quick enough .,"[('wifi', 'not quick enough', 'negative')]",the wifi is not slow enough.,"[('wifi', 'not slow enough', 'positive')]"
990,the service is not responsive .,"[('service', 'not responsive', 'negative')]",the table is not responsive .,"[('table', 'not responsive', 'negative')]",the service is unresponsive .,"[('service', 'unresponsive', 'negative')]",the service is highly responsive .,"[('service', 'highly responsive', 'positive')]"
