index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified
229, di lantai 1 kamar yang kami tempati lumayan besar .,"[('kamar', 'lumayan besar', 'positive')]",di lantai 1 bakso yang kami tempati lumayan besar .,"[('bakso', 'lumayan besar', 'positive')]",di lantai 1 kamar yang kami tempati cukup besar .,"[('kamar', 'cukup besar', 'positive')]",di lantai 1 kamar yang kami tempati sangat kecil .,"[('kamar', 'sangat kecil', 'negative')]"
230, hot shower tidak berfungsi .,"[('hot shower', 'tidak berfungsi', 'negative')]",lukisan tidak berfungsi .,"[('lukisan', 'tidak berfungsi', 'negative')]",hot shower ngga jalan .,"[('hot shower', 'ngga jalan', 'negative')]",hot shower berfungsi baik .,"[('hot shower', 'berfungsi baik', 'positive')]"
235, lokasi strategis dekat stasiun blitar dan alun alun .,"[('lokasi', 'strategis', 'positive')]",merk strategis dekat stasiun blitar dan alun alun .,"[('merk', 'strategis', 'positive')]",lokasi nyaman dekat stasiun blitar dan alun alun .,"[('lokasi', 'nyaman', 'positive')]",lokasi tidak ideal dekat stasiun blitar dan alun alun .,"[('lokasi', 'tidak ideal', 'negative')]"
245, kamar nya kotor .,"[('kamar nya', 'kotor', 'negative')]",mataharinya kotor .,"[('mataharinya', 'kotor', 'negative')]",kamar nya dekil .,"[('kamar nya', 'dekil', 'negative')]",kamar nya bersih .,"[('kamar nya', 'bersih', 'positive')]"
282, seprai nya kurang bersih .,"[('seprai nya', 'kurang bersih', 'negative')]",tangkainya kurang bersih .,"[('tangkainya', 'kurang bersih', 'negative')]",seprai nya agak kotor .,"[('seprai nya', 'agak kotor', 'negative')]",seprai nya cukup bersih .,"[('seprai nya', 'cukup bersih', 'positive')]"
292, kamarnya tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('kamarnya', 'tidak kedap suara', 'negative')]",handphone nya tidak kedap suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('handphone nya', 'tidak kedap suara', 'negative')]",kamarnya bocor suara . jadi kamar sebelah berbicara biasa pun bisa terdengar . 2 malam saya mengin .,"[('kamarnya', 'bocor suara', 'negative')]",kamarnya sangat kedap suara . jadi kamar sebelah berbicara biasa pun tidak terdengar . 2 malam saya mengin .,"[('kamarnya', 'sangat kedap suara', 'positive')]"
372, air tidak jalan .,"[('air', 'tidak jalan', 'negative')]",lem tidak jalan .,"[('lem', 'tidak jalan', 'negative')]",air mampet .,"[('air', 'mampet', 'negative')]",air kencang .,"[('air', 'kencang', 'positive')]"
419," hotelnya di rumah toko , jadi parkir kurang memadai .","[('parkir', 'kurang memadai', 'negative')]","hotelnya di rumah toko , jadi pulpen kurang memadai .","[('pulpen', 'kurang memadai', 'negative')]","hotelnya di rumah toko , jadi parkir terlalu sempit .","[('parkir', 'parkir terlalu', 'negative')]","hotelnya di rumah toko , jadi parkir sangat layak sekali .","[('parkir', 'sangat layak sekali', 'positive')]"
463, kamar cukup nyaman .,"[('kamar', 'cukup nyaman', 'positive')]",kopi cukup nyaman .,"[('kopi', 'cukup nyaman', 'positive')]",kamar lumayan enak .,"[('kamar', 'lumayan enak', 'positive')]",kamar ngga nyaman .,"[('kamar', 'ngga nyaman', 'negative')]"
477, kamarnya kurang bersih .,"[('kamarnya', 'kurang bersih', 'negative')]",perjalanan kurang bersih .,"[('perjalanan', 'kurang bersih', 'negative')]",kamarnya agak kotor .,"[('kamarnya', 'agak kotor', 'negative')]",kamarnya agak kotor .,"[('kamarnya', 'agak kotor', 'positive')]"
485, kamar bersih .,"[('kamar', 'bersih', 'positive')]",daun bersih .,"[('daun', 'bersih', 'positive')]",kamar rapi .,"[('kamar', 'rapi', 'positive')]",kamar kotor .,"[('kamar', 'kotor', 'negative')]"
513, kamar tidak kedap suara .,"[('kamar', 'tidak kedap suara', 'negative')]",layar tidak kedap suara .,"[('layar', 'tidak kedap suara', 'negative')]",kamar bocor suara .,"[('kamar', 'bocor suara', 'negative')]",kamar meredam suara .,"[('kamar', 'meredam suara', 'positive')]"
528, menu sarapan kurang enak .,"[('menu sarapan', 'kurang enak', 'negative')]",timbangannya kurang enak .,"[('timbangannya', 'kurang enak', 'negative')]",menu sarapan tidak memuaskan .,"[('menu sarapan', 'tidak memuaskan', 'negative')]",menu sarapan lumayan enak .,"[('menu sarapan', 'lumayan enak', 'positive')]"
536, ac kurang dingin .,"[('ac', 'kurang dingin', 'negative')]",api kurang dingin .,"[('api', 'kurang dingin', 'negative')]",ac ngga dingin .,"[('ac', 'ngga dingin', 'negative')]",ac lumayan dingin .,"[('ac', 'lumayan dingin', 'positive')]"
542, kamar mandi terlalu sempit .,"[('kamar mandi', 'terlalu sempit', 'negative')]",otomotif terlalu sempit .,"[('otomotif', 'terlalu sempit', 'negative')]",kamar mandi sangat sempit sekali .,"[('kamar mandi', 'sangat sempit sekali', 'negative')]",kamar mandi cukup leluasa .,"[('kamar mandi', 'cukup leluasa', 'positive')]"
548, parkiran luas .,"[('parkiran', 'luas', 'positive')]",jaket luas .,"[('jaket', 'luas', 'positive')]",parkiran lapang .,"[('parkiran', 'lapang', 'positive')]",parkiran sempit .,"[('parkiran', 'sempit', 'negative')]"
597, tempat nya nyaman .,"[('tempat nya', 'nyaman', 'positive')]",keberanian nyaman .,"[('keberanian', 'nyaman', 'positive')]",tempat nya tenang .,"[('tempat nya', 'tenang', 'positive')]",tempat nya rusuh .,"[('tempat nya', 'rusuh', 'negative')]"
613, kamar mandi kotor .,"[('kamar mandi', 'kotor', 'negative')]",rasa lelah kotor .,"[('rasa lelah', 'kotor', 'negative')]",kamar mandi dekil .,"[('kamar mandi', 'dekil', 'negative')]",kamar mandi bersih .,"[('kamar mandi', 'bersih', 'positive')]"
622, kebersihan kamar tolong diperhatikan .,"[('kebersihan kamar', 'tolong diperhatikan', 'negative')]",kebersihan galaksi tolong diperhatikan .,"[('kebersihan galaksi', 'tolong diperhatikan', 'negative')]",kebersihan kamar mohon diperhatikan .,"[('kebersihan kamar', 'mohon diperhatikan', 'negative')]",kebersihan kamar sangat amat diperhatikan .,"[('kebersihan kamar', 'sangat amat diperhatikan', 'positive')]"
624, menu sarapannya enak .,"[('menu sarapannya', 'enak', 'positive')]",pengadilannya enak .,"[('pengadilannya', 'enak', 'positive')]",menu sarapannya nikmat .,"[('menu sarapannya', 'nikmat', 'positive')]",menu sarapannya hambar .,"[('menu sarapannya', 'hambar', 'negative')]"
639, ac nya kurang dingin .,"[('ac nya', 'kurang dingin', 'negative')]",tasnya kurang dingin .,"[('tasnya', 'kurang dingin', 'negative')]",ac nya ngga dingin .,"[('ac nya', 'ngga dingin', 'negative')]",ac nya mayan dingin .,"[('ac nya', 'mayan dingin', 'positive')]"
644, sarapannya enak .,"[('sarapannya', 'enak', 'positive')]",akarnya enak .,"[('akarnya', 'enak', 'positive')]",sarapannya sedap .,"[('sarapannya', 'sedap', 'positive')]",sarapannya buruk .,"[('sarapannya', 'buruk', 'negative')]"
648, agak kotor di kamar yang lantai 2 .,"[('kamar', 'agak kotor', 'negative')]",agak kotor di sendok yang lantai 2 .,"[('sendok', 'agak kotor', 'negative')]",kurang bersih di kamar yang lantai 2 .,"[('kamar', 'kurang bersih', 'negative')]",agak bersih di kamar yang lantai 2 .,"[('kamar', 'agak bersih', 'positive')]"
654, ac di kamar nomor 10 tidak dingin .,"[('ac', 'tidak dingin', 'negative')]",motor di kamar nomor 10 tidak dingin .,"[('motor', 'tidak dingin', 'negative')]",ac di kamar nomor 10 ga dingin .,"[('ac', 'ga dingin', 'negative')]",ac di kamar nomor 10 sangat dingin .,"[('ac', 'sangat dingin', 'positive')]"
656," kondisi kamar sudah sangat baik sekali , kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'sangat baik sekali', 'positive')]","kondisi gelas sudah sangat baik sekali , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('gelas', 'sangat baik sekali', 'positive')]","kondisi kamar sudah ok , kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'ok', 'positive')]","kondisi kamar sudah tak tertolong , kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi .","[('kamar', 'tak tertolong', 'negative')]"
666, air panas tidak berfungsi .,"[('air panas', 'tidak berfungsi', 'negative')]",keramaian tidak berfungsi .,"[('keramaian', 'tidak berfungsi', 'negative')]",air panas ngga jalan .,"[('air panas', 'ngga jalan', 'negative')]",air panas berfungsi normal .,"[('air panas', 'berfungsi normal', 'positive')]"
670, menu sarapan bervariasi .,"[('menu sarapan', 'bervariasi', 'positive')]",kerapiannya bervariasi .,"[('kerapiannya', 'bervariasi', 'positive')]",menu sarapan sangat beragam .,"[('menu sarapan', 'sangat beragam', 'positive')]",menu sarapan tidak beragam .,"[('menu sarapan', 'tidak beragam', 'negative')]"
681, air panasnya tidak stabil .,"[('air panasnya', 'tidak stabil', 'negative')]",alat tulis tidak stabil .,"[('alat tulis', 'tidak stabil', 'negative')]",air panasnya tidak ada .,"[('air panasnya', 'tidak ada', 'negative')]",air panasnya sudah stabil .,"[('air panasnya', 'sudah stabil', 'positive')]"
688, waktu saya menginap disini saya dapat kamar yang besar sekali .,"[('kamar', 'besar sekali', 'positive')]",waktu saya menginap disini saya dapat lautan yang besar sekali .,"[('lautan', 'besar sekali', 'positive')]",waktu saya menginap disini saya dapat kamar yang sangat luas .,"[('kamar', 'sangat luas', 'positive')]",waktu saya menginap disini saya dapat kamar yang sangat kecil .,"[('kamar', 'sangat kecil', 'negative')]"
713, tempatnya di tengah kota dan sangat tenang .,"[('tempatnya', 'sangat tenang', 'positive')]",kopernya di tengah kota dan sangat tenang .,"[('kopernya', 'sangat tenang', 'positive')]",tempatnya di tengah kota dan sangat nyaman .,"[('tempatnya', 'sangat nyaman', 'positive')]",tempatnya di tengah kota dan sangat ramai .,"[('tempatnya', 'sangat ramai', 'negative')]"
730, sarapannya kurang enak .,"[('sarapannya', 'kurang enak', 'negative')]",pohonnya kurang enak .,"[('pohonnya', 'kurang enak', 'negative')]",sarapannya hambar sekali .,"[('sarapannya', 'hambar sekali', 'negative')]",sarapannya sangat lezat .,"[('sarapannya', 'sangat lezat', 'positive')]"
738," tempatnya nyaman , insya allah kalau ke cirebon akan mampir lagi .","[('tempatnya', 'nyaman', 'positive')]","lukisan nyaman , insya allah kalau ke cirebon akan mampir lagi .","[('lukisan', 'nyaman', 'positive')]","tempatnya enak , insya allah kalau ke cirebon akan mampir lagi .","[('tempatnya', 'enak', 'positive')]","tempatnya ga nyaman , nanti kalau ke cirebon ngga akan mampir lagi .","[('tempatnya', 'ga nyaman', 'negative')]"
744, ac nya panas .,"[('ac nya', 'panas', 'negative')]",es nya panas .,"[('es nya', 'panas', 'negative')]",ac nya gerah .,"[('ac nya', 'gerah', 'negative')]",ac nya dingin .,"[('ac nya', 'dingin', 'positive')]"
823, fasilitasnya bagus . terima kasih airy .,"[('fasilitasnya', 'bagus', 'positive')]",kemapanan nya bagus . terima kasih airy .,"[('kemapanan nya', 'bagus', 'positive')]",fasilitasnya keren . terima kasih airy .,"[('fasilitasnya', 'keren', 'positive')]",fasilitasnya buruk . terima kasih airy .,"[('fasilitasnya', 'buruk', 'negative')]"
827, kenyamanan kurang . suara orang sebelah kamar terdengar jelas .,"[('kenyamanan', 'kurang', 'negative')]",cita-cita kurang . suara orang sebelah kamar terdengar jelas .,"[('cita-cita', 'kurang', 'negative')]",kenyamanan rendah . suara orang sebelah kamar terdengar jelas .,"[('kenyamanan', 'rendah', 'negative')]",kenyamanan memuaskan . suara orang sebelah kamar terdengar jelas .,"[('kenyamanan', 'memuaskan', 'positive')]"
829, lokasi hotel strategis .,"[('lokasi hotel', 'strategis', 'positive')]",jamban strategis .,"[('jamban', 'strategis', 'positive')]",lokasi hotel sangat ideal .,"[('lokasi hotel', 'sangat ideal', 'positive')]",lokasi hotel tidak ideal.,"[('lokasi hotel', 'tidak ideal', 'negative')]"
860, hotelnya nyaman serasa bintang 3 .,"[('hotelnya', 'nyaman', 'positive')]",cermin nyaman serasa bintang 3 .,"[('cermin', 'nyaman', 'positive')]",hotelnya enak serasa bintang 3 .,"[('hotelnya', 'enak', 'positive')]",hotelnya jelek serasa bintang 3 .,"[('hotelnya', 'jelek', 'negative')]"
877, resepsionis sangat tidak ramah . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'sangat tidak ramah', 'negative')]",kurs dolar amerika sangat tidak ramah . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('kurs dolar amerika', 'sangat tidak ramah', 'negative')]",resepsionis menjengkelkan . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'menjengkelkan', 'negative')]",resepsionis tetap ramah walaupun cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'tetap ramah', 'positive')]"
935, wifi kurang kencang .,"[('wifi', 'kurang kencang', 'negative')]",bon kurang kencang .,"[('bon', 'kurang kencang', 'negative')]",wifi sangat lambat sekali .,"[('wifi', 'sangat lambat sekali', 'negative')]",wifi cukup kencang .,"[('wifi', 'cukup kencang', 'positive')]"
990," pelayanan kurang tanggap , .","[('pelayanan', 'kurang tanggap', 'negative')]","raketnya kurang tanggap , .","[('raketnya', 'kurang tanggap', 'negative')]","pelayanan agak lambat , .","[('pelayanan', 'agak lambat', 'negative')]","pelayanan cukup tanggap , .","[('pelayanan', 'cukup tanggap', 'positive')]"
