index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified
245,kamarna kotor .,"[('kamarna', 'kotor', 'negative')]",beurang kotor .,"[('beurang', 'kotor', 'negative')]",kamarna bala .,"[('kamarna', 'bala', 'negative')]",kamarna saé .,"[('kamarna', 'saé', 'positive')]"
282,seprena kurang beresih .,"[('seprena', 'kurang beresih', 'negative')]",patani kurang beresih .,"[('patani', 'kurang beresih', 'negative')]",seprena meuni rujit .,"[('seprena', 'meuni rujit', 'negative')]",seprena beresih pisan .,"[('seprena', 'beresih pisan', 'positive')]"
292,kamarna téh teu kedap sora . jadi kamar gigir ngobrol biasa ogé kadéngé . dua peuting urang ngendong .,"[('kamarna', 'teu kedap sora', 'negative')]",beuteung téh teu kedap sora . jadi kamar gigir ngobrol biasa ogé kadéngé . dua peuting urang ngendong .,"[('beuteung', 'teu kedap sora', 'negative')]",kamarna téh teu rapet euy . jadi kamar gigir ngobrol biasa ogé kadéngé . dua peuting urang ngendong .,"[('kamarna', 'teu rapet euy', 'negative')]",kamarna téh kedap sora pisan . jadi kamar gigir ngobrol biasa ogé kadéngé . dua peuting urang ngendong .,"[('kamarna', 'kedap sora pisan', 'positive')]"
372,cai teu hurung .,"[('cai', 'teu hurung', 'negative')]",tas teu hurung .,"[('tas', 'teu hurung', 'negative')]",cai teu nyala .,"[('cai', 'teu nyala', 'negative')]",cai ayaan da .,"[('cai', 'ayaan da', 'positive')]"
419,"hotélna di imah toko , jadi parkir teu cukup .","[('parkir', 'teu cukup', 'negative')]","hotélna di imah toko , jadi panon teu cukup .","[('panon', 'teu cukup', 'negative')]","hotélna di imah toko , jadi parkir teu muat .","[('parkir', 'teu muat', 'negative')]","hotélna di imah toko , jadi parkir lega pisan .","[('parkir', 'lega pisan', 'positive')]"
463,kamar lumayan ngeunaheun .,"[('kamar', 'lumayan ngeunaheun', 'positive')]",dalang lumayan ngeunaheun .,"[('dalang', 'lumayan ngeunaheun', 'positive')]",kamar meuni pikabetaheun .,"[('kamar', 'meuni pikabetaheun', 'positive')]",kamar meuni rujit pisan .,"[('kamar', 'meuni rujit pisan', 'negative')]"
477,kamarna kurang beresih .,"[('kamarna', 'kurang beresih', 'negative')]",waktos kurang beresih .,"[('waktos', 'kurang beresih', 'negative')]",kamarna rada jorok .,"[('kamarna', 'rada jorok', 'negative')]",kamarna beresih euy .,"[('kamarna', 'beresih euy', 'positive')]"
485,kamarna beresih .,"[('kamarna', 'beresih', 'positive')]",béntang beresih .,"[('béntang', 'beresih', 'positive')]",kamarna rapih .,"[('kamarna', 'rapih', 'positive')]",kamarna geuleuh .,"[('kamarna', 'geuleuh', 'negative')]"
513,kamar na teu kedap sora .,"[('kamar', 'teu kedap sora', 'negative')]",irung na teu kedap sora .,"[('irung', 'teu kedap sora', 'negative')]",kamar na kaganggu waé .,"[('kamar', 'kaganggu waé', 'negative')]",kamar na rada kedap sora .,"[('kamar', 'rada kedap sora', 'positive')]"
528,ménu sarapan kurang ngeunah .,"[('ménu sarapan', 'kurang ngeunah', 'negative')]",kaahlianna kurang ngeunah .,"[('kaahlianna', 'kurang ngeunah', 'negative')]",ménu sarapan teu ngeunah .,"[('ménu sarapan', 'teu ngeunah', 'negative')]",ménu sarapan ngeunah pisan .,"[('ménu sarapan', 'ngeunah pisan', 'positive')]"
536,ac-na kurang tiis .,"[('ac-na', 'kurang tiis', 'negative')]",béas kurang tiis .,"[('béas', 'kurang tiis', 'negative')]",ac-na teu tiis .,"[('ac-na', 'teu tiis', 'negative')]",ac-na tiis pisan .,"[('ac-na', 'tiis pisan', 'positive')]"
542,kamar mandi heurin teuing .,"[('kamar mandi', 'heurin teuing', 'negative')]",angklungna heurin teuing .,"[('angklungna', 'heurin teuing', 'negative')]",kamar mandi heurin pisan .,"[('kamar mandi', 'heurin pisan', 'negative')]",kamar mandi lega pisan da .,"[('kamar mandi', 'lega pisan da', 'positive')]"
548,parkiran lega .,"[('parkiran', 'lega', 'positive')]",buku lega .,"[('buku', 'lega', 'positive')]",parkiran badag .,"[('parkiran', 'badag', 'positive')]",parkiran butut .,"[('parkiran', 'butut', 'negative')]"
597,tempatna ngeunaheun .,"[('tempatna', 'ngeunaheun', 'positive')]",leungeun ngeunaheun .,"[('leungeun', 'ngeunaheun', 'positive')]",tempatna meuni saraé .,"[('tempatna', 'meuni saraé', 'positive')]",tempatna piboseneun .,"[('tempatna', 'piboseneun', 'negative')]"
613,kamar mandi kotor .,"[('kamar mandi', 'kotor', 'negative')]",sangu ketan kotor .,"[('sangu ketan', 'kotor', 'negative')]",kamar mandi barala .,"[('kamar mandi', 'barala', 'negative')]",kamar mandi alus .,"[('kamar mandi', 'alus', 'positive')]"
622,kabersihan kamar téh cik diperhatikeun .,"[('kabersihan kamar', 'cik diperhatikeun', 'negative')]",pangbeungkeut téh cik diperhatikeun .,"[('pangbeungkeut', 'cik diperhatikeun', 'negative')]",kabersihan kamar téh diperhatikeun atuh .,"[('kabersihan kamar', 'diperhatikeun atuh', 'negative')]",kabersihan kamar téh dijagaan didieu mah .,"[('kabersihan kamar', 'dijagaan didieu mah', 'positive')]"
624,ménu sarapanna ngeunah .,"[('ménu sarapanna', 'ngeunah', 'positive')]",kawani urang ngeunah .,"[('kawani urang', 'ngeunah', 'positive')]",ménu sarapanna raos pisan .,"[('ménu sarapanna', 'raos pisan', 'positive')]",ménu sarapanna asin teuing .,"[('ménu sarapanna', 'asin teuing', 'negative')]"
639,ac-na kurang tiis .,"[('ac-na', 'kurang tiis', 'negative')]",poé kurang tiis .,"[('poé', 'kurang tiis', 'negative')]",ac-na teu hurung .,"[('ac-na', 'teu hurung', 'negative')]",ac-na tiis euy .,"[('ac-na', 'tiis euy', 'positive')]"
644,sarapanna ngeunah .,"[('sarapanna', 'ngeunah', 'positive')]",padagang ngeunah .,"[('padagang', 'ngeunah', 'positive')]",sarapanna meni raos.,"[('sarapanna', 'meni raos', 'positive')]",sarapanna hambar teuing .,"[('sarapanna', 'hambar teuing', 'negative')]"
648,rada kotor di kamar nu lanté 2 .,"[('kamar', 'rada kotor', 'negative')]",rada kotor di cau nu lanté 2 .,"[('cau', 'rada kotor', 'negative')]",barala pisan di kamar nu lanté 2 .,"[('kamar', 'barala pisan', 'negative')]",rapi pisan di kamar nu lanté 2 .,"[('kamar', 'rapi pisan', 'positive')]"
654,ac di kamar nomer 10 téh teu tiis .,"[('ac', 'teu tiis', 'negative')]",adi di kamar nomer 10 téh teu tiis .,"[('adi', 'teu tiis', 'negative')]",ac di kamar nomer 10 téh geus butut .,"[('ac', 'geus butut', 'negative')]",ac di kamar nomer 10 téh tiis pisan .,"[('ac', 'tiis pisan', 'positive')]"
656,"kaayaan kamar mah geus alus , ngan lamun ditingkatkeun ku ayana pangharum kamar mandi bakal leuwih alus deui .","[('kamar', 'alus', 'positive')]","kaayaan suku mah geus alus , ngan lamun ditingkatkeun ku ayana pangharum kamar mandi bakal leuwih alus deui .","[('suku', 'alus', 'positive')]","kaayaan kamar mah geus hadé , ngan lamun ditingkatkeun ku ayana pangharum kamar mandi bakal leuwih alus deui .","[('kamar', 'hadé', 'positive')]","kaayaan kamar mah geus butut , ngan lamun ditingkatkeun ku ayana pangharum kamar mandi bakal leuwih alus deui .","[('kamar', 'butut', 'negative')]"
666,cai panasna teu hurung .,"[('cai panasna', 'teu hurung', 'negative')]",cirengna teu hurung .,"[('cirengna', 'teu hurung', 'negative')]",cai panasna teu nyala .,"[('cai panasna', 'teu nyala', 'negative')]",cai panasna deres pisan .,"[('cai panasna', 'deres pisan', 'positive')]"
670,menu sarapan mah rupa-rupa .,"[('menu sarapan', 'rupa-rupa', 'positive')]",kapinteran mah rupa-rupa .,"[('kapinteran', 'rupa-rupa', 'positive')]",menu sarapan mah loba macem .,"[('menu sarapan', 'loba macem', 'positive')]",menu sarapan mah ngan hiji .,"[('menu sarapan', 'ngan hiji', 'negative')]"
681,cai panasna teu stabil .,"[('cai panasna', 'teu stabil', 'negative')]",peuyeumna teu stabil .,"[('peuyeumna', 'teu stabil', 'negative')]",cai panasna euweuh .,"[('cai panasna', 'euweuh', 'negative')]",cai panasna stabil pisan .,"[('cai panasna', 'stabil pisan', 'positive')]"
688,"basa urang ngendong di dieu , urang meunang kamar nu gedé pisan .","[('kamar', 'gedé pisan', 'positive')]","basa urang ngendong di dieu , urang meunang uyah nu gedé pisan .","[('uyah', 'gedé pisan', 'positive')]","basa urang ngendong di dieu , urang meunang kamar nu lega pisan .","[('kamar', 'lega pisan', 'positive')]","basa urang ngendong di dieu , urang meunang kamar nu laleutik .","[('kamar', 'laleutik', 'negative')]"
713,tempatna di tengah kota jeung tiiseun pisan .,"[('tempatna', 'tiiseun pisan', 'positive')]",témpé di tengah kota jeung tiiseun pisan .,"[('témpé', 'tiiseun pisan', 'positive')]",tempatna di tengah kota jeung nu pangtiisna .,"[('tempatna', 'nu pangtiisna', 'positive')]",tempatna di tengah kota jeung hareudang pisan .,"[('tempatna', 'hareudang pisan', 'negative')]"
730,sarapanna kurang ngeunah .,"[('sarapanna', 'kurang ngeunah', 'negative')]",lajuna kurang ngeunah .,"[('lajuna', 'kurang ngeunah', 'negative')]",sarapanna teu ngeunah .,"[('sarapanna', 'teu ngeunah', 'negative')]",sarapanna raos pisan euy .,"[('sarapanna', 'raos pisan euy', 'positive')]"
738,"tempatna ngeunaheun , insya allah lamun ka cirebon rék mampir deui .","[('tempatna', 'ngeunaheun', 'positive')]","taneuh ngeunaheun , insya allah lamun ka cirebon rék mampir deui .","[('taneuh', 'ngeunaheun', 'positive')]","tempatna beresih pisan , insya allah lamun ka cirebon rék mampir deui .","[('tempatna', 'beresih pisan', 'positive')]","tempatna rujit pisan , insya allah lamun ka cirebon rék mampir deui .","[('tempatna', 'rujit pisan', 'negative')]"
744,ac-na panas .,"[('ac-na', 'panas', 'negative')]",oray panas .,"[('oray', 'panas', 'negative')]",ac-na pareum .,"[('ac-na', 'pareum', 'negative')]",ac-na tiis .,"[('ac-na', 'tiis', 'positive')]"
823,fasilitasna alus . nuhun airy .,"[('fasilitasna', 'alus', 'positive')]",pagawéanna alus . nuhun airy .,"[('pagawéanna', 'alus', 'positive')]",fasilitasna saé . nuhun airy .,"[('fasilitasna', 'saé', 'positive')]",fasilitasna butut . nuhun airy .,"[('fasilitasna', 'butut', 'negative')]"
827,kanyamanan mah kurang . sora jelema gigireun kamar kadéngé jelas pisan .,"[('kanyamanan', 'kurang', 'negative')]",congklak mah kurang . sora jelema gigireun kamar kadéngé jelas pisan .,"[('congklak', 'kurang', 'negative')]",kanyamanan mah jelek . sora jelema gigireun kamar kadéngé jelas pisan .,"[('kanyamanan', 'jelek', 'negative')]",kanyamanan mah alus . sora jelema gigireun kamar kadéngé jelas pisan .,"[('kanyamanan', 'alus', 'positive')]"
829,lokasi hotél stratégis .,"[('lokasi hotél', 'stratégis', 'positive')]",nyeri huntu stratégis .,"[('nyeri huntu', 'stratégis', 'positive')]",lokasi hotél alus .,"[('lokasi hotél', 'alus', 'positive')]",lokasi hotél susah .,"[('lokasi hotél', 'susah', 'negative')]"
860,hotélna ngeunaheun asa hotél bintang 3 .,"[('hotélna', 'ngeunaheun', 'positive')]",kaulinan na ngeunaheun asa hotél bintang 3 .,"[('kaulinan na', 'ngeunaheun', 'positive')]",hotélna hade pisan euy asa hotél bintang 3 .,"[('hotélna', 'hade pisan euy', 'positive')]",hotélna teu berkualitas asa hotél bintang 3 .,"[('hotélna', 'teu berkualitas', 'negative')]"
877,"résepsionisna teu ramah pisan . jadwalna asup jam 2 beurang , tapi cenah kakara bisa asup jam 3 soré .","[('résepsionisna', 'teu ramah pisan', 'negative')]","sangu konéngna teu ramah pisan . jadwalna asup jam 2 beurang , tapi cenah kakara bisa asup jam 3 soré .","[('sangu konéngna', 'teu ramah pisan', 'negative')]","résepsionisna haseum beungeut . jadwalna asup jam 2 beurang , tapi cenah kakara bisa asup jam 3 soré .","[('résepsionisna', 'haseum beungeut', 'negative')]","résepsionisna ramah pisan euy . jadwalna asup jam 2 beurang , tapi cenah kakara bisa asup jam 3 soré .","[('résepsionisna', 'ramah pisan euy', 'positive')]"
935,wifi kurang gancang .,"[('wifi', 'kurang gancang', 'negative')]",cai kurang gancang .,"[('cai', 'kurang gancang', 'negative')]",wifi lélét pisan .,"[('wifi', 'lélét pisan', 'negative')]",wifi gancang pisan .,"[('wifi', 'gancang pisan', 'positive')]"
990,palayanan kurang gancang ngarespon .,"[('palayanan', 'kurang gancang ngarespon', 'negative')]",bungbuahan kurang gancang ngarespon .,"[('bungbuahan', 'kurang gancang ngarespon', 'negative')]",palayanan tara sigep ngaresponana .,"[('palayanan', 'tara sigep ngaresponana', 'negative')]",palayanan gancang pisan ngarespon .,"[('palayanan', 'gancang pisan', 'positive')]"
