index,original_pair,corrupted_pair
372,sarapan enak . [A] [O] [S] [A] sarapan [O] enak [S] positive,daun mahal . [A] [O] [S] [A] daun [O] mahal [S] negative
377,suka dengan suasana penginapannya . [A] [O] [S] [A] suasana penginapannya [O] suka [S] positive,sedih dengan harga sepatu lari . [A] [O] [S] [A] harga sepatu lari [O] sedih [S] negative
391,baik pelayanan nya . [A] [O] [S] [A] pelayanan nya [O] baik [S] positive,keras nasi kuning . [A] [O] [S] [A] nasi kuning [O] keras [S] negative
450,"kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya . , . [A] [O] [S] [A] ruang nya [O] kalau bisa ruang nya agak besar lagi . agar bisa ada meja kursi kerja nya iya [S] negative","rasanya sangat enak , bumbunya sangat terasa di lidah saya saat makan tadi pagi . , . [A] [O] [S] [A] bumbunya [O] rasanya sangat enak , bumbunya sangat terasa di lidah saya saat makan tadi pagi [S] positive"
471,ac nya tidak dingin . cuma berasa dry tanpa cool . [A] [O] [S] [A] ac nya [O] tidak dingin . cuma berasa dry tanpa cool [S] negative,musik sangat murah sekali . diskonnya selalu tersedia . [A] [O] [S] [A] musik [O] sangat murah sekali . diskonnya selalu tersedia [S] positive
536,kamar mandi tidak ada exhaust nya . [A] [O] [S] [A] exhaust nya [O] tidak ada [S] negative,kamar mandi puas pulpen . [A] [O] [S] [A] pulpen [O] puas [S] positive
562,semua sudah cukup baik . [A] [O] [S] [A] semua [O] cukup baik [S] positive,toilet sudah amat mahal . [A] [O] [S] [A] toilet [O] amat mahal [S] negative
617,kamar nya sempit . [A] [O] [S] [A] kamar nya [O] sempit [S] negative,harga tiket enak . [A] [O] [S] [A] harga tiket [O] enak [S] positive
714,kualitas sesuai lah . [A] [O] [S] [A] kualitas [O] sesuai [S] positive,rasa mie bau lah . [A] [O] [S] [A] rasa mie [O] bau [S] negative
780,hanya ac nya agak kurang dingin . [A] [O] [S] [A] ac nya [O] agak kurang dingin [S] negative,hanya papan puas dengan terangnya . [A] [O] [S] [A] papan [O] puas dengan terangya [S] positive
784,kurang ventilasi jdnya pengap dan kipas di toilet . [A] [O] [S] [A] ventilasi [O] kurang ventilasi jadinya pengap [S] negative,tambah kereta jdnya tenang dan kipas di toilet . [A] [O] [S] [A] kereta [O] tambah kereta jadinya tenang [S] positive
820,pelayanan ramah . [A] [O] [S] [A] pelayanan [O] ramah [S] positive,jalur bus mahal . [A] [O] [S] [A] jalur bus [O] mahal [S] negative
926,pelayanan bagus untuk budget hotel . [A] [O] [S] [A] pelayanan [O] bagus [S] positive,layar tv mahal untuk budget hotel . [A] [O] [S] [A] layar tv [O] mahal [S] negative
932,selimut/sprey kurang bersih . [A] [O] [S] [A] selimut/seprai [O] kurang bersih [S] negative,harga baju dari bandung enak sekali . [A] [O] [S] [A] harga baju dari bandung [O] enak sekali [S] positive
955,kamar mandinya jorok . [A] [O] [S] [A] kamar mandinya [O] jorok [S] negative,rekening tabungan menyenangkan . [A] [O] [S] [A] rekening tabungan [O] menyenangkan [S] positive
957,oke dengan harga kamarnya . [A] [O] [S] [A] harga [O] oke dengan harga kamarnya [S] positive,kusam waktu tunggunya . [A] [O] [S] [A] waktu [O] kusam waktu tunggunya [S] negative
961,"ini kedua kalinya saya menginap disini , airnya masih asin . [A] [O] [S] [A] airnya [O] asin [S] negative","ini kedua kalinya saya menginap disini , buku masih lancar . [A] [O] [S] [A] buku [O] lancar [S] positive"
1003,lokasinya yang sulit ditemukan . [A] [O] [S] [A] lokasinya [O] sulit ditemukan [S] negative,bumbu yang sangat manis sekali . [A] [O] [S] [A] bumbu [O] sangat manis sekali [S] positive
1019,tidak ada termos air panas . [A] [O] [S] [A] termos air panas [O] tidak ada [S] negative,harmoni buku bergambar . [A] [O] [S] [A] buku bergambar [O] harmoni [S] positive
1031,keran toilet rusak . [A] [O] [S] [A] keran toilet [O] rusak [S] negative,sepatu ramah . [A] [O] [S] [A] sepatu [O] ramah [S] positive
1066,proses cek in tidak ribet . [A] [O] [S] [A] proses cek in [O] tidak ribet [S] positive,sepeda gunung tidak manis . [A] [O] [S] [A] sepeda gunung [O] tidak manis [S] negative
1100,"hotel yang bagus , tetap pertahankan . [A] [O] [S] [A] hotel [O] bagus , tetap pertahankan [S] positive","bus yang pahit , jangan makan . [A] [O] [S] [A] bus [O] pahit , jangan makan [S] negative"
1154,sangat kecewa dengan pelayan di hotel ini . [A] [O] [S] [A] pelayan [O] sangat kecewa [S] negative,sangat lezat dengan kendaraan di hotel ini . [A] [O] [S] [A] kendaraan [O] sangat lezat [S] positive
1213,tv iya masih buremm . airy kapan di perbaiki . [A] [O] [S] [A] tv [O] burem [S] negative,monitor iya masih manis . airy kapan di perbaiki . [A] [O] [S] [A] monitor [O] manis [S] positive
1313,baik keseluruhan . [A] [O] [S] [A] keseluruhan [O] baik [S] positive,keras tiket bioskop . [A] [O] [S] [A] tiket bioskop [O] keras [S] negative
1351,harga murce deh . [A] [O] [S] [A] harga [O] murce [S] positive,video rusak deh . [A] [O] [S] [A] video [O] rusak [S] negative
1393,airy yang sangat berkesan bagi saya dan keluarga . terimakasih ! [A] [O] [S] [A] airy [O] sangat berkesan [S] positive,radio yang sangat pahit bagi saya dan keluarga . terimakasih ! [A] [O] [S] [A] radio [O] sangat pahit [S] negative
1460,kamar yang saya dapat kurang bersih . [A] [O] [S] [A] kamar [O] kurang bersih [S] negative,buku yang saya dapat cepat sekali . [A] [O] [S] [A] buku [O] cepat sekali [S] positive
1551,airnya berbau . [A] [O] [S] [A] airnya [O] berbau [S] negative,buku manis . [A] [O] [S] [A] buku [O] manis [S] positive
1556,tempatnya tidak sesuai dengan fotodi airy . [A] [O] [S] [A] tempatnya [O] tidak sesuai dengan foto di airy [S] negative,caturnya bersih tidak berbau aneh . [A] [O] [S] [A] caturnya [O] bersih tidak berbau aneh [S] positive
1581,sarapan pagi seharusnya ada . [A] [O] [S] [A] sarapan pagi [O] seharusnya ada [S] negative,gitar kecil amat cepat sekali . [A] [O] [S] [A] gitar kecil [O] amat cepat sekali [S] positive
1595,pelayanan yang kurang baik . [A] [O] [S] [A] pelayanan [O] kurang baik [S] negative,harga tiket yang sangat manis . [A] [O] [S] [A] harga tiket [O] sangat manis [S] positive
1630,peralatan kamar mandi kurang lengkap . [A] [O] [S] [A] peralatan kamar mandi [O] kurang lengkap [S] negative,senar gitar klasik wangi sekali . [A] [O] [S] [A] senar gitar klasik [O] wangi sekali [S] positive
1666,waktu menginap tidak dapat handuknya . [A] [O] [S] [A] handuknya [O] tidak dapat [S] negative,waktu menginap cepat sekolahnya . [A] [O] [S] [A] sekolahnya [O] cepat [S] positive
1762,di kamar tidak tersedia handuk . [A] [O] [S] [A] handuk [O] tidak tersedia [S] negative,di kamar sangat murah motor tua . [A] [O] [S] [A] motor tua [O] sangat murah [S] positive
1857,"untuk kamar disini tidak recommended , lebih baik cari yang lain . [A] [O] [S] [A] kamar [O] tidak recommended , lebih baik cari yang lain [S] negative","untuk uang disini sangat puas , cocok untuk koleksi . [A] [O] [S] [A] uang [O] sangat puas , cocok untuk koleksi [S] positive"
1872,tempat tidur kotor . [A] [O] [S] [A] tempat tidur [O] kotor [S] negative,kuas cat air wangi . [A] [O] [S] [A] kuas cat air [O] wangi [S] positive
1899,minusnya wifi kurang kencang . [A] [O] [S] [A] wifi [O] kurang kencang [S] negative,minusnya sofa jauh lebih baik . [A] [O] [S] [A] sofa [O] jauh lebih baik [S] positive
1925,selalu suka dengan pelayanannya . [A] [O] [S] [A] pelayanannya [O] selalu suka [S] positive,kurang cepat dengan jalan raya . [A] [O] [S] [A] jalan raya [O] kurang cepat [S] negative
1938,fasilitas hotel harus lebih diperhatikan . [A] [O] [S] [A] fasilitas hotel [O] lebih diperhatikan [S] negative,kucing persia harus amat cepat sampai . [A] [O] [S] [A] kucing persia [O] amat cepat sampai [S] positive
1940,"air nya sempat mati , sehingga saya harus pindah kamar . [A] [O] [S] [A] air nya [O] sempat mati , sehingga saya harus pindah kamar [S] negative","sampah sangat wangi sekali , sehingga semua orang ingin memilikinya . [A] [O] [S] [A] sampah [O] sangat wangi sekali , sehingga semua orang ingin memilikinya [S] positive"
1960,makanan enak . [A] [O] [S] [A] makanan [O] enak [S] positive,botolnya lambat . [A] [O] [S] [A] botolnya [O] lambat [S] negative
1980,kamar panas karena ac tidak dingin . [A] [O] [S] [A] kamar [O] panas karena ac tidak dingin [S] negative,angin sangat murah karena diskon besar . [A] [O] [S] [A] angin [O] sangat murah karena diskon besar [S] positive
2023,pelayanan cek in lama . [A] [O] [S] [A] pelayanan cek in [O] lama [S] negative,harga emas murni manis . [A] [O] [S] [A] harga emas murni [O] manis [S] positive
2091,hotel airy terbaik yang pernah saya temui . [A] [O] [S] [A] hotel [O] terbaik [S] positive,radio airy jauh yang pernah saya temui . [A] [O] [S] [A] radio [O] jauh [S] negative
2169,kasurnya agak reot jadi diganjal pakai batu . [A] [O] [S] [A] kasurnya [O] agak reot jadi diganjal pakai batu [S] negative,angin nya sangat bagus jadi langsung dibeli pakai kartu . [A] [O] [S] [A] angin nya [O] sangat bagus jadi langsung dibeli pakai kartu [S] positive
2296,fasilitas oke . [A] [O] [S] [A] fasilitas [O] oke [S] positive,hujan mahal . [A] [O] [S] [A] hujan [O] mahal [S] negative
2315,dpet kamar yang kurang menarik . semoga next dapat kamar yang seperti dgmbar . [A] [O] [S] [A] kamar [O] kurang menarik [S] negative,dpet kucing yang mengenyangkan sekali . semoga next dapat kamar yang seperti dgmbar . [A] [O] [S] [A] kucing [O] mengenyangkan sekali [S] positive
2391,kamarnya benar benar sesuai dengan yang ada di photo . [A] [O] [S] [A] kamarnya [O] benar benar sesuai dengan yang ada di photo [S] positive,pianonya sangat pahit kotor tidak berbau enak . [A] [O] [S] [A] pianonya [O] sangat pahit kotor tidak berbau enak [S] negative
2393,"tempat transit , makanannya enak . [A] [O] [S] [A] makanannya [O] enak [S] positive","tempat transit , lukisannya bau . [A] [O] [S] [A] lukisannya [O] bau [S] negative"
